Samples	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R
0b29c893-03bf-4131-b192-c14a2788d411	307	58	0	0	37	88	0	0	0	0	68	20	0	0	1	0	0	0
0b6cd7df-6970-4d60-b7b5-85002a7d8781	425	13	0	0	0	8	8	2	1	5	2	0	18	4	0	0	0	0
0b811c6a-8f05-44bd-ac33-fb720d189e71	442	0	0	0	0	0	0	3	0	0	0	0	21	7	0	0	0	0
0ba8f2e2-935a-4123-86aa-6e7f5de85bf4	397	5	11	0	0	24	11	0	2	0	0	0	24	0	1	0	0	0
0bafd9ae-64b3-492d-a6fd-12aa8edefcbe	369	52	13	40	0	19	40	0	0	0	0	4	31	0	0	8	0	0
0bbc7ede-5022-4084-925c-d65baaf7abc2	38	82	88	68	197	282	46	171	26	83	26	27	48	0	38	0	0	63
0bd3a230-531e-44aa-9999-b8ed8da0176b	260	123	26	32	0	58	80	0	0	0	0	16	29	0	0	0	0	0
0be08326-c623-11e3-bf01-24c6515278c0	159	103	0	11	8	201	55	5	4	10	17	18	22	12	4	8	4	0
0bfd1043-5142-3662-e050-11ac0c486501	106	56	143	206	67	194	43	11	78	44	99	19	62	25	44	25	10	14
0bfd1043-70fb-d2dc-e050-11ac0c4860cb	144	47	153	144	37	163	57	0	37	74	97	34	57	35	6	24	13	2
0bfd1043-7343-fdd0-e050-11ac0c484cab	0	197	335	9	614	111	10	316	73	47	0	83	0	36	84	2	3	120
0bfd1043-7344-fdd0-e050-11ac0c484cab	8	0	920	1761	305	0	163	0	0	51	357	0	278	25	70	30	56	28
0bfd1043-7346-fdd0-e050-11ac0c484cab	171	75	69	18	55	175	19	2	0	142	140	15	11	0	10	0	6	0
0bfd1043-7ebf-aaec-e050-11ac0c482f39	88	110	221	396	28	98	394	113	67	103	127	165	0	0	152	24	8	0
0bfd1043-7ec1-aaec-e050-11ac0c482f39	11	278	251	427	100	80	284	0	53	79	32	0	37	34	31	8	14	8
0bfd1043-7ed6-9ccc-e050-11ac0c481957	210	56	54	26	23	142	15	0	0	171	148	16	17	0	2	0	7	0
0bfd1043-816e-e3e4-e050-11ac0c4860c5	24	0	897	1507	208	0	127	0	0	61	360	0	290	15	63	19	28	25
0bfd1043-8170-e3e4-e050-11ac0c4860c5	0	227	226	234	149	134	37	0	61	41	210	65	13	22	13	34	44	20
0bfd1043-8172-e3e4-e050-11ac0c4860c5	0	162	192	95	195	221	31	15	41	52	159	57	22	21	24	28	7	17
0bfd1043-8173-e3e4-e050-11ac0c4860c5	0	217	228	43	252	165	29	20	22	60	168	81	13	6	18	25	16	26
0bfd1043-8175-e3e4-e050-11ac0c4860c5	0	221	232	64	237	162	20	4	17	88	169	48	6	13	17	30	6	6
0bfd1043-8177-e3e4-e050-11ac0c4860c5	233	67	55	52	0	115	74	0	7	37	15	0	20	12	7	0	6	4
0bfd1043-817c-e3e4-e050-11ac0c4860c5	14	235	203	357	38	132	261	8	0	96	19	0	46	34	31	12	11	6
0bfd1043-817e-e3e4-e050-11ac0c4860c5	0	262	223	195	6	109	342	8	0	32	24	235	91	2	90	0	3	6
0bfd1043-8180-e3e4-e050-11ac0c4860c5	5	66	754	977	0	0	253	0	67	12	363	479	280	0	52	75	0	48
0bfd1043-8181-e3e4-e050-11ac0c4860c5	0	149	609	840	0	0	178	0	13	49	315	311	204	0	59	98	0	50
0bfd1043-8183-e3e4-e050-11ac0c4860c5	0	205	235	210	0	160	279	0	6	29	25	170	84	0	85	19	0	8
0bfd1043-8187-e3e4-e050-11ac0c4860c5	35	57	635	1486	2	0	93	0	50	22	280	0	309	0	62	39	0	21
0bfd1043-8189-e3e4-e050-11ac0c4860c5	146	83	153	177	67	146	46	0	13	56	119	15	26	29	35	25	7	11
0bfd1068-3fc3-a95b-e050-11ac0c4860c3	0	174	281	66	202	191	35	13	0	49	211	92	14	0	13	17	19	5
0bfd1068-3fc5-a95b-e050-11ac0c4860c3	54	119	110	58	0	257	215	0	25	65	2	82	42	8	8	13	4	0
0bfd1068-3fca-a95b-e050-11ac0c4860c3	239	85	43	21	0	109	75	0	8	43	6	0	12	13	8	0	5	2
0bfd1068-3fcd-a95b-e050-11ac0c4860c3	222	58	81	197	82	100	95	61	16	78	86	30	10	0	50	57	9	11
0bfd1068-3fcf-a95b-e050-11ac0c4860c3	80	212	262	347	184	39	262	77	14	119	89	66	43	45	44	8	23	4
0bfd1068-3fd3-a95b-e050-11ac0c4860c3	0	131	376	0	355	194	34	342	63	0	93	52	0	0	69	11	15	1
0bfd1068-3fd5-a95b-e050-11ac0c4860c3	21	247	225	402	184	118	277	53	0	37	32	29	32	34	24	10	16	6
0bfd1068-3fd8-a95b-e050-11ac0c4860c3	35	175	157	408	114	127	457	108	10	118	62	305	0	0	177	23	0	3
0bfd1068-3fdd-a95b-e050-11ac0c4860c3	103	94	202	506	16	111	339	163	29	146	135	125	0	15	138	16	0	0
0bfd1068-3fdf-a95b-e050-11ac0c4860c3	0	51	733	1029	0	0	220	0	86	28	393	495	297	0	52	64	0	59
0bfd1068-3fe1-a95b-e050-11ac0c4860c3	0	62	763	907	0	0	258	0	66	20	363	481	273	0	57	62	0	58
0bfd1068-3fe4-a95b-e050-11ac0c4860c3	130	45	161	164	62	184	54	0	25	87	115	44	63	14	37	23	10	10
0bfd1068-3fe6-a95b-e050-11ac0c4860c3	12	91	631	1492	40	0	90	0	32	0	282	0	295	2	74	34	0	7
0bfe2ac9-0aec-c248-e050-11ac0d487e1c	247	36	68	14	28	110	27	10	18	191	186	49	23	0	4	0	9	0
0bfe2ac9-0aee-c248-e050-11ac0d487e1c	234	47	59	7	39	138	18	9	0	146	136	21	18	0	3	0	8	0
