Samples	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P
0b811c6a-8f05-44bd-ac33-fb720d189e71	441	0	3	0	0	0	0	4	0	0	0	0	24	0	0	1
0ba8f2e2-935a-4123-86aa-6e7f5de85bf4	399	7	11	0	0	18	12	0	0	1	0	0	27	0	0	0
0bafd9ae-64b3-492d-a6fd-12aa8edefcbe	370	57	12	38	0	14	47	0	0	0	0	2	34	0	2	0
0bbc7ede-5022-4084-925c-d65baaf7abc2	70	98	69	74	209	250	55	178	93	22	0	26	40	47	47	5
0bd3a230-531e-44aa-9999-b8ed8da0176b	268	143	16	25	0	35	96	0	0	0	0	13	28	0	0	0
0be08326-c623-11e3-bf01-24c6515278c0	181	112	0	2	7	182	64	5	11	6	18	20	21	6	4	2
0bfd1043-5142-3662-e050-11ac0c486501	135	57	158	214	68	167	52	8	48	83	100	6	57	52	26	15
0bfd1043-70fb-d2dc-e050-11ac0c4860cb	172	44	166	151	32	137	71	0	84	45	112	25	49	5	17	14
0bfd1043-7343-fdd0-e050-11ac0c484cab	0	229	330	0	629	102	19	345	41	54	0	95	0	94	90	12
0bfd1043-7344-fdd0-e050-11ac0c484cab	0	0	962	1839	364	0	202	0	46	0	263	0	270	76	0	30
0bfd1043-7346-fdd0-e050-11ac0c484cab	190	76	48	33	57	152	21	0	153	0	150	2	8	13	0	5
0bfd1043-7ebf-aaec-e050-11ac0c482f39	101	119	193	373	37	78	451	102	101	73	102	165	0	188	0	11
0bfd1043-7ec1-aaec-e050-11ac0c482f39	27	312	244	431	124	45	328	0	82	48	14	0	33	36	0	3
0bfd1043-7ed6-9ccc-e050-11ac0c481957	225	54	31	43	24	120	16	0	185	0	163	2	15	3	0	6
0bfd1043-816e-e3e4-e050-11ac0c4860c5	6	0	948	1562	255	0	158	0	63	0	275	0	281	68	0	8
0bfd1043-8170-e3e4-e050-11ac0c4860c5	0	227	247	243	153	144	42	0	43	65	225	61	11	14	8	47
0bfd1043-8172-e3e4-e050-11ac0c4860c5	0	169	192	105	205	230	38	14	55	46	163	51	16	29	14	12
0bfd1043-8173-e3e4-e050-11ac0c4860c5	0	227	224	48	262	169	37	17	63	30	164	78	5	22	17	26
0bfd1043-8175-e3e4-e050-11ac0c4860c5	0	227	225	77	251	168	25	1	93	23	175	44	0	20	3	8
0bfd1043-8177-e3e4-e050-11ac0c4860c5	253	74	56	47	0	99	83	0	42	6	14	0	21	8	0	1
0bfd1043-817c-e3e4-e050-11ac0c4860c5	34	252	196	359	51	108	300	7	103	0	3	0	44	37	2	7
0bfd1043-817e-e3e4-e050-11ac0c4860c5	0	281	222	149	5	102	402	10	32	0	0	238	73	106	0	8
0bfd1043-8180-e3e4-e050-11ac0c4860c5	4	40	842	1004	0	0	307	0	27	79	327	490	264	47	0	0
0bfd1043-8181-e3e4-e050-11ac0c4860c5	0	126	678	861	0	0	214	0	62	15	290	317	198	60	54	0
0bfd1043-8183-e3e4-e050-11ac0c4860c5	0	218	237	178	0	160	331	0	30	17	0	171	72	101	0	0
0bfd1043-8187-e3e4-e050-11ac0c4860c5	34	31	720	1538	32	0	115	0	32	0	210	0	313	66	0	0
0bfd1043-8189-e3e4-e050-11ac0c4860c5	170	88	157	183	63	117	58	0	61	21	134	1	21	42	28	10
0bfd1068-3fc3-a95b-e050-11ac0c4860c3	0	195	272	68	219	185	48	6	49	0	210	92	4	15	0	19
0bfd1068-3fc5-a95b-e050-11ac0c4860c3	86	130	95	42	0	225	254	0	71	37	0	77	33	9	0	3
0bfd1068-3fca-a95b-e050-11ac0c4860c3	256	92	43	14	0	96	84	0	49	7	5	0	12	9	0	2
0bfd1068-3fcd-a95b-e050-11ac0c4860c3	230	52	75	195	95	98	103	54	77	18	77	39	20	63	47	0
0bfd1068-3fcf-a95b-e050-11ac0c4860c3	87	228	252	363	195	22	304	79	128	27	79	49	30	54	0	21
0bfd1068-3fd3-a95b-e050-11ac0c4860c3	26	177	363	0	374	144	42	348	0	56	70	55	0	81	0	0
0bfd1068-3fd5-a95b-e050-11ac0c4860c3	33	288	204	427	208	91	321	56	36	0	8	16	23	29	0	7
0bfd1068-3fd8-a95b-e050-11ac0c4860c3	45	192	114	377	135	112	525	96	113	14	4	333	0	219	0	0
0bfd1068-3fdd-a95b-e050-11ac0c4860c3	119	96	168	511	20	92	387	154	152	36	113	118	0	172	0	0
0bfd1068-3fdf-a95b-e050-11ac0c4860c3	0	21	827	1061	0	0	268	0	46	95	353	508	282	46	0	0
0bfd1068-3fe1-a95b-e050-11ac0c4860c3	0	35	851	925	0	0	314	0	36	80	325	494	257	53	0	0
0bfd1068-3fe4-a95b-e050-11ac0c4860c3	157	45	168	170	59	150	67	0	96	34	119	33	55	44	17	14
0bfd1068-3fe6-a95b-e050-11ac0c4860c3	11	66	705	1537	69	0	112	0	2	0	205	0	296	79	0	0
0bfe2ac9-0aec-c248-e050-11ac0d487e1c	254	23	46	39	30	98	28	1	206	31	197	28	21	6	0	12
0bfe2ac9-0aee-c248-e050-11ac0d487e1c	245	43	40	22	43	120	19	3	159	2	146	9	17	5	0	10
0bfe2ac9-0af3-c248-e050-11ac0d487e1c	3	227	208	197	11	162	342	4	23	4	0	140	55	114	1	2
0bfe2ac9-0af5-c248-e050-11ac0d487e1c	75	167	142	427	19	45	578	139	128	109	125	289	0	226	0	0
0bfe2ac9-0af8-c248-e050-11ac0d487e1c	87	187	171	390	18	52	480	123	99	38	100	201	0	175	0	0
0bfe2ac9-0afa-c248-e050-11ac0d487e1c	200	37	134	158	33	127	59	2	92	34	160	32	25	14	18	22
0bfe2ac9-0afd-c248-e050-11ac0d487e1c	128	32	221	230	23	178	78	15	41	76	99	17	75	50	17	23
0bfe2ac9-0aff-c248-e050-11ac0d487e1c	156	73	156	168	86	130	64	0	66	19	143	31	20	56	25	9
0bfebf9f-c779-e57d-e050-11ac0d487827	105	210	220	260	163	5	493	72	47	37	39	261	0	245	0	0
