MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N
OsCN[4]	2.2327862672644195e-08	0.002322263871319592	0.0011711529242893449	7.610535132698715e-05	0.0002702960736496607	0.003512629945014112	0.0028257705678697677	0.002111032266257098	4.203895392974451e-47	0.00030550144417134105	1.383328519295901e-05	0.0007529995901705888	0.0007391328117253693	0.0013010260013470542
OsCN[>4 & <=10]	1.3260206687681908e-08	0.0009685337331757182	0.0004035827065879971	0.00026708191447276874	0.0	0.010261049596640532	0.008613526211120189	0.006623162348114419	0.0	0.004259877842893331	0.00013998811147757805	0.0007023650477910337	0.0002505578844770184	0.0004650900957877013
OsCN[>10]	4.634508378842384e-08	5.711527038316788e-06	1.5469913527965672e-09	0.0	2.550706645898515e-10	0.001770331056404899	0.0024555442400742322	0.0011621787252948134	2.8957861442080458e-09	1.9857689390407885e-05	3.796905811981333e-10	6.006109559685058e-05	0.0	1.8309244473098118e-05
SS[<=2]	7.721929311088616e-08	7.032446575349098e-18	0.0010214069388894131	6.608874000022524e-06	1.62613654386945e-05	0.00017712985292945405	1.2162940561211144e-06	0.002882439528940779	0.001402421365492046	0.0001262184491724838	0.0027458282391307877	0.0002746513025010699	0.0007680109533237101	0.0002582364480031174
SS[>2 & <=3]	8.98233104473789e-08	0.0	0.000190412892574743	1.4049531538162796e-08	2.173273788321359e-43	0.0004526248399579913	5.243313987435272e-09	0.013740967873508935	0.003054521363519598	0.0008788749309951883	0.031823423466938436	0.00012609924604717549	0.0006280061883475696	0.0003119326558525426
SS[>3 & <=4]	3.851575049007572e-08	2.4335690795851862e-09	0.0003633164415077772	5.5096023716032504e-05	1.5003715247985382e-09	0.003022711952258561	0.00013825764140339202	0.077185974223612	0.0023655678461616068	0.004125910278190901	0.12376893354874483	0.0007215231289433532	0.001061902438327454	0.0035713655098064123
SS[>4 & <=5]	2.586606817622794e-11	0.0	0.0018363803360261955	0.004128810012715618	0.0	0.038207990005612376	0.015882685507622413	0.1926647057197988	0.05152187055908144	0.04770114776678383	0.026204054054255722	0.014980332874441973	0.02825935515856365	0.028817155177239328
SS[>5 & <=6]	1.9707591114581648e-11	0.0002894316013391177	0.08660421645279498	0.0005215645558200776	0.0	0.12280433051288128	0.08803965121507645	0.036932963870931416	0.09361408546566963	0.03220746804960072	0.0009928580932319164	0.019767928045372023	0.060488481916836465	0.055357322670985136
SS[>6 & <=7]	0.0	0.18491207204759122	0.06048448429326527	0.0023713436629623176	0.001337924327235669	0.0601063466258347	0.06491800481453538	0.00418162053714942	0.02832842289004475	0.05725892724469304	0.04172929899767041	0.024190703913789666	0.01855089194760694	0.02419562784489244
SS[>7 & <=8]	0.016203580806031823	0.07570065980777145	0.0047757386433704505	0.131062049260363	0.1015793478890555	0.009731452615740287	0.011212285340690187	0.009489795093908997	0.0006348342847339713	0.04008767961000558	0.03974196586874314	0.02608960371464743	0.016578946398805767	0.017491697352961636
