Samples	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R	SBS80S	SBS80T	SBS80U	SBS80V	SBS80W	SBS80X	SBS80Y	SBS80Z
09cb8bc5-13ac-44ac-9b7d-6de143373570	136	55	61	180	5	79	34	50	86	7	48	21	9	40	0	7	17	9	19	2	1	4	0	11	52	0
09e1fe3e-bfd8-4175-ac42-0e1bf0ba5523	86	179	223	117	73	0	0	0	0	162	0	44	0	0	0	0	0	1	0	0	36	8	0	4	0	0
0a6be23a-d5a0-4e95-ada2-a61b2b5d9485	207	16	19	150	25	0	37	0	4	33	2	32	6	0	39	0	0	0	4	1	1	4	2	1	0	0
0a9c9db0-c623-11e3-bf01-24c6515278c0	145	7	15	192	0	43	99	15	44	6	2	13	12	1	0	15	1	2	6	9	5	4	4	1	0	1
0ab4d782-9a50-48b9-96e4-6ce42b2ea034	237	35	62	115	31	3	26	0	8	43	0	24	8	0	0	2	2	1	4	13	3	0	0	1	0	1
0ae2193f-0d68-485a-b8c2-7568cbcce33e	306	3	3	91	25	0	0	0	9	15	0	27	16	10	7	14	0	4	0	0	1	11	0	4	0	0
0b19bee7-5281-4915-9d98-c20eb3e84ecf	77	65	79	112	146	11	196	1	19	124	0	49	12	41	4	1	6	5	1	8	0	1	1	17	0	11
0b29c893-03bf-4131-b192-c14a2788d411	272	7	43	117	0	41	7	0	23	1	0	0	3	10	0	25	7	2	1	6	1	1	4	2	3	3
0b6cd7df-6970-4d60-b7b5-85002a7d8781	395	0	9	23	0	0	1	0	0	7	0	20	19	0	5	5	0	0	0	0	0	0	1	0	0	1
0b811c6a-8f05-44bd-ac33-fb720d189e71	424	0	0	0	0	0	2	0	0	1	0	21	20	0	0	4	0	0	0	0	1	0	0	0	0	0
0ba8f2e2-935a-4123-86aa-6e7f5de85bf4	364	0	0	40	11	0	8	1	0	10	0	24	15	0	0	0	1	0	1	0	0	0	0	0	0	0
0bafd9ae-64b3-492d-a6fd-12aa8edefcbe	352	38	41	29	20	0	9	0	0	29	0	32	11	6	0	0	0	6	0	0	1	0	0	0	1	1
0bbc7ede-5022-4084-925c-d65baaf7abc2	43	102	27	187	46	111	143	57	81	31	141	34	49	2	58	0	58	1	27	12	4	38	31	0	0	0
0bd3a230-531e-44aa-9999-b8ed8da0176b	190	33	68	161	45	0	0	0	0	59	0	36	0	18	0	0	3	0	1	0	4	1	1	3	0	1
0be08326-c623-11e3-bf01-24c6515278c0	151	9	71	148	0	4	102	3	14	44	0	22	14	18	2	11	2	5	3	7	6	0	3	1	1	0
0bfd1043-5142-3662-e050-11ac0c486501	77	149	62	157	136	50	100	68	79	40	2	50	37	27	3	89	0	19	31	0	31	10	19	10	0	0
0bfd1043-70fb-d2dc-e050-11ac0c4860cb	113	99	64	132	150	36	85	12	83	49	0	47	27	34	25	75	0	18	4	0	34	3	24	10	0	0
0bfd1043-7343-fdd0-e050-11ac0c484cab	2	83	118	68	201	391	154	129	77	0	302	6	88	12	121	0	58	6	60	28	26	74	27	5	0	4
0bfd1043-7344-fdd0-e050-11ac0c484cab	26	1353	0	0	1016	210	0	0	182	125	0	236	55	0	0	429	101	37	50	57	47	29	31	34	11	23
0bfd1043-7346-fdd0-e050-11ac0c484cab	129	5	58	169	44	30	82	12	172	14	5	31	18	19	19	41	18	6	8	0	9	1	0	6	0	12
0bfd1043-7ebf-aaec-e050-11ac0c482f39	89	395	106	68	211	15	58	104	125	294	78	48	22	141	0	54	20	25	105	22	28	2	8	17	0	59
0bfd1043-7ec1-aaec-e050-11ac0c482f39	24	398	198	98	232	53	45	43	46	203	19	62	4	0	66	49	119	8	23	5	16	10	0	6	0	0
0bfd1043-7ed6-9ccc-e050-11ac0c481957	134	0	37	202	48	10	44	3	200	12	9	39	11	28	16	41	22	6	2	0	6	1	0	6	0	10
0bfd1043-816e-e3e4-e050-11ac0c4860c5	34	1144	17	0	954	147	0	0	177	101	0	230	57	0	0	409	95	30	45	53	40	25	26	19	0	21
0bfd1043-8170-e3e4-e050-11ac0c4860c5	27	162	268	0	158	121	175	39	113	37	0	22	37	46	5	148	33	24	9	44	7	12	14	19	10	0
0bfd1043-8172-e3e4-e050-11ac0c4860c5	18	72	171	73	105	129	208	56	121	28	8	22	47	40	12	87	31	22	18	7	9	14	11	4	26	0
0bfd1043-8173-e3e4-e050-11ac0c4860c5	26	37	220	43	129	163	179	50	149	25	11	18	57	54	9	73	24	22	14	9	9	20	13	8	27	0
0bfd1043-8175-e3e4-e050-11ac0c4860c5	4	53	211	68	137	157	178	44	159	15	15	19	27	25	23	64	23	23	13	12	8	8	15	6	33	0
0bfd1043-8177-e3e4-e050-11ac0c4860c5	213	45	44	104	56	0	44	0	20	56	0	27	2	0	20	20	26	0	6	13	3	2	1	2	0	0
0bfd1043-817c-e3e4-e050-11ac0c4860c5	13	339	175	126	188	6	77	0	50	190	6	62	26	0	62	43	79	10	22	8	11	7	0	3	0	0
0bfd1043-817e-e3e4-e050-11ac0c4860c5	21	207	262	0	172	0	195	0	30	260	0	78	44	195	9	27	21	8	64	8	10	6	6	5	0	0
0bfd1043-8180-e3e4-e050-11ac0c4860c5	0	627	129	0	844	101	0	0	19	209	0	212	0	459	42	470	56	64	39	33	33	43	34	17	0	0
0bfd1043-8181-e3e4-e050-11ac0c4860c5	0	544	202	0	671	78	0	0	53	147	0	166	0	309	36	388	37	71	44	36	23	42	18	10	0	0
0bfd1043-8183-e3e4-e050-11ac0c4860c5	51	198	211	0	194	7	202	0	13	210	0	72	17	144	25	46	10	19	60	6	10	9	4	3	0	4
0bfd1043-8187-e3e4-e050-11ac0c4860c5	12	1113	133	0	743	60	0	0	51	74	0	238	0	0	6	391	40	36	43	53	32	24	15	8	0	19
0bfd1043-8189-e3e4-e050-11ac0c4860c5	102	129	80	156	155	57	64	0	101	39	0	35	24	14	0	82	0	19	26	0	36	9	17	9	0	0
0bfd1068-3fc3-a95b-e050-11ac0c4860c3	17	39	194	65	192	148	182	1	154	27	15	21	37	64	0	89	23	19	10	25	9	6	11	10	24	0
0bfd1068-3fc5-a95b-e050-11ac0c4860c3	69	82	89	145	85	0	162	7	27	157	0	45	10	69	49	0	20	12	5	0	7	0	0	4	0	18
0bfd1068-3fca-a95b-e050-11ac0c4860c3	238	22	59	76	37	0	53	5	18	56	0	22	1	0	25	14	28	0	6	0	4	2	1	2	0	0
0bfd1068-3fcd-a95b-e050-11ac0c4860c3	194	196	53	91	73	38	52	32	113	74	38	30	49	12	0	26	16	33	35	85	0	2	0	1	0	0
0bfd1068-3fcf-a95b-e050-11ac0c4860c3	24	389	162	118	184	68	46	56	127	201	2	51	134	24	59	52	124	11	31	0	18	5	30	2	0	0
0bfd1068-3fd3-a95b-e050-11ac0c4860c3	24	23	90	101	254	249	154	103	95	25	318	2	39	10	0	0	86	15	52	24	16	6	22	12	0	16
0bfd1068-3fd5-a95b-e050-11ac0c4860c3	50	419	169	82	177	98	86	2	24	195	37	49	52	0	69	40	140	10	18	4	13	8	0	5	0	0
0bfd1068-3fd8-a95b-e050-11ac0c4860c3	88	446	122	49	174	97	74	22	51	325	90	52	0	228	100	23	21	22	122	34	32	5	17	0	0	85
