MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R	SBS80S	SBS80T	SBS80U	SBS80V	SBS80W	SBS80X	SBS80Y	SBS80Z	SBS80AA
CN[0]	3.4324806897245707e-07	0.0021696496682040234	2.3288716732849936e-10	1.661744429704114e-07	2.0252413417409797e-08	1.3647969254293458e-07	0.0	0.0003109741833145296	0.0013914395431102377	0.00041750363529843073	1.122519118545995e-08	3.45129683587686e-08	3.8068953251979566e-08	5.2007269637499575e-08	2.7911625011256548e-09	0.1843662372959649	3.6280487176298947e-07	8.59703000344325e-09	1.6379173839453643e-08	3.256687719499496e-08	0.003320698248911782	6.91133946539857e-08	1.658260787351651e-08	2.9009224114915356e-05	1.9934056993964333e-07	0.009108069576989059	2.841686354315698e-07
CN[1]	0.0005224837768385093	6.797094317077291e-07	0.00019357567130050767	7.073965589405873e-06	0.0006892482273569111	2.7479255089870592e-05	2.1281043594001404e-11	0.009739272054476665	0.0010721705777450552	0.47383805125951767	2.2245218911842724e-06	0.0001195633833034382	0.0009021012370347847	0.00034834059143782074	0.0011616712613969008	0.049871658591297746	0.0012922316701950364	4.735367864405759e-06	8.647657154461363e-06	5.6275634560734036e-05	0.0007858316142028432	0.00023110313955655216	0.0021729781565066665	0.0005292900514672283	0.00010249682812863135	0.00025624730403187354	0.0013448687389118418
CN[2]	0.005440410094290585	0.017196339876636543	0.045127095931025	0.001425924131265084	0.010209763168961722	0.00015821169012491976	2.295739330363848e-20	0.0022377732158724837	0.0047608638511816995	0.22883449590251112	2.576417429296818e-05	0.8368768605403603	0.011131179760015115	0.024867798908116554	0.007121440469355064	0.05379827032548957	0.004708813997949456	0.0010058448605389744	0.001154234758365064	0.0027641929640607205	0.0013987210433330022	0.002195022506115024	0.001569773816136829	0.0056315030540957135	0.00017496193881940368	0.006540839347917414	0.003098849751659151
CN[3]	4.008656717786607e-06	7.145015246123875e-10	0.08499954647909305	0.001672880195114317	0.012920269826427118	0.02773440353727551	0.0007458237454761463	0.03413454992448464	0.029472554988497556	2.802596928649634e-47	0.0015283797075971962	0.0006187393415780562	0.004317884105296344	0.006315842782280718	0.44844598703086375	0.00022073302883654833	0.011424045196536961	0.0479475323542308	0.058461568212011816	0.013537898063859757	0.009078617873799431	0.05279601232227634	0.024994902391147374	0.02506815231137213	0.03892908803217154	0.022952402527046032	0.01405668387658134
CN[4]	1.3592608744117384e-08	3.3836570232779194e-05	0.003286686503653584	1.7753070213899492e-08	0.0003894303478381289	0.0004958048206111698	0.1508605003077537	0.005570948933488471	0.2098020802970899	0.0	0.004644410627787519	0.0001706891307011915	0.001027293693194906	0.004616633560218736	0.1250630884378049	0.0015957215556045411	0.03575880542165341	0.0010571123344240263	0.00509610781185234	0.015131498858067118	0.018137687191408097	0.01687840343505553	0.0071624372716665614	0.004319066888725446	0.024626192151770965	0.003965375108135589	0.024129866368972016
CN[>4 & <=8]	7.311181242364295e-08	1.1543398628077739e-08	3.226509079468087e-08	8.726825644345126e-09	3.241027429101706e-08	3.9795859650837425e-06	0.37784721732139587	0.08438202642359158	0.0029112997383450084	0.0	0.0318113474265574	1.0212488290009233e-07	1.6113862204986118e-07	0.025924395503757615	0.0001550996781489289	1.7676507411579222e-07	0.0025090566307251977	3.0108693889774677e-06	3.8536336384660176e-05	1.4934603707423833e-05	1.828583654429394e-05	4.6693826469379476e-07	9.240962731738022e-06	1.179982019863246e-06	1.8791984252614986e-06	4.4806459129631545e-08	1.637004318183699e-05
CN[>8]	1.0608568952630293e-07	2.1308078401727214e-09	2.451498559707943e-09	6.6209578442055775e-09	1.129885838224709e-09	3.510770429926424e-10	0.002943470968259021	8.221426327146019e-07	3.111619207629701e-08	1.1294746471435246e-09	0.23357178017497063	2.802596928649634e-47	2.2650949531577426e-08	0.0011175834192927257	2.802596928649634e-47	3.508298691556888e-09	4.303362777180464e-08	4.803666087127567e-10	1.2891862635200394e-08	5.058696928017525e-10	5.1103938822905094e-08	7.217706006201751e-09	3.896664489744241e-08	4.27361402160642e-05	1.3601507369287447e-08	4.1334756417654715e-09	3.002983191890962e-08
CNCP[0]	0.05087446894473942	2.4609708480660685e-05	2.802596928649634e-47	0.0006519282088714817	6.492103304944763e-10	8.407790785948902e-47	1.401298464324817e-47	5.7260087771240367e-05	1.492772856437341e-09	1.2611686178923353e-46	0.0	6.667216112532514e-11	2.802596928649634e-47	0.0014773164689540863	1.7165199039936852e-09	0.0016672216675457463	1.1210387714598537e-46	8.407790785948902e-47	1.401298464324817e-47	1.2418935568803136e-08	6.901917367940768e-07	2.802596928649634e-47	2.802596928649634e-47	3.972410667074655e-10	0.005281002092777527	0.00012656616047024727	1.3970624479497928e-09
CNCP[1]	0.0	0.08871740847127513	0.3654293953068554	0.023096656012440545	0.2702815647050738	0.08680135822156444	0.020326132085174323	2.9427267750821157e-46	1.4012984643248171e-46	0.16276816745481482	6.257530767470599e-05	0.015904971910640598	0.34116914289072153	0.012166026830763408	0.05774337168293801	0.00346334615489468	0.0031552354618906973	0.003070579617134474	5.968088749796152e-05	6.543552403878411e-35	0.01729623068124056	0.0028923190059140323	0.00342048150303242	0.019117336124181768	0.00421681454978966	0.002575684692710638	0.0015462988056242466
CNCP[2]	1.6741182385926478e-08	1.200178073332836e-06	0.0007322290037946999	2.7760265908227667e-09	0.00021293747537214357	0.0017814329747310965	0.07846014939836526	0.02060290726855122	0.3355354184284806	2.572173514181486e-09	0.0007890447359687624	0.0055329320985772765	0.012111861088375258	0.03361142163333174	0.009362253385445633	0.23524963031308005	0.002333281948494914	2.094933941238729e-06	9.541167640874377e-07	3.273901765354026e-05	0.0025250724839622762	0.0016080693416711256	0.0011736424932126965	0.013813126206772495	3.181883785430273e-07	0.004263885667160565	0.0025275099035996745
