MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R	SBS80S	SBS80T
SS[>5 & <=6]	2.02E-10	8.88E-04	1.39E-03	4.07E-03	2.36E-04	3.92E-03	4.28E-03	1.52E-03	8.27E-04	4.45E-03	1.82E-03	3.56E-03	1.36E-03	4.38E-03	3.65E-03	1.77E-03	4.48E-03	2.91E-03	3.52E-03	2.06E-03
SS[>6 & <=7]	0.00E+00	2.67E-04	4.82E-03	4.30E-03	7.89E-04	3.37E-03	2.76E-03	1.11E-03	5.13E-03	2.81E-03	1.14E-03	7.41E-04	5.00E-03	6.97E-03	4.58E-03	3.76E-03	2.39E-03	3.18E-03	4.89E-03	4.14E-03
SS[>7 & <=8]	1.60E-04	2.21E-03	2.81E-03	5.49E-04	3.03E-03	5.84E-04	8.35E-04	7.94E-05	1.69E-03	2.17E-03	2.42E-03	2.06E-03	4.27E-03	3.87E-03	3.43E-03	2.10E-03	1.90E-03	1.26E-03	2.89E-03	2.60E-03
SS[>8]	1.39E-04	3.75E-04	0.00E+00	1.16E-09	7.60E-04	3.17E-10	0.00E+00	0.00E+00	0.00E+00	3.03E-10	2.51E-09	3.04E-09	3.38E-09	1.31E-10	1.37E-08	1.40E-47	3.12E-47	3.05E-09	9.33E-09	9.84E-10
NC50[<=2]	8.12E-06	1.11E-10	0.00E+00	2.85E-08	6.67E-11	2.25E-09	7.73E-10	6.53E-06	0.00E+00	1.91E-09	6.99E-10	1.59E-06	1.15E-07	4.17E-07	2.18E-08	5.83E-06	3.97E-06	1.15E-06	6.48E-06	1.48E-06
NC50[3]	1.04E-05	8.44E-06	0.00E+00	4.38E-07	2.97E-05	1.10E-06	6.09E-06	5.78E-06	0.00E+00	0.00E+00	0.00E+00	1.46E-06	2.07E-05	1.34E-06	5.61E-06	1.41E-06	3.93E-06	4.53E-06	3.47E-06	3.65E-06
NC50[4]	7.96E-06	4.15E-05	0.00E+00	3.56E-06	5.42E-05	7.01E-07	1.58E-05	3.52E-06	0.00E+00	0.00E+00	0.00E+00	7.05E-06	1.84E-08	7.99E-06	0.00E+00	2.80E-47	3.59E-06	4.05E-05	5.80E-06	1.92E-05
NC50[5]	1.97E-06	2.57E-05	1.45E-09	4.27E-07	2.47E-05	3.49E-06	0.00E+00	7.91E-08	5.90E-11	6.00E-06	6.52E-06	3.77E-06	8.55E-06	1.12E-05	2.16E-05	1.16E-05	4.10E-06	0.00E+00	5.30E-06	8.00E-06
NC50[6]	1.10E-06	2.74E-05	1.51E-05	1.49E-06	1.92E-05	4.25E-06	0.00E+00	0.00E+00	1.38E-05	1.35E-05	5.03E-05	9.14E-06	2.23E-05	1.53E-05	5.05E-05	1.96E-05	2.92E-05	0.00E+00	1.21E-05	1.44E-05
NC50[7]	7.48E-07	8.53E-06	1.61E-05	3.78E-06	6.20E-06	3.77E-07	1.90E-06	0.00E+00	2.04E-05	1.95E-05	4.49E-05	3.16E-06	3.36E-05	9.59E-06	5.04E-05	9.90E-06	1.13E-05	0.00E+00	7.65E-06	6.75E-06
NC50[>7]	1.65E-06	1.14E-06	4.52E-06	4.93E-07	2.79E-06	0.00E+00	9.41E-07	1.76E-11	9.38E-06	8.81E-06	2.16E-05	7.20E-11	3.05E-05	5.35E-06	1.94E-05	4.71E-06	8.11E-06	9.36E-11	8.24E-06	1.49E-05
BoChr[1]	1.00E-06	4.81E-04	1.24E-03	1.20E-03	2.55E-04	1.65E-03	7.84E-04	3.22E-04	1.37E-03	4.35E-04	1.26E-03	1.46E-03	4.81E-04	6.23E-04	2.46E-04	2.86E-02	6.05E-04	9.83E-05	3.75E-04	1.83E-04
BoChr[2]	5.84E-06	6.71E-04	2.09E-03	6.27E-04	3.49E-05	1.60E-03	6.94E-04	0.00E+00	5.43E-04	5.48E-04	3.57E-03	1.08E-03	6.44E-03	1.51E-02	1.27E-04	1.08E-03	6.95E-03	7.36E-05	2.30E-04	4.79E-03
BoChr[3]	9.61E-06	5.12E-04	1.36E-03	2.53E-04	9.93E-05	1.76E-03	9.86E-04	7.70E-05	2.37E-04	5.71E-04	2.00E-03	1.37E-03	1.19E-03	2.08E-02	1.83E-03	1.25E-04	1.10E-02	5.34E-08	6.34E-05	4.46E-03
BoChr[4]	2.19E-07	1.11E-04	7.14E-04	4.16E-04	7.46E-05	5.89E-04	8.15E-04	3.08E-04	6.44E-04	4.58E-04	4.88E-03	2.61E-03	3.68E-03	9.19E-03	3.08E-03	5.09E-03	8.52E-03	5.37E-03	6.97E-03	3.36E-03
BoChr[5]	3.07E-07	8.60E-05	5.55E-04	1.11E-03	1.17E-04	2.69E-04	5.21E-04	5.52E-04	5.10E-04	4.18E-04	6.49E-03	4.82E-03	4.17E-03	1.16E-02	3.13E-03	1.38E-03	1.86E-02	1.38E-05	2.01E-04	3.75E-03
BoChr[6]	3.53E-06	2.92E-04	4.24E-04	4.42E-04	7.93E-05	1.11E-03	7.81E-04	1.68E-04	5.37E-04	3.70E-04	6.60E-03	1.82E-04	8.36E-03	2.00E-02	1.46E-02	7.25E-03	9.65E-03	6.79E-03	1.13E-02	1.41E-02
BoChr[7]	5.87E-06	2.18E-04	2.73E-04	3.62E-04	1.41E-04	6.01E-04	1.15E-04	4.42E-05	4.42E-04	4.32E-04	1.81E-03	1.81E-03	7.20E-04	3.74E-03	2.86E-03	7.05E-03	2.36E-02	1.55E-04	3.43E-03	8.71E-03
BoChr[8]	8.81E-07	1.96E-05	4.93E-04	1.03E-05	1.04E-06	1.32E-04	6.05E-05	1.19E-06	6.92E-05	4.55E-05	2.32E-05	1.27E-04	3.56E-07	1.13E-04	1.64E-07	7.51E-06	1.55E-05	1.20E-02	8.79E-04	2.35E-09
BoChr[9]	3.28E-09	1.55E-04	2.56E-04	5.64E-04	4.88E-04	6.79E-04	6.99E-04	5.23E-05	7.30E-04	4.13E-04	2.15E-03	2.84E-04	2.82E-03	6.70E-03	1.26E-02	3.72E-04	6.68E-03	3.83E-05	3.37E-03	1.87E-03
BoChr[10]	2.78E-06	1.62E-04	1.20E-03	3.20E-04	1.93E-04	4.70E-04	6.56E-04	0.00E+00	6.43E-04	4.25E-04	2.66E-03	2.65E-04	2.89E-03	6.34E-03	4.80E-03	1.69E-03	4.48E-03	2.63E-03	5.21E-03	1.52E-03
BoChr[11]	5.13E-07	8.29E-07	2.98E-04	3.75E-04	3.46E-08	1.20E-04	2.90E-05	6.70E-05	6.49E-04	2.45E-04	1.04E-04	2.21E-03	3.85E-04	8.91E-05	1.71E-04	9.24E-03	1.31E-04	3.29E-03	2.74E-04	2.36E-02
BoChr[12]	5.94E-08	1.09E-04	8.15E-04	5.65E-04	1.43E-04	7.48E-05	5.66E-04	3.16E-03	3.95E-05	8.83E-04	5.60E-03	4.03E-03	5.60E-03	6.81E-03	1.00E-02	1.91E-02	1.71E-02	5.57E-03	1.31E-02	8.75E-03
BoChr[13]	4.49E-07	2.08E-04	3.19E-04	3.32E-04	3.12E-04	3.35E-04	6.38E-04	2.64E-06	4.38E-04	1.61E-04	2.96E-03	2.85E-04	2.63E-04	6.67E-03	6.50E-03	1.03E-03	2.45E-03	1.05E-04	4.45E-03	3.32E-03
BoChr[14]	1.41E-05	2.48E-04	4.61E-04	4.27E-04	3.48E-04	4.39E-04	2.91E-04	1.18E-04	5.73E-04	2.21E-04	2.11E-03	3.93E-06	4.90E-03	2.92E-03	8.50E-03	2.32E-03	1.52E-04	1.26E-04	3.24E-03	2.82E-03
BoChr[15]	1.32E-08	1.17E-04	3.60E-04	2.73E-04	1.66E-04	3.53E-04	1.41E-04	6.08E-05	4.48E-04	1.80E-04	1.02E-03	3.78E-04	3.25E-03	2.44E-03	5.68E-03	2.00E-03	1.10E-03	0.00E+00	2.95E-03	1.80E-03
BoChr[16]	6.33E-09	2.33E-04	3.25E-04	3.52E-04	2.70E-04	2.48E-04	1.42E-04	7.44E-05	3.69E-04	3.19E-04	1.45E-03	5.56E-05	1.86E-03	8.52E-04	2.15E-03	6.13E-05	2.70E-04	2.88E-05	1.32E-03	9.77E-04
BoChr[17]	9.72E-07	1.36E-06	7.29E-09	2.18E-04	1.85E-04	5.46E-07	1.84E-05	2.21E-04	3.31E-04	1.11E-08	4.46E-05	3.77E-05	3.45E-07	1.32E-08	9.94E-05	8.10E-03	2.30E-09	7.74E-03	2.44E-02	1.13E-02
BoChr[18]	3.02E-06	1.15E-04	5.06E-04	2.63E-04	3.66E-04	7.21E-04	3.88E-04	6.69E-05	2.79E-04	8.98E-05	1.02E-03	2.22E-04	2.04E-03	4.74E-03	1.17E-02	3.19E-03	5.31E-03	1.82E-10	2.90E-03	3.14E-05
BoChr[19]	2.13E-07	1.33E-04	1.86E-05	2.33E-04	1.93E-04	9.53E-04	3.05E-05	1.80E-04	1.41E-04	1.85E-10	2.79E-03	1.20E-04	2.48E-03	5.59E-03	1.16E-02	3.74E-03	5.55E-03	1.44E-05	6.94E-03	5.47E-03
BoChr[20]	3.91E-09	1.25E-04	2.30E-04	3.16E-04	1.17E-04	5.48E-04	5.82E-05	3.12E-04	1.38E-04	7.74E-05	3.57E-03	1.63E-05	1.98E-03	5.89E-03	8.17E-03	3.17E-05	4.88E-03	2.82E-09	5.40E-03	5.09E-03
BoChr[21]	5.54E-06	5.75E-05	2.50E-04	8.41E-05	2.06E-04	2.58E-04	4.69E-04	1.33E-04	1.90E-04	4.73E-05	9.31E-04	6.12E-04	1.20E-03	2.63E-03	5.12E-03	1.72E-03	1.70E-03	5.50E-04	1.07E-03	1.55E-03
BoChr[22]	9.28E-06	1.03E-04	1.05E-04	2.17E-04	2.41E-04	2.94E-04	1.72E-04	2.22E-05	1.59E-04	9.25E-05	1.03E-03	9.27E-05	1.88E-03	7.31E-04	5.37E-03	2.43E-04	7.57E-04	3.17E-10	2.18E-03	3.01E-04
BoChr[23]	3.69E-05	4.95E-05	6.89E-04	3.38E-04	6.57E-05	2.06E-04	8.49E-04	2.44E-04	7.18E-04	6.94E-05	1.66E-03	1.39E-03	1.86E-03	5.30E-03	6.84E-03	9.56E-04	8.33E-03	1.05E-03	3.04E-03	5.74E-04
