MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R	SBS80S	SBS80T
BPArm[>30]	6.890694534078534e-08	0.0	8.058598614297808e-06	0.0030527318781241775	0.0	0.0012942376986026715	3.3755049229222677e-06	0.002765764461364597	0.0	1.0495412097242251e-05	0.0	0.0011765446105406951	2.435678739516334e-06	8.547402898159362e-05	1.751501695252955e-05	0.0	0.00013070890912786126	2.9209118611106534e-06	5.106820097694253e-05	3.7338817571708204e-06
CN[0]	3.7935047556869604e-06	0.001267510557177829	4.082045634845599e-09	8.567963760697239e-10	4.865004319398736e-08	1.401298464324817e-47	0.0027992354127564954	1.8509308539194082e-08	0.0089225832292329	0.09112050621313159	7.776365009704023e-09	8.685102670966803e-06	0.006398007375092476	3.6343402385341505e-08	0.002834483098971623	0.0019742037030492554	0.006451367838101163	3.7157960264266875e-09	2.7704764065106248e-08	9.889191154854871e-09
CN[1]	0.0009993047013143296	8.392382815523508e-05	0.0005763006090923816	0.0003843011313397371	3.845097776704165e-05	0.0	0.3567283983528614	0.0	0.023841357900586217	0.020041725726729832	1.2611686178923353e-46	0.003081607247282321	0.0072037758927211825	0.0004165807552656986	0.001682161520975285	0.0026822437744050374	0.0018960535681361535	0.0005227236752947322	8.71503830921938e-06	0.003090558821412941
CN[2]	0.013822480932661349	0.03151883417242389	0.007726515397778569	0.059021780359034895	0.0002385367220271642	0.0003045453800685994	0.2206245228741318	0.0013098590480976927	0.006095216000604182	0.0628414331321397	0.0006072773624272855	0.01161550280277553	0.6210535038867966	0.0028034240624909344	0.0015638239510831341	0.007242564759234962	0.006040089136618819	2.726302765713744e-05	0.0011297066645136057	0.0005952144968586916
CN[3]	3.560415393399907e-08	0.0008781448006629944	0.036309796213730074	0.11213073123362846	0.017005986289586873	5.052939988672733e-05	0.0	0.0013833045470528305	0.02991058227534225	0.0005255042761564255	0.20952151390509016	0.009340064040152356	0.011607917870961658	0.023772637714428127	0.07381590968088403	0.07396309013012797	0.0750405078517315	0.07449194535984471	0.05026501916829147	0.042334925644649496
CN[4]	1.6426765603316795e-09	0.0	0.0014859371083716156	0.0027911158078268274	0.00020346189276722272	0.11042221011593938	0.0	0.0025247887576199447	0.0074238416303787245	0.0175472166823449	0.26228098176419734	0.0015025391270897615	0.0016194541412634321	0.016169363697911443	0.02291482957738026	0.014430296084500593	0.02867406847305233	0.02797794479287259	0.05369229177551176	0.02981987696574069
CN[>4 & <=8]	2.772578916454549e-08	0.0	0.0002648465094897159	2.987742220739165e-08	1.1540251207975416e-08	0.23834833718836307	0.0	0.05361182290322063	0.06805356840603054	1.4917657608748414e-07	0.019087232479763544	0.0008584072009220205	2.8625858618624987e-07	0.01228339632546806	4.4741155761585107e-07	0.004128238067171424	0.0035521693480396245	1.2800050060945977e-06	0.00031247336054053565	0.0022710040196774967
CN[>8]	1.2747710359084508e-07	1.1421307051229235e-08	2.3559346107315803e-09	1.337138392898396e-07	3.4604910581492732e-09	0.0020799323879798237	1.7669913621176646e-09	0.19141835749149322	9.073785330385498e-05	5.958838499029243e-09	4.967843057812615e-08	1.3583721200305377e-07	8.778594340341783e-10	6.364494918095431e-05	5.252155688140192e-09	2.5916414259086194e-08	5.441239203207715e-08	1.222959163271753e-08	3.191299882817e-08	1.0649723947153689e-07
CNCP[0]	0.04767170663923025	3.565652495041149e-08	0.0	0.0	0.00022461908646874917	0.0	5.7774639117269545e-09	0.0	0.0003120019355890236	0.0005298539263137059	0.0	0.0	7.842122460715472e-05	0.0	2.3174192756414412e-05	4.394363146275282e-05	6.695072050206364e-05	0.0	0.0	0.0
CNCP[1]	0.0	0.07273873242549599	0.21923524966055766	0.3415759646892548	0.03508774891088251	0.009135581577671312	0.19818624279461802	5.605193857299268e-47	0.0015429175272583962	1.401298464324817e-47	0.005696203584448085	0.31751153338700533	0.02918142909884864	0.029234343799189766	0.01818746494951713	0.01244546206071349	0.02186190733615149	0.0033034758261694186	0.015252070142887535	0.0060160415265819054
CNCP[2]	1.3926249138318525e-08	9.040195209308876e-08	0.0007041405968413983	5.058333337728982e-05	7.885776948374306e-05	0.14263190327292852	1.0387628890384804e-09	0.0035039175737725786	0.01618338844294158	0.3393454672396183	0.0700606450428711	0.014368533598296339	0.003703965502139468	0.008469732091129249	0.002928698166031206	0.00840894790991796	0.009562909869459872	0.0033212401561049	0.02670471216185092	0.0027974775708570123
