MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P
CNCP[4]	1.1138604589011613e-07	9.233453219792408e-09	0.0001263396390876892	0.00022708032280206682	0.015427136347345254	8.723679025379738e-08	0.0	0.032787172310054305	0.0012752731896548575	0.04085071404464543	0.0003350148892388916	7.289363602467347e-06	0.00019761706915462452	8.186389179314801e-05	0.0004971208092203483	0.00043474925335814876
CNCP[>4 & <=8]	1.0824068754189397e-07	9.69373745161654e-09	1.012561139290824e-07	3.4353657603813927e-05	0.0015883920629450542	2.6211961805522322e-08	0.0	0.08830030903220176	0.0007493232241925929	0.044962819386273625	2.2130622569173977e-41	4.504247442582709e-08	2.6545995854831973e-08	5.050043104581903e-08	2.510808240828055e-05	0.0002445319782495403
CNCP[>8]	1.9028708628354707e-07	2.5111532851340714e-07	2.657382047743795e-10	1.972541103789638e-09	1.8977199545133773e-09	5.648381244949263e-08	2.2726534568251466e-07	0.08025197736918926	6.720084238465152e-08	1.5993570430359802e-07	8.711531620519964e-08	1.4011797579212282e-07	1.9318585216865407e-07	1.852742798291729e-08	1.4444016693815343e-09	1.3012601947082203e-08
OsCN[0]	0.04536538275890464	0.0006103370152413845	0.05070502838798308	0.013897587072128771	0.10188991265837104	0.005403853875671678	0.0018904483906226233	0.18339898504316807	0.008288620719009394	0.006239092347405936	0.007074551297118887	0.003863136607980419	0.039799931277524486	0.04351698131542277	0.042773477520095186	0.08485494918573579
OsCN[1]	0.00016827027157290787	0.049521202379837634	0.028147810348309578	0.016150230462662875	0.03522368999198079	0.004421146795986974	9.80908925027372e-47	0.02498112339526415	0.04773893544450402	0.10184731336310505	0.022618192880763673	0.018739409323316067	0.022055963982402317	0.0055691396473763095	0.02304053217456129	0.018072132433917427
OsCN[2]	5.781251877223781e-10	0.00024201682826969774	0.011836765562184154	0.006454512123018503	0.007759754766375408	0.004852169455261901	0.0019260293789716343	0.003846378721354995	0.0027207508981518915	0.00022188366143382154	0.0034266931882727804	0.007496571709925775	0.0030391884255967483	0.006234110279328888	0.006362031987701085	0.008158008513937496
OsCN[3]	3.3339755844963295e-10	0.007866905382834376	0.004720127075561322	0.008462338134413584	0.0021407997647838782	5.065925040980801e-05	0.0025664679248332332	2.4644034938319236e-05	0.01331544276094064	0.004641654138540616	0.0017864567859214732	0.010301792242898955	0.002402562494371523	0.0008595403977960813	0.0016755541013816356	0.0012525394050680915
OsCN[4]	2.0232256752183986e-08	5.223518703132868e-05	0.0025898230640450494	0.003998390953347553	0.001086719212726166	0.0004166661515046144	0.0024261549707071594	8.127096407406497e-07	0.0003956651362022967	1.3946445542387664e-05	0.000675714628881221	0.0023580741426121677	0.0005091057401234877	0.0010601036723360162	0.0005411162909190192	0.0006447730923946438
OsCN[>4 & <=10]	1.2232667940814679e-08	0.0004890205978040286	0.0015912310614839952	0.011879946207627654	0.00021453390174969118	0.0	0.008026623612595358	0.0	0.004537448682185641	6.810840655816718e-05	0.0005574062143582736	0.007069437866666703	0.0005582416149469083	0.0003948272434433875	0.0003395240433746949	0.0001447189236702684
OsCN[>10]	4.178473703930763e-08	2.608742377674389e-10	1.9249622208986626e-05	0.002280984417068268	2.520018327345497e-10	0.0	0.002456486698865774	4.086210262377321e-09	2.9226675967244376e-05	0.0	5.184196788681206e-06	0.0010847020737277191	4.6221551374792114e-05	8.605387369980732e-05	1.9361366015173688e-05	4.502058444497692e-06
SS[<=2]	7.627572493618117e-08	7.861168114686734e-08	0.0	0.00017759483820555032	0.0011386135835346068	1.639731534325507e-05	2.6638511489451844e-06	0.0014151329908054322	7.468553856597282e-05	0.00255638794740662	0.00023975510053020344	0.003446010113693774	0.0003519860916588872	0.00015218471407933974	0.0002121202239743525	0.0007305301623039193
SS[>2 & <=3]	8.935284284472545e-08	0.0	0.0	0.00039412346291186424	0.00018493142864127948	1.8860833733924664e-07	0.0	0.002795689759443576	0.0001228258620868594	0.030835423367911972	0.00016123014536105983	0.01800017591440522	0.0023347675665720403	0.00020674412120570197	0.00012327780497344064	0.0005757162207746092
SS[>3 & <=4]	5.709495798589259e-08	5.186088856135029e-09	6.5295542867716e-07	0.0026689675145371437	0.00024213505064153652	1.401298464324817e-47	0.00012284998892781118	0.0014941255017686217	0.0008652099348994114	0.11902475111621243	0.0006126744063450929	0.09578642592575591	0.010923800487794323	0.0034633674447606703	0.0008802895568987879	0.0005476969140545407
SS[>4 & <=5]	1.2966999696217841e-11	0.004065520870158253	0.0	0.043826917419210076	0.0030202146767164158	7.84945848863572e-06	0.011218329745245939	0.04693149994709529	0.05189597775926814	0.02246972267792694	0.01238872089132201	0.2175012624077499	0.028256574149040717	0.017880069822805923	0.02833760887508742	0.02347324387622393
SS[>5 & <=6]	0.0	0.0025188803020864733	0.0014939266256988049	0.15664779188111425	0.09152726032305508	0.000769783256109804	0.08219695529409364	0.09900716758333146	0.042941298304409535	0.0009009546274319291	0.009743319095895864	0.025318587164802012	0.0049617680483768824	0.034449436376910184	0.01954169047754476	0.04186946203197328
SS[>6 & <=7]	0.0	0.002632734798826277	0.1955320341140032	0.06934672520970248	0.057052839024691694	0.005082826440098529	0.05015289418864995	0.030146793376188724	0.05943174662999809	0.048844591699307785	0.016915573703918198	0.002646741569042206	0.013595785156514597	0.022072059081686954	0.03165881878478103	0.026403219957595675
SS[>7 & <=8]	0.01573668046388775	0.13022449325770138	0.07768599983304739	0.006172407930115508	0.004665309433021037	0.10251494050957262	0.009938087031155025	0.0005514003916270154	0.04246478344880547	0.04181370062753558	0.023052493176655843	0.0062614210218531145	0.036073503078296765	0.015821561771894005	0.029367286516353487	0.012354392152693619
SS[>8]	0.036474128477275373	0.0018455175322703	0.0	6.39254283951729e-09	1.1063861271587428e-09	0.00844659323339755	0.0	1.942760086137696e-10	1.3929000886037102e-09	0.0	5.724663356687643e-09	8.840034557699995e-09	5.610417304069415e-09	1.2482180622441773e-10	4.770149004684754e-09	3.928217699566972e-08
NC50[<=2]	0.001289051314815879	0.0	3.58661345067901e-11	5.993498000345099e-08	1.7241293741948603e-07	8.546549246091217e-11	2.164065326382136e-09	7.731313615497726e-05	2.107403295825705e-06	0.0	2.069016124366385e-06	3.928113937976541e-06	7.832999597061629e-06	7.982184311750018e-07	2.269589912025083e-06	7.550154417046429e-06
NC50[3]	0.0005740094502107241	2.5050291535562153e-05	0.0	1.6364153289694095e-06	2.5517688040954667e-06	0.00029644720083950917	3.596768780684267e-05	9.255969442131473e-05	4.6101107727736233e-07	0.0	4.02761266741436e-06	5.565973256622669e-06	4.32289729360491e-06	1.0503643304389243e-05	1.0904841796843812e-05	4.711037011588814e-06
NC50[4]	0.0001470693753736896	0.00032405383193690796	0.0	4.387689896248048e-06	1.2844081119722795e-06	0.0009471936184998286	0.00013587012989940917	2.0944763022523462e-05	1.5987067672540433e-06	2.2110286934662328e-11	7.717241533100605e-07	1.761437166351243e-05	2.0522321392490995e-06	0.0003063790779140163	2.9649634398083436e-05	8.784309611655772e-06
NC50[5]	2.2247223913751668e-05	0.0006585399433970451	3.1242032375616844e-07	3.139740996689665e-06	1.7418038011171032e-05	0.0007918294965929818	0.0	3.9824236651497814e-07	2.66124908380151e-05	9.368601604364813e-07	1.7686755421486568e-05	5.922772780451169e-06	1.319977367661096e-05	0.0	1.2638991643250108e-05	1.3357357083521038e-07
NC50[6]	4.29133564001205e-06	0.0006227575159573462	0.00015738994007983954	2.048946731744286e-05	6.738440423013081e-06	0.0003418503225742597	0.0	0.0	9.217436638669696e-05	0.00013210462594827278	0.0004890908073362965	3.177832752654375e-06	4.927161723360385e-05	0.0	2.1625205408781767e-06	1.1453932092990726e-05
NC50[7]	8.69055778366601e-06	4.036748316867289e-05	0.00035273657988000196	3.177175861387605e-05	2.3625987296327366e-06	6.691959273283032e-05	2.787143178606399e-07	0.0	0.00016630186904755817	0.00022896060431974784	0.0003889500591037631	2.908732567448169e-06	4.977356298809354e-05	0.0	3.027418087206968e-06	1.152520242612809e-05
NC50[>7]	2.615235766825208e-05	7.741621544328225e-06	5.590159372116599e-05	2.2004322797308793e-06	0.0	8.695696992742085e-06	2.938832469405739e-06	9.338316786511314e-12	5.950246309116558e-05	8.35847813994417e-05	7.510648354215554e-05	6.66475752950646e-07	1.4505271006912679e-05	1.3038293467104723e-09	3.931384720812226e-06	1.3219500937609041e-05
BoChr[1]	7.101521829988577e-06	0.00278922629971464	0.010231227670242942	0.009723511877565838	0.01158149182002875	0.002498606871342286	0.0019130896481511605	0.004004299629085812	0.004223003103592208	0.015092727752433959	0.029504018606308354	0.025127663128992186	0.022843996690057652	0.01816834065269398	0.15400435537099838	0.009898763373425403
