BP10MB[0],BP10MB[1],BP10MB[2],BP10MB[3],BP10MB[4],BP10MB[5],BP10MB[>5],BPArm[0],BPArm[1],BPArm[2],BPArm[3],BPArm[4],BPArm[5],BPArm[6],BPArm[7],BPArm[8],BPArm[9],BPArm[10],BPArm[>10 & <=20],BPArm[>20 & <=30],BPArm[>30],CN[0],CN[1],CN[2],CN[3],CN[4],CN[>4 & <=8],CN[>8],CNCP[0],CNCP[1],CNCP[2],CNCP[3],CNCP[4],CNCP[>4 & <=8],CNCP[>8],OsCN[0],OsCN[1],OsCN[2],OsCN[3],OsCN[4],OsCN[>4 & <=10],OsCN[>10],SS[<=2],SS[>2 & <=3],SS[>3 & <=4],SS[>4 & <=5],SS[>5 & <=6],SS[>6 & <=7],SS[>7 & <=8],SS[>8],NC50[<=2],NC50[3],NC50[4],NC50[5],NC50[6],NC50[7],NC50[>7],BoChr[1],BoChr[2],BoChr[3],BoChr[4],BoChr[5],BoChr[6],BoChr[7],BoChr[8],BoChr[9],BoChr[10],BoChr[11],BoChr[12],BoChr[13],BoChr[14],BoChr[15],BoChr[16],BoChr[17],BoChr[18],BoChr[19],BoChr[20],BoChr[21],BoChr[22],BoChr[23],type
279,9,19,3,2,0,4,25,2,7,5,3,1,0,0,1,0,0,1,1,0,3,3,43,12,52,11,0,7,27,64,5,5,0,0,19,20,3,4,1,2,0,0,1,7,14,29,25,38,10,0,0,0,1,0,0,0,1,3,4,6,1,6,3,3,2,1,1,1,3,2,2,2,7,9,2,1,18,1,2,0
280,26,9,0,0,2,5,28,10,3,4,1,0,0,0,1,0,0,0,0,1,1,41,63,22,5,0,0,7,104,3,1,0,0,0,14,8,6,0,0,3,1,0,1,4,25,28,23,42,9,1,0,0,0,0,0,0,34,2,1,2,2,2,4,1,3,5,3,0,1,1,0,0,1,0,0,2,1,2,1,0
267,11,32,3,3,0,0,25,1,8,0,5,0,3,1,1,1,0,1,0,0,0,14,64,21,8,12,0,9,58,16,9,5,8,0,23,22,2,3,1,2,0,0,0,0,17,23,21,51,7,0,0,1,0,0,0,0,3,4,4,3,10,0,9,5,0,1,7,0,0,3,1,2,1,0,0,0,1,0,1,0
256,21,35,8,1,0,1,23,3,3,1,8,0,3,2,3,1,1,0,0,0,23,42,77,2,5,0,0,6,77,45,2,1,0,0,13,22,3,6,0,5,0,0,0,0,27,22,35,61,4,0,0,0,0,1,0,0,6,8,2,2,0,4,5,6,2,8,5,5,2,3,0,2,0,2,1,0,4,1,1,0
301,3,8,0,1,0,3,36,3,3,1,0,0,0,1,0,0,0,2,0,0,5,13,28,13,7,5,3,16,41,3,4,1,2,0,30,6,3,1,0,1,0,0,0,3,7,18,19,12,15,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,19,0,0,0,0,0,0,0,3,16,3,0,1,0,1,0
316,2,4,0,0,0,0,43,2,2,0,1,0,0,0,0,0,0,0,0,0,1,14,18,1,0,0,0,19,10,0,0,0,0,0,21,4,0,0,0,0,0,0,0,0,0,4,4,10,16,0,0,1,0,0,0,0,1,4,1,0,0,1,0,0,1,1,2,0,0,0,0,1,1,0,0,0,1,0,1,0
295,6,16,2,3,0,0,29,3,10,1,3,0,0,0,2,0,0,0,0,0,1,10,25,26,6,12,0,9,30,19,4,2,1,0,19,15,1,2,0,0,0,0,0,0,13,13,11,33,10,0,0,1,0,0,0,0,2,1,3,1,9,4,7,10,0,2,3,5,0,0,0,0,1,3,0,0,0,1,1,0
314,0,0,1,0,1,0,44,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5,26,0,0,0,0,21,8,0,0,0,0,0,21,0,1,0,1,0,0,0,0,0,0,2,5,8,16,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
316,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,23,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,7,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,24,19,3,3,0,3,17,9,6,3,2,2,2,2,3,0,0,0,0,0,0,4,23,17,27,47,8,3,41,28,6,6,13,9,35,19,5,1,0,0,0,0,1,8,12,15,31,55,4,0,0,0,0,1,0,0,12,3,9,3,11,5,11,5,8,2,4,4,2,1,2,1,2,3,5,2,2,6,0,0
284,18,10,3,1,0,0,26,4,9,5,1,0,0,0,1,0,0,0,0,0,5,22,36,8,0,1,2,7,45,2,0,1,3,0,12,9,3,3,0,0,0,0,0,0,2,14,17,28,13,0,0,0,1,0,0,0,2,0,1,1,1,3,5,1,3,0,1,0,0,0,2,2,5,4,2,2,0,2,1,0
291,9,17,2,2,1,0,30,3,9,0,1,1,2,1,0,0,1,0,0,0,5,18,48,5,9,1,0,12,31,27,3,1,0,0,19,16,0,2,2,0,0,0,0,2,20,9,11,35,9,0,1,0,0,0,0,0,0,2,4,0,4,1,11,2,0,0,4,2,0,0,1,1,0,0,0,0,1,3,1,0
264,13,23,6,10,3,3,29,1,6,1,3,0,0,2,1,0,1,2,1,1,0,14,71,39,33,19,0,7,81,58,8,5,0,0,28,25,6,8,1,3,0,0,1,4,5,54,54,50,8,1,0,0,0,0,0,0,1,19,5,3,11,3,0,37,1,0,2,1,1,6,2,1,4,5,0,0,0,1,1,0
