BP10MB[0],BP10MB[1],BP10MB[2],BP10MB[3],BP10MB[4],BP10MB[5],BP10MB[>5],BPArm[0],BPArm[1],BPArm[2],BPArm[3],BPArm[4],BPArm[5],BPArm[6],BPArm[7],BPArm[8],BPArm[9],BPArm[10],BPArm[>10 & <=20],BPArm[>20 & <=30],BPArm[>30],CN[0],CN[1],CN[2],CN[3],CN[4],CN[>4 & <=8],CN[>8],CNCP[0],CNCP[1],CNCP[2],CNCP[3],CNCP[4],CNCP[>4 & <=8],CNCP[>8],OsCN[0],OsCN[1],OsCN[2],OsCN[3],OsCN[4],OsCN[>4 & <=10],OsCN[>10],SS[<=2],SS[>2 & <=3],SS[>3 & <=4],SS[>4 & <=5],SS[>5 & <=6],SS[>6 & <=7],SS[>7 & <=8],SS[>8],NC50[<=2],NC50[3],NC50[4],NC50[5],NC50[6],NC50[7],NC50[>7],BoChr[1],BoChr[2],BoChr[3],BoChr[4],BoChr[5],BoChr[6],BoChr[7],BoChr[8],BoChr[9],BoChr[10],BoChr[11],BoChr[12],BoChr[13],BoChr[14],BoChr[15],BoChr[16],BoChr[17],BoChr[18],BoChr[19],BoChr[20],BoChr[21],BoChr[22],BoChr[23],type
313,1,4,1,1,0,2,40,1,4,0,1,0,0,0,1,0,0,1,0,0,0,5,30,8,10,4,5,17,21,7,0,0,0,10,23,7,3,1,0,0,0,0,0,5,5,17,6,15,14,1,0,0,0,0,0,0,0,0,1,0,2,0,0,17,0,0,0,0,0,0,1,1,0,7,1,0,0,0,1,0
309,4,7,1,1,0,0,38,1,7,0,2,0,0,0,0,0,0,0,0,0,1,11,27,9,1,0,0,14,23,2,0,0,0,0,16,8,1,0,0,0,0,0,0,0,3,7,4,23,12,0,0,1,0,0,0,0,0,0,3,1,0,2,4,2,3,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0
295,13,12,1,1,0,0,29,2,12,4,1,0,0,0,0,0,0,0,0,0,1,19,33,13,2,0,0,8,44,0,0,0,0,0,9,9,4,1,1,0,0,0,0,1,3,11,12,29,12,0,0,0,1,0,0,0,4,2,1,2,1,2,3,1,3,0,4,0,0,2,1,1,0,0,1,2,0,3,1,0
249,25,29,6,4,1,2,15,4,9,6,4,3,0,2,0,1,0,2,0,0,2,9,41,46,39,20,0,2,92,33,7,2,0,0,14,13,5,5,2,6,0,0,0,5,25,26,41,54,6,0,0,0,0,0,1,0,6,2,11,7,5,5,1,7,3,6,6,18,3,6,0,6,3,3,6,5,2,1,4,0
293,6,13,2,1,2,5,31,4,6,0,4,0,0,0,0,0,0,2,0,1,2,18,28,35,25,10,2,10,49,43,0,3,1,0,25,13,2,2,2,3,0,1,4,6,10,30,32,25,12,0,1,0,0,0,0,0,2,1,1,1,1,8,2,2,7,3,3,1,2,2,1,1,3,34,1,1,2,10,2,0
223,38,43,11,0,1,0,12,7,5,5,2,3,1,2,5,2,0,2,0,0,0,47,79,39,9,11,0,2,158,2,0,2,0,0,15,27,8,2,4,5,0,0,1,18,22,18,52,69,5,0,0,0,0,1,0,0,10,4,7,4,5,6,10,12,3,3,2,6,0,4,8,3,1,4,4,2,3,1,4,1
286,20,10,0,0,0,0,29,9,3,3,2,0,0,0,0,0,0,0,0,0,0,24,33,3,2,1,0,8,33,5,2,0,0,0,14,8,2,1,1,0,0,0,0,0,3,6,7,36,11,0,0,0,1,0,0,0,3,3,0,0,1,0,1,3,0,2,3,2,0,1,1,2,2,1,0,3,0,1,1,0
292,12,10,1,1,1,5,31,1,6,3,2,0,1,0,3,0,0,1,0,0,10,37,50,4,1,0,0,12,72,6,0,0,0,0,13,9,0,2,2,1,2,0,0,1,14,23,18,37,9,0,1,0,0,0,0,0,1,1,0,0,1,9,5,4,1,0,5,5,2,0,0,0,0,1,0,1,0,0,15,0
292,15,13,2,0,0,0,28,7,6,3,4,0,0,0,0,0,0,0,0,0,2,14,30,17,3,5,0,10,41,6,0,0,0,0,15,3,1,6,0,1,0,0,0,1,4,12,8,40,6,0,0,1,0,0,0,0,2,3,1,0,3,4,3,9,0,5,1,2,1,2,0,0,1,1,0,1,0,0,1,0
272,12,15,4,2,3,8,29,1,5,1,3,1,1,1,0,1,0,2,0,1,3,57,75,20,2,1,0,6,128,7,0,0,0,0,14,16,3,0,3,2,1,0,0,3,28,41,40,37,9,0,1,0,0,0,0,0,2,2,7,5,3,2,2,2,1,2,0,25,1,0,0,11,1,0,1,5,2,8,1,0
