Samples	SBS80A	SBS80B	SBS80C	SBS80D
108b67d4-5d66-46da-8675-6acae643b76f	359	0	133	159
10ad692b-4c3d-42de-9b5e-4968441388b3	384	0	101	100
10bb1a92-901e-4a14-80f4-5e88f997754b	377	81	187	96
10cb8ac6-c622-11e3-bf01-24c6515278c0	311	116	56	249
10d15b7a-16d1-4953-aaef-f193ffa97f42	364	199	73	110
10db2142-c623-11e3-bf01-24c6515278c0	413	145	25	39
110b5f05-ded7-45ec-b0f6-a941c92d77dd	0	2672	1352	394
1127b561-ea40-4d5e-95df-daa0a5ebc1e4	440	0	48	23
11473a98-d953-45f9-abf5-709b68a4bae8	389	0	50	92
1157a548-6770-4c89-a84c-bcf6f0e96ea8	422	4	40	43
1168944c-5451-4a18-8758-88bf5723bdd9	290	0	172	239
1193a9c4-5aab-4cd7-a690-60c96bd1172d	447	12	17	8
11ae45fb-05f6-425a-9295-d50d13407006	448	7	0	0
120f01d1-8884-4aca-a1cb-36b207b2aa3a	159	5	1463	402
122bf0a9-8052-49da-a9d7-0e5de9ab7032	438	0	46	23
123c9d1c-72ba-4d82-8e57-d5caa52a40ba	268	158	94	316
124d5b04-4588-44c3-9c00-61e064cf1bdb	295	180	177	250
126ee433-d345-4cac-882a-c91831a24690	193	0	298	478
127b0f7d-d24e-48b7-ac25-d3f14a43952d	148	0	647	429
12874085-a596-41ae-b4cd-817cb1ebb278	212	876	571	139
1292e13b-d7c6-447b-a227-9a8113215580	113	410	500	455
129459c1-38be-45da-bb87-18848c97c544	288	0	447	191
1295947c-c623-11e3-bf01-24c6515278c0	441	7	28	30
129d2c6c-6688-4b29-bfa7-8df3fe77b25a	448	7	6	0
129de5b2-d9b0-4762-9ef8-72d98231fb50	249	0	508	291
12ae2ba1-9484-47fe-8a3f-bba94a6abe0c	450	23	0	0
12d7121a-0345-4808-a819-09d6e3227bd5	442	59	0	0
12f038e1-00af-4c64-a2e0-9e63323492ef	218	658	251	366
12f1ae2f-2666-45be-9742-f502d212373d	345	0	102	175
131332b2-ff51-4bd7-a626-aff2ecea6135	385	0	162	66
1327bbd4-a466-4e26-905f-cf91315f1cc8	356	244	167	99
132f7f2a-b902-4343-aa08-cf6a7af10b9a	458	12	25	0
13446fc4-9fa6-4bb3-a00a-b9265b41eb12	450	10	0	0
134c9a92-e91e-4347-a9c4-727279edebb1	249	0	410	333
1358ff92-4db9-4e42-b63a-984a7bea425a	448	5	16	0
13642cf8-9840-4a7d-a26a-95f65b2c70c3	457	10	26	0
13bd2b30-c623-11e3-bf01-24c6515278c0	352	165	199	127
13c312ec-0add-4758-ab8d-c193e2e08c6d	427	65	0	27
13c62975-9f5e-4d40-a461-dceab08a31ec	351	1	202	132
13c7065e-6780-4571-978e-a7c13078ff50	456	2	27	8
13d05f7a-e16a-40ef-9a15-21257da2cf89	407	73	22	109
140d5fa9-afbe-444e-a7e7-6a4cb4ab2923	382	15	72	132
140d6ef7-0217-4d16-9add-215d0d14ba06	433	10	46	8
141918cd-3e23-45bc-96e1-b208c80f69e7	447	12	89	0
142b6dbf-c943-4a7d-8ab6-13a975f48d7a	340	11	161	214
14334aea-2dae-428c-9d4a-1a37878dfc3f	342	80	226	142
1447c8cb-25d4-4092-8919-4df08f898d2d	450	0	82	2
145f2b89-8878-4390-b0f6-f09b02fb138a	320	21	246	208
145f6dbb-9744-44f7-8485-e440689de3fd	399	0	160	59
14630c19-9ee0-4ab3-9d8b-8c3309d1e7d0	261	583	286	248
147e3496-514e-4da7-be42-7cd9be78ed04	473	67	0	0
148536ce-ee2a-4952-a19d-10d6f44146b9	440	46	13	15
1494bb16-f1f0-42a4-b10e-c383574cbc8b	443	14	34	0
14b8bbf2-310b-459b-b52d-a7ef510ce1cf	257	74	323	274
14bf9bfb-14d6-4cac-a556-828f680e8a15	236	306	467	223
14c5b81d-da49-4db1-9834-77711c2b1d38	218	0	537	333
14cbcbb1-028b-471a-bb4f-8b29cfa5e4eb	459	0	27	0
14dd86c1-dfb3-4124-a453-4d64223bc048	461	7	14	0
14ed7388-41ed-43d4-afb2-04cd6410d5d2	237	640	752	95
14f41457-25c3-4979-8515-4f33322039a5	453	24	0	0
153a64ee-6322-4f2e-b3df-77ef7d3a4cf0	169	586	136	493
154f80bd-984c-4792-bb89-20c4da0c08e0	447	2	18	0
15563a10-47a8-401d-a507-2c7101f7ae60	417	0	52	31
1558629a-770a-4dcb-b0bf-9a8bcea9d80b	357	0	213	121
155873b2-e5de-405f-87f6-6de0d238b160	450	0	62	7
15678c3d-ce61-454d-849e-1d4ca358909b	388	28	73	100
