Samples	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O
0bfd1043-8183-e3e4-e050-11ac0c4860c5	0	237	218	171	0	147	374	0	24	29	59	151	0	0	105
0bfd1043-8187-e3e4-e050-11ac0c4860c5	28	69	691	1582	88	0	116	0	51	0	400	0	0	0	66
0bfd1043-8189-e3e4-e050-11ac0c4860c5	159	72	158	203	108	153	44	0	64	26	34	0	28	57	48
0bfd1068-3fc3-a95b-e050-11ac0c4860c3	0	176	299	98	298	213	25	0	48	0	13	103	52	34	23
0bfd1068-3fc5-a95b-e050-11ac0c4860c3	89	134	87	33	0	220	281	0	73	45	22	68	1	0	9
0bfd1068-3fca-a95b-e050-11ac0c4860c3	260	85	44	11	0	104	89	0	54	9	4	0	0	0	9
0bfd1068-3fcd-a95b-e050-11ac0c4860c3	236	32	77	216	116	118	98	53	80	32	26	28	0	60	71
0bfd1068-3fcf-a95b-e050-11ac0c4860c3	97	202	248	375	204	39	316	86	144	46	20	41	39	0	61
0bfd1068-3fd3-a95b-e050-11ac0c4860c3	36	149	390	0	404	152	45	359	0	67	0	44	0	0	90
0bfd1068-3fd5-a95b-e050-11ac0c4860c3	49	269	195	427	201	94	350	77	51	0	0	0	3	0	31
0bfd1068-3fd8-a95b-e050-11ac0c4860c3	47	167	89	377	115	127	571	98	97	50	0	309	0	0	232
0bfd1068-3fdd-a95b-e050-11ac0c4860c3	106	71	147	541	69	140	408	141	153	58	0	99	0	14	191
0bfd1068-3fdf-a95b-e050-11ac0c4860c3	0	51	768	1206	33	0	288	0	68	167	319	462	0	92	53
0bfd1068-3fe1-a95b-e050-11ac0c4860c3	0	59	795	1054	22	0	340	0	58	154	289	449	0	89	61
0bfd1068-3fe4-a95b-e050-11ac0c4860c3	146	38	162	196	92	177	58	0	101	43	73	24	26	43	49
0bfd1068-3fe6-a95b-e050-11ac0c4860c3	9	96	682	1580	123	0	112	0	21	0	379	0	0	0	80
