Samples	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R	SBS80S	SBS80T	SBS80U	SBS80V	SBS80W	SBS80X	SBS80Y	SBS80Z	SBS80AA	SBS80AB	SBS80AC
08d2a566-8407-4e9b-836c-bf5e1e9f85b2	374	53	0	0	0	3	0	0	0	5	0	0	23	0	17	0	0	0	0	0	0	0	0	1	0	0	0	1	0
08e1d976-6c39-428e-a4c2-f655b675683e	319	87	18	0	0	3	1	1	0	6	2	0	27	0	14	16	6	0	0	0	0	3	3	0	1	1	0	0	0
08f7812b-0d74-42ba-985b-d0a027e8a80c	364	62	0	0	0	0	7	0	0	7	2	0	23	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0
09497b9b-6fca-48cb-af97-161a3e434a51	0	0	0	550	0	598	0	584	766	0	220	858	9	0	390	180	27	122	52	177	49	71	44	187	95	58	14	0	72
09508a0d-ebe0-4fa1-b7b2-1710814181cd	0	0	0	582	368	1802	0	530	1102	0	0	513	33	0	223	57	0	133	61	117	112	170	125	0	85	84	71	0	37
09537dce-c797-4b60-962a-d4c3cd6ab00a	351	68	0	0	0	1	0	0	0	18	0	0	11	0	17	1	0	1	0	0	1	0	4	0	0	0	0	1	1
0972bfcf-c6c6-48cc-b820-cdfa6279a4f3	76	194	47	174	80	125	49	16	110	31	57	69	26	66	71	2	0	6	11	52	0	109	6	0	18	21	0	0	5
097a7d36-905b-72be-e050-11ac0d482c9a	211	132	0	26	48	0	71	0	0	49	3	0	25	0	12	0	0	2	0	0	4	1	1	4	0	0	5	1	0
0980e7fd-051d-45e9-9ca6-2baf073da4e8	263	130	15	0	3	0	26	0	0	14	16	0	23	9	15	0	0	1	1	1	1	0	4	0	0	0	1	0	0
09bc8542-4ea1-4599-91b3-d606425b37e2	0	184	53	249	137	160	69	150	130	70	60	25	42	91	126	11	28	2	59	34	0	2	25	5	62	21	41	0	4
09cb8bc5-13ac-44ac-9b7d-6de143373570	103	196	53	43	0	81	54	54	67	7	46	43	21	16	16	0	5	9	18	17	4	5	1	29	1	4	31	0	9
09e1fe3e-bfd8-4175-ac42-0e1bf0ba5523	82	118	209	197	43	0	30	0	0	137	11	0	46	0	0	0	0	2	0	0	6	0	36	0	1	8	2	0	5
0a6be23a-d5a0-4e95-ada2-a61b2b5d9485	183	161	18	21	22	11	53	0	0	28	0	1	31	0	7	32	0	0	4	2	0	1	1	0	2	4	0	0	1
0a9c9db0-c623-11e3-bf01-24c6515278c0	118	195	14	5	0	43	117	18	35	5	5	0	12	18	14	0	0	2	5	2	2	8	6	5	4	4	2	2	1
0ab4d782-9a50-48b9-96e4-6ce42b2ea034	209	140	53	34	27	6	35	0	2	37	6	0	24	8	9	0	2	1	4	1	6	11	3	0	0	0	0	0	1
0ae2193f-0d68-485a-b8c2-7568cbcce33e	260	146	0	0	26	12	0	0	0	13	13	0	27	13	16	1	0	3	0	0	0	1	1	0	0	10	0	0	4
0b19bee7-5281-4915-9d98-c20eb3e84ecf	54	119	77	77	148	12	169	0	9	105	35	0	48	17	13	10	23	6	1	9	0	7	0	15	1	1	0	15	16
0b29c893-03bf-4131-b192-c14a2788d411	234	150	31	8	0	22	22	0	35	0	10	0	1	17	5	0	0	2	1	5	9	5	2	1	4	1	6	6	2
0b6cd7df-6970-4d60-b7b5-85002a7d8781	349	80	0	0	0	0	0	0	0	7	0	0	20	4	17	5	0	0	0	0	0	0	0	3	1	0	0	0	0
0b811c6a-8f05-44bd-ac33-fb720d189e71	393	37	0	0	0	0	0	0	0	1	0	0	20	4	17	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0ba8f2e2-935a-4123-86aa-6e7f5de85bf4	330	83	0	0	12	0	3	0	0	9	0	0	23	0	13	0	0	0	1	1	0	0	0	0	0	0	0	0	0
0bafd9ae-64b3-492d-a6fd-12aa8edefcbe	313	84	28	34	18	0	7	0	0	25	12	0	31	3	11	0	0	6	0	0	0	0	1	0	0	0	3	0	0
0bbc7ede-5022-4084-925c-d65baaf7abc2	38	151	39	90	32	102	167	73	90	29	19	130	34	19	56	35	10	2	26	61	0	13	4	0	29	34	0	0	0
0bd3a230-531e-44aa-9999-b8ed8da0176b	150	204	62	38	41	0	0	0	0	50	20	0	35	0	1	0	0	0	1	1	8	0	4	2	1	1	0	2	3
0be08326-c623-11e3-bf01-24c6515278c0	135	140	67	13	0	12	117	6	4	37	18	0	22	15	14	3	1	5	3	3	0	5	6	0	3	0	4	7	1
0bfd1043-5142-3662-e050-11ac0c486501	59	158	67	132	120	80	106	65	44	36	47	0	49	91	39	0	17	18	29	3	3	2	31	0	18	10	2	10	10
0bfd1043-70fb-d2dc-e050-11ac0c4860cb	87	148	72	90	145	87	79	0	34	44	34	0	47	75	27	7	41	17	4	2	7	2	35	0	23	3	0	5	9
0bfd1043-7343-fdd0-e050-11ac0c484cab	0	50	142	97	178	143	112	155	305	1	9	283	8	10	98	61	36	9	58	53	2	21	21	28	24	64	0	66	6
0bfd1043-7344-fdd0-e050-11ac0c484cab	13	0	0	1394	789	187	0	43	159	109	0	0	228	434	76	17	8	37	46	62	128	42	43	7	45	28	37	86	34
0bfd1043-7346-fdd0-e050-11ac0c484cab	110	167	67	0	43	164	94	0	31	14	18	4	30	44	17	0	20	6	7	8	30	0	10	3	3	1	4	7	6
0bfd1043-7ebf-aaec-e050-11ac0c482f39	87	62	74	379	119	110	94	179	1	257	209	46	50	87	42	4	0	24	98	12	52	18	29	0	9	3	17	15	17
0bfd1043-7ec1-aaec-e050-11ac0c482f39	27	88	195	375	161	61	44	76	30	177	49	11	62	75	14	38	0	9	22	53	123	7	14	0	2	9	0	0	5
0bfd1043-7ed6-9ccc-e050-11ac0c481957	117	196	46	0	37	187	65	0	15	11	29	4	38	43	11	0	12	6	1	10	31	0	7	3	1	1	4	6	6
