MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R	SBS80S	SBS80T	SBS80U	SBS80V	SBS80W	SBS80X	SBS80Y
CN[0]	3.977474026264361e-06	1.4139991975525844e-07	7.903471779258098e-09	2.1779714920455716e-09	1.3441584680862206e-08	1.401298464324817e-47	0.00242188189782655	0.004860471012247154	0.0021674317265660647	0.13577418354909107	8.825203599016618e-09	0.0037835540228380892	1.011567434261451e-09	2.3427469564296644e-09	2.583416526924509e-08	2.3673086318787284e-07	4.992981672558016e-09	8.261615853655257e-09	6.24459197263722e-08	0.0029859631948571776	0.0029760662234001602	2.2763182379037518e-08	0.008572818213576756	1.630760112885099e-06	4.079910143062193e-08
CN[1]	0.0006046430988264007	3.4970204161991136e-09	4.763865587168681e-05	0.0003348497091589664	0.0004897786607747201	8.407790785948902e-47	0.002013956104584267	0.013020600234878948	0.445843965113163	0.03966848281818625	2.802596928649634e-47	0.0025185683105893785	2.6400463067879553e-44	0.0008082978598683077	0.0018275403871334816	0.0007933075870779447	0.0004975201807209828	6.586363939163675e-05	0.0001283743275670446	0.002335872113413018	0.0008803366481002683	0.0018014995200419004	0.0020318988466169687	0.0006174106749889008	0.0004082726108717036
CN[2]	0.004659772239931125	0.00018762838095426562	0.02823410688756223	0.041090725877558916	0.010711988983622009	0.00012597361772306566	0.0021494471631019335	0.003071922515017058	0.22632580508262762	0.04098807756736365	0.0003836957232785742	0.7939738267660141	0.0033365483207557236	0.007719400103959333	0.010310805246000317	0.013104850249592504	0.00259471802226146	0.0014397307369606702	0.004454904896574476	0.004146542623977509	0.001610528706385766	0.0004371726140078065	0.0065959736591127225	0.0002202471543028655	0.0014557380156334928
CN[3]	2.88030653328164e-08	0.004611527764960215	0.00012369276024401188	0.06748194323194184	0.029361803754802622	0.0020873251376360715	0.03174623040789189	0.03323523859450305	0.0	0.0017513309273635969	0.0018225775402970642	0.00922897014109309	0.031612237050501334	0.37889290645718576	0.007945514963967074	0.0004618501854684338	0.06608169327688301	0.07923524732904298	0.015170935550202103	0.012241949850001219	0.06410160073657929	0.041048028788790936	0.02392610373291973	0.028879646999798822	0.06845539030475947
CN[4]	1.354174150758336e-08	0.0	9.988293641072232e-08	0.002517808431617823	0.0010047063725643567	0.145192964351736	4.725760327503315e-06	0.0067294102384340485	0.0	0.003887617117325487	0.0033165948537115697	1.5354041124737705e-07	0.2083510327498095	0.13761170037802486	0.0016022447284375963	0.004283060080298244	0.001062593607745086	0.009991907196343705	0.010626124474981645	0.009408976089997745	0.018076869597122	0.01162313328829029	0.009600779573350735	0.04158753810482949	0.02271946591967435
CN[>4 & <=8]	7.092503956140917e-08	4.092878338468614e-09	4.900982659705733e-09	1.1406937119318177e-08	4.823351144439022e-08	0.34191439613699914	7.956818043552971e-08	0.07461688335825216	0.0	0.0002793251885424297	0.043138497755379035	2.715074913339777e-08	0.008215447829316887	0.0014507773684973916	2.7437915679939805e-07	0.019729244506752636	1.5869298965684694e-05	6.549657307175815e-05	1.7727334608252932e-07	2.621692270565745e-07	2.0343849313437228e-05	1.8991583094951636e-06	1.0398204101514721e-05	1.8360473871581662e-06	7.82340191696955e-07
CN[>8]	1.2912814931542726e-07	7.368900689641577e-09	4.768313806025049e-09	1.516718666216832e-09	1.0665058169934128e-10	0.0021143124960462958	2.981060163165239e-09	3.967196763128733e-05	4.3850045550186676e-09	2.629446451685169e-09	0.22186487555503845	7.006492321624086e-47	5.114539428863196e-08	1.1476191552617365e-10	7.511727305065108e-08	0.0008483666392099965	1.8216880036222623e-46	2.7510192790458633e-09	2.2581686209832695e-09	8.812022175064271e-08	1.9459529383425434e-08	2.391425283576609e-08	2.1494794127008277e-05	2.6717627008565616e-08	8.407790785948902e-47
CNCP[0]	0.05215790197253227	0.00010247081309955775	2.7760639902396632e-08	0.0	3.476777692412725e-09	4.793549379655815e-10	2.4691915783954242e-05	0.00018123980038748045	2.802596928649634e-47	0.0013246967744923665	1.401298464324817e-47	1.857168274000287e-05	4.502786588034269e-11	1.401298464324817e-47	1.401298464324817e-47	1.7858630485534377e-09	4.386969294500887e-09	4.776319073585e-10	0.0	3.810079535469413e-05	3.6118512507528064e-05	1.401298464324817e-47	0.00011390766751873116	3.2664664217918473e-09	2.3031423879160684e-10
CNCP[1]	0.0	0.022718220941288524	0.08903309917077422	0.360371117182076	0.25697147332131864	0.018913451358675958	0.09249535735707014	0.0002553226426243782	0.1769007280925507	0.005375825043283839	8.407790785948902e-47	0.0029816373761968862	0.0014273273572325707	0.06293725452426034	0.3213627304509282	0.003299941103905439	0.005203495919704643	4.705617092216151e-19	0.0009510021994015006	0.0034691636486240897	0.003048721719533205	0.0008939682823007189	0.00944525508210063	0.002786896638572216	0.00585189314868785
CNCP[2]	1.3061613570730656e-08	4.589129147802851e-09	0.0019608676956913485	0.0005027057387269452	4.348799171586698e-06	0.09937233209139648	0.0006111288005772053	0.021345293540510214	3.981912399808607e-10	0.2819218129104252	0.0016460895095951856	8.387762238015739e-07	0.2580708323668148	0.008899760829142244	0.014666446183824587	0.013797157329940522	0.0005926295373785706	0.000956525939012165	0.001951630718822439	0.0033036603735098423	7.992167769808489e-05	5.71861288236164e-05	0.014128398894377748	0.0072333478095700345	6.574028040219563e-05
