Samples	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R	SBS80S	SBS80T	SBS80U	SBS80V	SBS80W
0bfd1043-7ebf-aaec-e050-11ac0c482f39	55	88	142	211	439	0	77	328	35	0	127	122	44	166	20	37	27	114	20	23	17	2	0
0bfd1043-7ec1-aaec-e050-11ac0c482f39	24	214	88	224	402	52	0	227	74	60	67	0	60	41	130	16	9	24	4	0	0	11	0
0bfd1043-7ed6-9ccc-e050-11ac0c481957	146	34	212	52	33	2	12	5	104	0	3	21	37	185	13	5	6	2	9	0	0	1	5
0bfd1043-816e-e3e4-e050-11ac0c4860c5	0	0	0	875	1235	144	0	105	1	379	16	0	243	295	87	45	34	47	19	44	27	28	0
0bfd1043-8170-e3e4-e050-11ac0c4860c5	0	272	65	177	156	146	3	40	33	221	15	62	21	121	37	9	26	9	25	45	15	13	19
0bfd1043-8172-e3e4-e050-11ac0c4860c5	0	198	154	151	61	165	25	30	48	150	13	50	22	113	26	11	24	18	8	8	19	15	30
0bfd1043-8173-e3e4-e050-11ac0c4860c5	0	239	118	181	29	204	32	26	56	118	1	65	18	136	17	12	23	14	15	8	23	22	32
0bfd1043-8175-e3e4-e050-11ac0c4860c5	0	236	119	185	54	187	15	16	75	101	10	32	17	145	16	9	25	14	7	9	23	8	37
0bfd1043-8177-e3e4-e050-11ac0c4860c5	217	51	115	54	42	0	0	61	38	44	0	0	25	0	34	4	0	6	1	10	0	2	0
0bfd1043-817c-e3e4-e050-11ac0c4860c5	20	194	125	194	328	15	9	212	88	77	3	1	62	25	86	14	11	23	6	3	0	7	0
0bfd1043-817e-e3e4-e050-11ac0c4860c5	0	280	82	214	201	5	6	290	16	69	0	206	80	29	17	15	8	68	12	12	13	5	0
0bfd1043-8180-e3e4-e050-11ac0c4860c5	0	0	0	750	721	42	0	230	0	508	0	471	221	173	50	22	70	41	0	47	33	52	0
0bfd1043-8181-e3e4-e050-11ac0c4860c5	0	86	0	601	630	33	0	163	1	422	0	307	174	179	31	12	78	46	0	48	13	51	0
0bfd1043-8183-e3e4-e050-11ac0c4860c5	0	223	123	230	186	7	0	242	20	104	0	161	74	16	4	12	20	65	4	10	5	9	0
0bfd1043-8187-e3e4-e050-11ac0c4860c5	4	17	0	653	1177	22	0	83	0	450	51	0	253	144	44	29	40	47	0	47	2	28	0
0bfd1043-8189-e3e4-e050-11ac0c4860c5	117	79	158	150	138	58	0	40	29	83	4	24	35	110	0	45	20	27	10	0	18	9	0
0bfd1068-3fc3-a95b-e050-11ac0c4860c3	0	198	145	238	61	156	21	29	16	93	0	67	21	191	13	10	20	10	15	26	17	6	29
0bfd1068-3fc5-a95b-e050-11ac0c4860c3	4	107	291	120	59	1	0	181	55	25	0	91	47	18	26	9	13	6	8	0	0	0	1
0bfd1068-3fca-a95b-e050-11ac0c4860c3	229	69	102	39	17	0	0	62	43	38	0	0	20	0	36	4	0	6	2	0	0	2	0
0bfd1068-3fcd-a95b-e050-11ac0c4860c3	206	50	95	88	178	55	62	77	55	34	15	23	28	90	19	0	35	37	6	90	0	0	0
0bfd1068-3fcf-a95b-e050-11ac0c4860c3	112	184	1	215	336	115	66	216	111	91	20	51	51	90	124	30	11	33	20	0	39	2	0
0bfd1068-3fd3-a95b-e050-11ac0c4860c3	0	115	186	328	8	271	339	32	0	0	69	32	2	118	88	14	15	55	9	32	17	6	0
0bfd1068-3fd5-a95b-e050-11ac0c4860c3	44	199	95	197	394	117	52	221	50	70	1	11	49	34	145	18	11	19	10	0	0	10	0
0bfd1068-3fd8-a95b-e050-11ac0c4860c3	20	135	156	176	469	79	79	377	91	0	36	224	46	82	30	41	24	135	0	43	31	5	0
0bfd1068-3fdd-a95b-e050-11ac0c4860c3	77	66	142	208	505	0	132	279	78	36	65	101	51	167	33	41	22	105	0	20	10	0	0
0bfd1068-3fdf-a95b-e050-11ac0c4860c3	0	0	0	739	759	51	0	205	0	519	0	487	232	197	38	11	64	40	0	76	31	58	0
0bfd1068-3fe1-a95b-e050-11ac0c4860c3	0	0	0	764	667	34	0	234	0	476	0	473	216	191	48	3	63	45	0	66	29	57	4
0bfd1068-3fe4-a95b-e050-11ac0c4860c3	92	50	193	160	120	60	0	47	61	95	0	58	55	102	0	42	20	28	13	0	24	8	0
0bfd1068-3fe6-a95b-e050-11ac0c4860c3	0	22	0	645	1181	47	0	79	0	457	38	0	242	133	51	31	37	56	0	46	0	17	0
0bfe2ac9-0aec-c248-e050-11ac0d487e1c	197	29	152	52	16	5	22	16	115	29	19	61	41	217	17	11	5	2	14	0	0	0	0
0bfe2ac9-0aee-c248-e050-11ac0d487e1c	175	30	190	50	18	14	20	9	90	6	14	25	35	168	4	8	6	2	12	0	0	1	6
0bfe2ac9-0af3-c248-e050-11ac0d487e1c	0	210	147	220	217	12	1	248	14	69	0	132	66	22	4	7	19	73	6	10	3	13	0
0bfe2ac9-0af5-c248-e050-11ac0d487e1c	62	131	88	195	496	0	117	416	38	0	108	241	58	203	66	44	30	138	0	25	13	0	0
0bfe2ac9-0af8-c248-e050-11ac0d487e1c	60	136	112	209	447	0	101	341	29	0	63	154	51	158	58	34	22	107	0	28	11	0	0
0bfe2ac9-0afa-c248-e050-11ac0d487e1c	162	61	125	118	110	43	0	45	51	108	0	50	35	114	0	47	19	8	16	0	30	5	0
0bfe2ac9-0afd-c248-e050-11ac0d487e1c	80	63	169	189	145	47	17	62	26	167	19	57	63	56	0	44	16	32	17	0	21	13	0
0bfe2ac9-0aff-c248-e050-11ac0d487e1c	96	64	176	149	137	70	0	44	30	74	10	42	34	127	0	46	21	36	10	0	27	9	0
0bfebf9f-c779-e57d-e050-11ac0d487827	99	152	53	248	371	69	74	360	26	0	81	175	30	143	3	38	24	150	0	30	25	6	0
