MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I
NC50[5]	2.700353269759148e-05	0.000800518192409072	5.521012990291618e-06	1.4204225018410456e-10	1.7195963417471205e-06	1.2766100150606308e-05	9.89690178175806e-05	4.623530172787049e-07	9.638653014289095e-05
NC50[6]	4.455732454005101e-06	0.0005165067256893963	9.674464410764916e-06	0.00018066206765070093	0.0	3.584337958795203e-07	0.0003811635157228405	0.0	0.00010137790541999588
NC50[7]	1.3374199478732863e-05	7.345707001150004e-05	8.040615308146925e-06	0.0003846563192200847	1.2365337322961523e-07	1.047981221611316e-06	0.00023032141871226486	0.0	6.056717363505548e-05
NC50[>7]	3.07107620392344e-05	3.105535767682355e-06	1.0252986723674473e-06	7.517092901252908e-05	1.5486210790527367e-06	1.2415340422400333e-10	5.960176121618588e-05	1.810246341715782e-11	2.8802279863141545e-05
BoChr[1]	1.4997811618515654e-05	0.006392895127646625	0.013413852537050843	0.015691316465381532	0.001244140455382876	0.027383913709782062	0.00652300866364385	0.011758660366176628	0.02256116996058882
BoChr[2]	0.00011994938594849459	0.00042050053023880076	0.018435517796315252	0.021969321975484492	0.0049968909268500285	0.006009981270926801	0.006584278259251733	0.0	0.004582819067873061
BoChr[3]	0.0001433393746613376	0.0006683902229451632	0.028117346565704793	0.006243513301596977	0.012412185426801442	0.005725333549780771	0.005740505250869319	5.38088206667453e-07	0.003940457093412988
BoChr[4]	1.1035434031025915e-08	0.002352014640709967	0.010892453257692978	0.008202915276633575	0.006691365807729426	0.010459814065835168	0.005005732660647482	0.0032259874061583106	0.006553024332970381
BoChr[5]	7.719055193380341e-06	0.004922598491248209	0.002400104435195799	0.006716698958771303	0.0013150081620365351	0.030411045560613276	0.00635349913565733	0.01043310628272593	0.0015344113134779036
BoChr[6]	4.268683829479869e-05	0.000929869782093109	0.0254334306018427	0.011070335006224922	0.011008829007041641	0.0014318108445149846	0.0037735811169841327	0.004032414903049357	0.006072486009961722
