MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R	SBS80S	SBS80T	SBS80U	SBS80V	SBS80W	SBS80X	SBS80Y	SBS80Z	SBS80AA	SBS80AB
CN[1]	0.0005486671114196095	8.45848925476976e-09	1.4659773327352355e-05	0.00015978017111742605	0.00058600081166162	2.30852882645749e-05	5.605193857299268e-47	0.0007845052590034218	0.01125752593044158	0.47239290207624435	3.081986025108563e-06	0.0011051803494905733	0.0015515807637361775	0.0020317150760639493	0.002793703475453739	0.047699438008748075	0.0024707833001170877	4.429371755150235e-05	1.3147017071063418e-08	7.870375980019161e-06	0.0005925766677368438	0.0002847405986180007	2.9951280700266193e-30	0.0021951886075773303	0.0006143400290541479	1.8711703810367907e-05	0.0005724696722865019	0.00014996039153700736
CN[2]	0.002674032456966806	0.0005350949850098101	0.011199242433040575	0.045980774968009126	0.0050214531438534	0.0011067518377848478	4.523879554014343e-05	0.007546641888797281	0.002759002117515394	0.23207359393255694	3.115830710157752e-05	0.0065186656758759376	0.8715389477461577	0.017801674242834707	0.007255383923818526	0.04119960035070193	0.00670220483455243	0.0029223795915330635	0.000395343254768973	0.00586192259683562	0.0020917887233244943	0.00026758661233088787	0.0017948172859573103	0.001271201617485178	0.002069697373389202	0.007274425497864407	0.0044254972222705965	0.0013973991936457749
CN[3]	5.693384521440425e-07	0.0003455119207529833	0.00038095097988915307	0.08620713015495313	0.012971548979394357	0.03611041310993727	0.0019790934072807433	0.018621104542557988	0.032582713137664775	0.0	0.0026128324400633575	0.0072216842797132585	0.0012593594800127405	0.010300313238691456	0.4665618513524532	0.002143049751757644	0.007877969194702815	0.03559829900583983	0.056312170756376644	0.007567050179059152	0.0416562280107685	0.012698643959811306	0.05346373187073027	0.01602763612636522	0.01937505587082228	0.01804284672089068	0.0047146237679716214	0.012455738950161504
CN[4]	2.4070220397687247e-08	3.5870731096565576e-09	1.401298464324817e-47	0.00376900068187922	0.0004945913160725012	0.00399800134651076	0.13989276502281428	0.2079501882149134	0.005387110915057995	0.0	0.004884307636147014	0.0007484669113307518	1.117298182862214e-09	0.012219367212015619	0.11099743770387192	0.0006543353844240585	0.01535389742412164	0.000808998721096259	0.0038350153682898025	0.007889374034757625	0.007645211125928704	0.051453710887062416	0.0251976955364076	0.007103516595238382	0.009876405443716827	0.004134606123399891	0.03527576469038621	0.024193467552787524
CN[>4 & <=8]	9.310183896715784e-08	8.387692749245445e-09	7.349090260788671e-09	0.0007493480716676614	1.5475744880556146e-08	8.933977746199651e-08	0.3993591763079166	0.00505067945320241	0.08252552774812756	1.401298464324817e-47	0.03191922145249272	3.6936854073132965e-08	2.486661274403446e-07	0.008560242166457987	2.5591505798558957e-05	5.631755301127583e-07	4.987945780499104e-07	5.4855567226752584e-05	5.812425915507902e-06	8.256952769330242e-08	7.843372541858074e-05	5.653414785285804e-05	1.5623344184850403e-06	4.96115624741833e-07	5.572418766134299e-06	9.23929844129772e-07	0.0031697535493794503	0.00012305688358608792
CN[>8]	1.5420320457870672e-07	8.284216428400271e-09	9.765194445238853e-10	2.0964422141389606e-07	1.560159113012105e-10	1.1134693422192784e-24	0.003347568882775249	2.67100542572507e-09	1.8785810731003495e-07	1.930160751228982e-09	0.23252787113189696	4.9137754594141825e-08	6.059912749378782e-10	0.00018917493390461587	0.0	5.234065407755395e-09	5.8145597568122776e-08	4.203895392974451e-47	1.942392096054846e-09	2.705039605643833e-09	1.8447798971733127e-08	1.9781177584832222e-10	1.0404829298451546e-05	1.505717008853935e-09	5.2094610367703354e-08	8.02486825421056e-06	3.881425527652027e-09	9.481789220444626e-10
CNCP[0]	0.05444703737849409	0.00013914573392156626	2.7539573715671394e-05	1.401298464324817e-47	0.0	9.80908925027372e-47	1.401298464324817e-47	2.4287907872349025e-05	6.23481944779769e-05	6.2154965150345375e-22	1.401298464324817e-47	0.0	3.558051178131905e-09	0.005216582688775801	2.4810577770040256e-09	0.0017425320724759885	2.802596928649634e-47	1.401298464324817e-47	0.0	0.0010966461151838303	0.0010117793083190918	1.401298464324817e-47	2.802596928649634e-47	1.2611686178923353e-46	2.1650483006396827e-09	1.401298464324817e-47	4.892779437287054e-05	5.605193857299268e-47
CNCP[1]	0.0	0.024896432037930936	0.08804400257446332	0.35213393975049256	0.2878263717560412	0.08174994999172702	0.01588316490408033	0.0006973816454410553	0.000875922217965126	0.16016046263959652	0.000195675790309906	0.3593241935909786	0.00797754004597664	0.00961712328871446	0.060001536162755345	0.0057353669591248034	0.003642258676700294	0.0007764229923486709	3.182681695079737e-08	0.005039661563932896	0.0026226816326379776	0.021701494846784044	0.003140461231141671	0.004081402793526649	0.002091497275978327	0.00378059983253479	0.0024522516783326864	0.0016299081780016423
CNCP[2]	1.4009098876499592e-08	4.198740555239055e-09	1.1399330134054253e-07	0.002136837533960829	9.527893822783511e-05	7.586987409707726e-05	0.07402713589447156	0.35979339939470945	0.02201594563444176	2.188715178874645e-08	0.0011874160664198997	0.017820713621627585	0.0005050193038398605	0.029641509044754315	0.0023816839476565655	0.23115596206274858	0.0012515499521820472	3.9292383723932286e-06	4.2013168510199316e-07	0.0023364363512147724	0.004332315350142153	0.006488659631603468	2.1454746960489514e-07	0.0026275535848327538	0.0018945416531522597	0.009878460460454904	6.636776546883994e-05	0.005816112619176015
CNCP[3]	1.8548533522455556e-08	3.6383872270562277e-09	7.048386660102324e-08	0.0009565404688314061	0.0007677635740901678	0.00022519826715463153	0.035671431305536315	0.004784444032176225	0.13364895325154066	7.885248052730276e-08	0.01758759942596292	0.0014842341415092618	9.026224551206497e-05	0.01668618541706042	0.0003834542510210781	0.0014842217021473014	8.634447881263441e-05	2.2990448940163332e-07	9.626975614864364e-05	0.0003785880428292998	0.0003181664154090047	0.0002386055671797099	5.308687207161711e-06	0.000284398842986775	0.002361703104469228	0.01881126842460368	5.503299405745565e-05	8.797282654992532e-05
