Samples	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q
0bd3a230-531e-44aa-9999-b8ed8da0176b	262	136	26	21	0	40	89	0	0	0	19	0	31	0	0	0	0
0be08326-c623-11e3-bf01-24c6515278c0	178	109	5	0	6	178	61	5	11	6	19	20	22	13	5	0	3
0bfd1043-5142-3662-e050-11ac0c486501	121	62	221	141	71	178	46	7	48	83	16	90	56	32	48	15	11
0bfd1043-70fb-d2dc-e050-11ac0c4860cb	156	53	152	150	41	151	63	0	80	37	36	96	50	37	4	3	15
0bfd1043-7343-fdd0-e050-11ac0c484cab	0	201	16	329	596	114	14	346	49	64	87	0	0	0	91	133	0
0bfd1043-7344-fdd0-e050-11ac0c484cab	0	0	1858	936	330	0	181	0	70	0	0	294	260	6	72	21	24
0bfd1043-7346-fdd0-e050-11ac0c484cab	185	75	25	48	64	153	16	0	146	0	18	146	15	0	12	0	5
0bfd1043-7ebf-aaec-e050-11ac0c482f39	94	136	373	198	35	68	439	107	101	61	168	120	4	11	174	0	5
0bfd1043-7ec1-aaec-e050-11ac0c482f39	13	302	423	246	104	59	315	5	82	47	6	36	43	0	32	14	0
0bfd1043-7ed6-9ccc-e050-11ac0c481957	221	55	32	32	34	120	12	0	176	0	21	157	21	0	2	0	4
0bfd1043-816e-e3e4-e050-11ac0c4860c5	14	0	1592	907	228	0	140	0	82	0	0	311	267	0	64	19	0
0bfd1043-8170-e3e4-e050-11ac0c4860c5	0	226	248	219	158	136	41	0	45	61	65	205	9	44	14	20	39
0bfd1043-8172-e3e4-e050-11ac0c4860c5	0	161	111	175	203	228	33	15	56	48	54	152	19	30	27	20	7
0bfd1043-8173-e3e4-e050-11ac0c4860c5	0	218	56	210	258	167	31	20	64	26	81	156	11	21	20	31	19
0bfd1043-8175-e3e4-e050-11ac0c4860c5	0	221	84	212	249	165	21	3	93	20	42	155	4	35	19	8	9
0bfd1043-8177-e3e4-e050-11ac0c4860c5	246	75	50	53	0	99	80	0	41	5	0	22	21	0	8	4	0
0bfd1043-817c-e3e4-e050-11ac0c4860c5	21	250	358	196	36	115	287	12	101	0	2	24	50	6	34	11	0
0bfd1043-817e-e3e4-e050-11ac0c4860c5	0	261	164	209	4	109	378	3	34	0	262	14	85	0	103	2	0
0bfd1043-8180-e3e4-e050-11ac0c4860c5	0	62	991	757	0	0	281	0	38	31	539	328	243	67	48	46	0
0bfd1043-8181-e3e4-e050-11ac0c4860c5	0	135	862	606	0	0	197	0	67	0	339	277	179	103	59	51	0
0bfd1043-8183-e3e4-e050-11ac0c4860c5	0	213	186	224	0	157	311	0	31	1	190	12	77	10	96	7	0
0bfd1043-8187-e3e4-e050-11ac0c4860c5	0	94	1560	651	29	0	104	0	42	6	0	226	283	19	62	15	0
0bfd1043-8189-e3e4-e050-11ac0c4860c5	156	92	188	148	75	129	50	0	58	13	12	117	26	30	39	14	7
0bfd1068-3fc3-a95b-e050-11ac0c4860c3	0	184	75	256	218	186	40	9	51	0	96	202	11	15	14	5	20
0bfd1068-3fc5-a95b-e050-11ac0c4860c3	74	132	39	96	0	234	237	0	70	23	95	5	41	4	9	0	3
0bfd1068-3fca-a95b-e050-11ac0c4860c3	251	91	17	41	0	96	81	0	47	6	0	13	15	0	8	3	0
0bfd1068-3fcd-a95b-e050-11ac0c4860c3	230	59	197	69	87	88	104	56	77	20	25	68	12	85	60	6	0
0bfd1068-3fcf-a95b-e050-11ac0c4860c3	76	218	343	253	178	35	289	87	126	20	77	99	43	4	49	7	14
0bfd1068-3fd3-a95b-e050-11ac0c4860c3	11	166	0	361	364	166	42	352	0	53	56	83	0	4	78	0	0
0bfd1068-3fd5-a95b-e050-11ac0c4860c3	26	264	404	215	185	102	305	62	35	0	34	35	40	0	26	14	0
0bfd1068-3fd8-a95b-e050-11ac0c4860c3	45	201	383	127	122	93	508	105	115	0	321	35	6	14	204	0	0
0bfd1068-3fdd-a95b-e050-11ac0c4860c3	112	116	493	179	26	80	375	161	146	16	134	133	9	0	158	0	0
0bfd1068-3fdf-a95b-e050-11ac0c4860c3	0	38	1047	737	0	0	245	0	58	48	561	358	256	56	48	55	0
0bfd1068-3fe1-a95b-e050-11ac0c4860c3	0	51	913	765	0	0	289	0	47	30	546	333	235	52	54	55	0
0bfd1068-3fe4-a95b-e050-11ac0c4860c3	143	52	172	152	69	164	58	0	93	23	50	108	56	27	41	11	9
0bfd1068-3fe6-a95b-e050-11ac0c4860c3	0	96	1569	652	63	0	101	0	16	0	0	227	271	12	75	0	0
0bfe2ac9-0aec-c248-e050-11ac0d487e1c	252	31	17	46	40	96	22	8	197	12	60	199	28	0	5	0	7
0bfe2ac9-0aee-c248-e050-11ac0d487e1c	240	45	12	40	48	120	15	8	151	0	26	143	22	0	4	0	9
0bfe2ac9-0af3-c248-e050-11ac0d487e1c	0	216	208	199	12	166	323	0	25	0	156	0	63	4	108	13	0
0bfe2ac9-0af5-c248-e050-11ac0d487e1c	73	179	413	155	18	30	558	147	128	78	309	161	12	0	208	0	0
0bfe2ac9-0af8-c248-e050-11ac0d487e1c	81	195	380	181	18	44	460	130	98	17	215	128	12	0	162	0	0
0bfe2ac9-0afa-c248-e050-11ac0d487e1c	189	44	157	121	47	136	52	2	87	25	42	142	30	33	12	9	19
0bfe2ac9-0afd-c248-e050-11ac0d487e1c	110	40	232	197	30	195	70	13	40	72	36	96	74	17	47	18	16
0bfe2ac9-0aff-c248-e050-11ac0d487e1c	143	76	172	146	98	142	56	0	64	12	40	125	26	32	52	12	6
0bfebf9f-c779-e57d-e050-11ac0d487827	97	219	270	229	148	0	481	82	56	18	254	65	0	9	229	0	0
0bfebf9f-c77d-e57d-e050-11ac0d487827	0	52	1062	709	0	0	245	0	64	84	496	355	238	34	51	74	0
0bfebf9f-c77f-e57d-e050-11ac0d487827	59	25	240	127	213	143	200	317	417	129	191	216	0	2	268	0	0
0bfebf9f-c781-e57d-e050-11ac0d487827	164	80	132	180	64	104	48	0	94	66	27	98	58	28	37	14	12
0bfebf9f-c783-e57d-e050-11ac0d487827	117	77	167	156	65	158	54	8	114	16	64	122	63	30	43	13	18
0c0038ff-6cc4-b0b0-e050-11ac0d483d73	62	162	398	159	15	88	503	141	148	12	221	129	5	8	181	0	0
0c0038ff-6cc6-b0b0-e050-11ac0d483d73	100	178	374	217	26	34	478	102	97	4	219	133	1	8	157	0	0
0c0038ff-6cc8-b0b0-e050-11ac0d483d73	67	93	185	223	62	181	50	0	53	24	63	191	38	23	36	14	10
0c18a8b7-bad1-4aa4-a6df-472f89d9761c	424	0	0	0	0	0	0	2	0	0	0	0	29	0	0	0	0
0c39c03a-ec84-42c6-be69-8e98bc7a9f5a	0	320	195	202	614	5	0	39	187	163	0	79	0	38	30	12	28
0c7aca3f-e006-4de3-afc2-20b4f727d4fd	30	160	193	244	329	150	33	235	76	58	54	105	11	94	28	29	29
0c8f7e63-7a3e-42e8-9408-c5cbd2f52f9d	420	5	2	6	0	12	3	3	0	0	0	0	30	0	0	0	0
0c9a5dbc-f7f3-43e7-83d1-77b9fb4b8b54	365	43	0	0	1	36	15	3	18	0	0	0	30	0	2	0	0
0cb4356c-b5d6-4541-b048-ff6d4b3a5d26	101	289	0	27	0	40	124	8	293	0	113	0	81	11	2	13	0
0cd60b96-eb2d-4687-9709-d1455ec45de7	135	110	65	53	68	171	14	46	26	9	0	48	18	46	40	9	7
0cdbabf2-c623-11e3-bf01-24c6515278c0	237	106	27	28	86	95	20	0	19	43	2	53	11	0	10	18	0
0ce6f3ed-bdbc-4b70-9db4-2e48f4bf644d	400	6	0	0	0	21	0	9	0	0	0	0	30	0	2	0	0
0cf9bbc2-cbd5-4b64-8d90-cfa416307b39	233	0	65	68	124	175	2	40	0	0	19	74	0	0	0	1	28
0d0793c1-df1b-4db1-ba36-adcb960cc0f5	0	205	153	527	423	0	44	46	73	125	236	227	32	7	100	9	0
0d259ac2-03d1-4814-9b0b-d05e3a6029b7	282	66	22	11	11	99	37	0	0	0	0	0	23	25	6	0	0
0d31a44f-1fc5-43a2-9633-36c4e650d3d2	357	44	18	0	7	34	27	7	15	16	0	14	17	0	3	0	0
0d569bd5-418d-4d72-87ca-8e14668c2119	332	49	31	9	0	50	13	0	0	0	10	0	37	2	4	0	0
0db9309e-7b95-4ae3-b0ed-dfd4f38d11b0	309	19	8	52	0	84	87	0	4	0	7	0	23	0	5	0	17
0dd0718d-5ddf-4c59-8c47-0f51303daeb5	210	103	59	14	0	125	6	53	35	0	0	114	0	4	0	5	15
0dd39eca-c623-11e3-bf01-24c6515278c0	230	86	1	1	0	134	57	0	4	0	10	0	21	3	6	0	7
0e1e628b-823a-4861-aa95-bed2fada7349	437	5	0	0	0	0	5	3	0	0	0	0	25	0	0	0	0
