MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R	SBS80S	SBS80T	SBS80U
SS[>3 & <=4]	5.11E-09	2.65E-09	9.93E-05	3.83E-04	1.77E-09	1.69E-04	2.34E-04	7.11E-05	7.73E-03	1.77E-03	1.49E-08	3.19E-03	9.18E-03	1.20E-07	9.11E-06	2.50E-46	5.62E-08	1.40E-03	1.61E-05	1.18E-07	3.62E-08
SS[>4 & <=5]	7.99E-10	8.89E-04	0.00E+00	6.00E-03	0.00E+00	5.93E-04	1.75E-03	1.27E-03	3.16E-03	2.86E-03	1.13E-03	1.60E-03	8.92E-03	5.37E-03	8.20E-03	5.23E-04	2.66E-03	1.71E-03	7.22E-03	4.28E-03	2.14E-03
SS[>5 & <=6]	1.88E-11	8.68E-04	1.87E-03	5.09E-03	6.14E-04	4.87E-03	2.00E-03	4.60E-03	1.07E-03	5.30E-03	3.09E-03	1.95E-03	5.59E-03	3.07E-03	4.67E-03	2.81E-03	3.39E-03	2.25E-03	3.41E-03	3.38E-03	4.76E-03
SS[>6 & <=7]	0.00E+00	4.58E-04	5.33E-03	5.02E-03	5.35E-04	3.49E-03	1.40E-03	2.89E-03	5.18E-03	2.61E-03	2.19E-03	4.59E-03	3.33E-04	5.88E-03	4.70E-03	5.60E-03	3.86E-03	3.17E-03	5.22E-03	4.47E-03	4.84E-03
SS[>7 & <=8]	3.33E-04	1.93E-03	3.47E-03	5.80E-04	3.15E-03	5.20E-04	9.41E-05	7.79E-04	1.75E-03	2.47E-03	2.27E-03	3.29E-03	6.55E-04	4.09E-03	1.24E-03	2.11E-03	1.91E-03	1.33E-03	6.12E-03	2.64E-03	3.16E-03
SS[>8]	4.27E-04	2.76E-04	0.00E+00	1.25E-09	8.16E-04	1.64E-10	0.00E+00	0.00E+00	0.00E+00	8.40E-11	9.25E-11	7.83E-09	3.29E-09	2.49E-09	3.47E-09	7.36E-09	2.68E-09	0.00E+00	2.24E-08	7.87E-07	9.68E-09
NC50[<=2]	2.81E-05	0.00E+00	2.30E-10	3.37E-07	5.89E-10	4.67E-08	6.91E-06	8.02E-10	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.99E-07	8.94E-08	4.41E-09	1.54E-06	2.94E-06	8.65E-07	7.73E-06	4.19E-05	4.77E-06
NC50[3]	1.41E-05	5.84E-06	0.00E+00	1.77E-06	4.09E-05	7.00E-07	5.77E-06	5.65E-06	0.00E+00	0.00E+00	0.00E+00	3.65E-08	1.65E-06	3.80E-06	2.13E-06	4.25E-06	1.13E-09	4.30E-06	6.41E-06	1.37E-06	2.14E-06
NC50[4]	6.95E-06	3.45E-05	0.00E+00	4.05E-06	5.01E-05	1.01E-06	3.11E-06	1.55E-05	0.00E+00	0.00E+00	0.00E+00	1.46E-08	4.86E-06	1.55E-06	4.13E-06	9.93E-06	3.69E-06	4.17E-05	4.23E-06	1.86E-05	5.09E-06
NC50[5]	2.26E-06	2.60E-05	4.78E-07	9.21E-07	2.79E-05	4.11E-06	0.00E+00	1.40E-47	0.00E+00	3.88E-06	7.45E-06	5.54E-06	3.13E-06	3.13E-06	6.95E-06	1.32E-05	6.96E-06	0.00E+00	1.17E-05	5.42E-06	1.08E-05
NC50[6]	1.21E-06	3.31E-05	1.79E-05	8.16E-07	2.29E-05	3.61E-06	0.00E+00	0.00E+00	1.50E-05	1.57E-05	5.01E-05	1.92E-05	7.48E-11	3.90E-05	2.93E-05	2.46E-05	1.13E-05	0.00E+00	4.66E-05	7.03E-06	1.82E-05
NC50[7]	9.10E-07	6.87E-06	1.61E-05	4.25E-06	5.45E-06	4.83E-06	0.00E+00	1.58E-06	1.92E-05	2.43E-05	5.57E-05	2.46E-05	3.18E-05	2.28E-05	4.34E-05	5.59E-05	1.50E-05	0.00E+00	4.30E-05	2.13E-06	3.34E-05
NC50[>7]	1.81E-06	3.01E-09	4.50E-06	3.14E-07	1.23E-06	0.00E+00	0.00E+00	1.10E-06	8.43E-06	9.29E-06	1.89E-05	3.67E-05	0.00E+00	2.30E-05	2.18E-05	1.55E-05	1.38E-05	3.92E-11	1.79E-05	5.86E-06	2.91E-05
BoChr[1]	9.91E-07	3.05E-04	9.81E-04	6.87E-04	1.75E-04	1.05E-03	3.85E-05	2.12E-04	1.48E-03	5.03E-04	7.87E-04	6.62E-05	1.76E-03	2.98E-04	1.50E-04	1.99E-05	2.40E-02	3.33E-03	8.67E-04	7.21E-09	1.21E-04
BoChr[2]	4.93E-06	7.41E-04	2.04E-03	8.83E-04	3.35E-06	1.94E-03	1.07E-08	6.33E-04	5.22E-04	5.96E-04	4.16E-03	2.49E-04	1.08E-03	1.76E-02	6.35E-03	7.75E-04	6.47E-05	6.02E-05	6.44E-03	1.36E-04	7.31E-04
BoChr[3]	7.56E-06	3.46E-04	1.37E-03	7.72E-04	1.36E-04	2.25E-03	6.20E-05	1.07E-03	3.96E-04	7.41E-04	2.13E-03	1.55E-04	1.93E-03	2.25E-02	9.82E-03	7.15E-03	3.40E-47	3.09E-05	1.70E-03	2.60E-03	1.39E-04
BoChr[4]	3.45E-09	1.74E-04	8.18E-04	7.96E-04	1.22E-04	6.40E-04	3.34E-04	8.15E-04	6.60E-04	5.16E-04	5.61E-03	2.58E-03	1.66E-03	5.80E-03	1.17E-02	8.05E-03	3.58E-03	5.29E-03	2.12E-03	6.93E-03	1.49E-03
BoChr[5]	6.81E-07	1.80E-04	5.12E-04	8.74E-04	1.03E-04	3.36E-04	5.25E-04	4.37E-04	4.81E-04	3.86E-04	2.39E-03	2.13E-04	3.72E-03	6.11E-03	1.84E-02	1.37E-02	3.63E-03	6.38E-06	9.73E-03	1.05E-02	2.29E-04
BoChr[6]	2.33E-06	2.11E-04	5.71E-04	8.91E-04	2.22E-04	5.93E-04	2.34E-04	7.69E-04	7.29E-04	4.55E-04	5.60E-03	2.06E-04	2.80E-04	4.59E-04	3.26E-03	2.78E-02	7.02E-03	3.27E-03	3.44E-03	1.01E-02	4.84E-03
BoChr[7]	3.23E-06	1.30E-04	4.43E-04	7.27E-04	1.62E-04	9.46E-04	5.88E-07	9.72E-05	6.39E-04	4.53E-04	1.75E-03	3.10E-04	1.10E-03	6.86E-03	2.44E-02	3.75E-03	6.74E-03	3.27E-03	2.72E-03	9.83E-03	2.73E-06
BoChr[8]	5.13E-07	3.05E-06	4.08E-04	4.25E-05	2.88E-06	3.84E-04	2.22E-06	4.23E-06	1.72E-05	4.97E-05	2.10E-04	2.50E-07	3.06E-05	4.63E-04	2.17E-05	1.76E-05	4.07E-06	1.18E-02	6.73E-06	3.89E-05	1.44E-04
BoChr[9]	1.85E-06	1.16E-04	3.29E-04	5.16E-04	3.02E-04	7.62E-04	5.96E-05	8.22E-04	5.22E-04	4.40E-04	4.67E-03	2.98E-03	3.09E-04	1.34E-02	4.46E-03	9.13E-03	9.47E-05	6.65E-06	6.35E-03	1.51E-03	4.59E-03
BoChr[10]	3.01E-06	2.02E-04	1.05E-03	1.88E-04	1.77E-04	5.85E-04	2.76E-09	7.28E-04	6.44E-04	5.18E-04	3.68E-03	1.71E-03	4.22E-03	4.37E-03	5.09E-03	5.84E-03	3.79E-03	1.63E-03	3.10E-03	5.32E-03	6.62E-04
BoChr[11]	6.01E-07	3.12E-06	3.11E-04	5.13E-04	1.24E-04	1.65E-04	5.77E-04	1.59E-04	6.30E-04	3.45E-04	7.60E-04	6.73E-06	8.68E-06	1.24E-04	1.43E-04	1.09E-06	9.19E-03	7.57E-03	3.13E-03	2.57E-02	2.12E-04
BoChr[12]	9.23E-07	5.97E-05	8.20E-04	4.58E-04	1.72E-04	1.27E-05	3.40E-03	5.06E-04	9.23E-05	8.54E-04	3.02E-03	3.45E-04	1.31E-04	2.07E-03	1.19E-03	6.18E-09	7.17E-03	3.00E-07	2.97E-02	4.43E-03	4.30E-03
BoChr[13]	3.16E-08	2.04E-04	2.78E-04	2.83E-04	2.52E-04	3.66E-04	4.47E-06	7.23E-04	3.71E-04	1.51E-04	3.85E-03	2.51E-03	9.62E-05	5.58E-03	3.57E-03	6.58E-03	5.12E-03	1.94E-04	4.48E-03	1.31E-03	4.50E-03
BoChr[14]	1.49E-05	2.11E-04	6.33E-04	4.56E-04	3.51E-04	5.01E-04	1.34E-04	2.66E-04	5.42E-04	3.08E-04	1.95E-03	2.77E-03	5.82E-05	2.94E-03	2.49E-03	7.26E-03	1.67E-03	7.09E-05	5.61E-03	8.55E-05	6.68E-03
BoChr[15]	1.82E-08	1.24E-04	3.55E-04	2.91E-04	1.39E-04	3.89E-04	5.44E-05	1.78E-04	4.49E-04	3.92E-04	2.08E-03	1.85E-03	3.59E-04	2.51E-03	2.24E-03	4.35E-03	1.59E-03	0.00E+00	3.45E-03	9.05E-04	4.30E-03
BoChr[16]	3.00E-07	2.59E-04	3.32E-04	3.64E-04	2.80E-04	2.85E-04	7.11E-05	1.02E-04	3.25E-04	3.67E-04	1.47E-03	3.08E-04	7.18E-18	2.21E-03	8.54E-04	1.98E-03	1.57E-04	3.71E-05	1.54E-03	7.65E-04	1.77E-03
BoChr[17]	3.57E-06	9.49E-05	1.10E-04	5.28E-05	1.03E-04	1.58E-05	1.53E-04	5.51E-05	8.70E-05	1.03E-06	1.14E-04	3.32E-08	7.88E-04	1.13E-05	1.52E-07	2.53E-04	9.19E-03	8.61E-03	1.18E-05	1.07E-02	2.57E-02
BoChr[18]	1.52E-06	1.86E-04	4.62E-04	2.82E-04	3.45E-04	7.15E-04	8.64E-05	2.53E-04	2.36E-04	1.17E-04	2.65E-03	3.38E-03	3.29E-04	9.50E-03	5.60E-03	1.10E-02	6.89E-08	1.97E-47	5.47E-03	1.41E-03	4.16E-03
BoChr[19]	2.88E-07	7.57E-05	1.66E-05	3.15E-03	2.59E-04	1.24E-03	1.44E-04	5.69E-05	1.91E-04	3.22E-05	3.34E-03	1.60E-05	1.46E-04	9.14E-03	5.16E-03	1.06E-02	7.04E-03	1.98E-06	1.84E-03	4.77E-03	7.67E-03
BoChr[20]	3.90E-09	1.25E-04	2.97E-04	1.50E-03	1.08E-04	5.88E-04	2.82E-04	5.81E-05	1.59E-04	6.55E-05	3.46E-03	1.25E-04	7.98E-09	7.36E-03	4.65E-03	7.29E-03	2.36E-03	8.69E-08	2.86E-03	4.48E-03	5.82E-03
BoChr[21]	5.68E-06	2.41E-05	2.23E-04	8.51E-05	2.13E-04	3.43E-04	1.47E-04	4.83E-04	1.82E-04	3.07E-05	1.35E-03	1.90E-03	2.37E-03	2.51E-03	2.54E-03	2.78E-03	2.29E-03	3.05E-04	3.02E-03	1.87E-03	1.44E-03
BoChr[22]	7.16E-06	8.58E-05	9.09E-05	1.14E-03	2.06E-04	3.57E-04	1.94E-05	1.99E-04	1.34E-04	1.14E-04	1.43E-03	1.69E-03	2.46E-03	3.76E-03	2.64E-04	4.60E-03	4.40E-04	6.78E-06	2.95E-03	9.44E-04	4.52E-03
BoChr[23]	4.13E-05	4.13E-05	6.44E-04	4.55E-04	7.81E-05	2.58E-04	2.63E-04	8.78E-04	8.39E-04	1.69E-04	3.63E-03	5.50E-03	1.43E-03	4.95E-03	6.50E-03	3.79E-03	3.80E-03	5.17E-04	1.99E-03	4.14E-03	1.76E-03
