MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L
BPArm[3]	3.44E-09	1.62E-04	2.93E-04	0.00E+00	1.61E-04	1.14E-05	2.03E-05	9.80E-06	5.24E-06	3.71E-05	5.17E-05	3.19E-05
BPArm[4]	1.34E-09	3.82E-05	2.79E-04	2.60E-07	5.07E-04	7.92E-05	3.94E-05	5.97E-06	1.92E-05	1.89E-04	2.72E-04	1.71E-05
BPArm[5]	1.17E-09	1.59E-04	1.53E-04	2.09E-06	9.28E-05	2.42E-05	1.97E-05	7.19E-07	5.43E-06	4.66E-05	6.31E-05	3.30E-05
BPArm[6]	7.48E-10	6.43E-05	1.25E-04	1.75E-05	2.10E-04	6.33E-05	4.83E-05	2.37E-05	1.01E-05	1.39E-04	2.15E-04	3.60E-05
BPArm[7]	1.55E-09	8.35E-05	1.03E-04	2.05E-05	8.20E-05	2.34E-05	5.27E-05	7.19E-06	9.08E-06	5.07E-05	7.28E-05	5.19E-05
BPArm[8]	1.01E-09	4.72E-05	3.54E-05	2.68E-05	1.28E-04	6.81E-05	4.65E-05	2.20E-05	1.48E-06	1.02E-04	1.48E-04	4.47E-05
BPArm[9]	1.13E-09	3.52E-05	3.66E-05	2.25E-05	5.25E-05	2.38E-05	4.78E-05	1.40E-05	4.96E-06	4.41E-05	5.65E-05	3.93E-05
BPArm[10]	1.00E-09	3.76E-05	4.72E-06	1.20E-05	8.85E-05	3.66E-05	4.67E-05	2.03E-05	3.68E-07	7.27E-05	9.79E-05	2.77E-05
BPArm[>10 & <=20]	5.81E-10	2.51E-04	0.00E+00	8.69E-05	1.97E-04	8.48E-05	3.16E-04	9.13E-05	2.82E-05	1.83E-04	2.27E-04	1.25E-04
BPArm[>20 & <=30]	1.30E-09	1.01E-04	0.00E+00	6.15E-05	9.20E-06	2.06E-05	1.38E-04	1.02E-04	3.79E-05	4.19E-05	8.78E-05	9.43E-05
BPArm[>30]	2.28E-09	6.45E-06	0.00E+00	4.01E-05	0.00E+00	3.46E-06	1.41E-04	1.52E-04	3.66E-05	0.00E+00	5.40E-05	6.43E-05
