MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L
CNCP[3]	1.1700243011681943e-08	0.0047890084246313335	1.97790441802681e-09	0.029017093633301558	0.0014826641773652226	2.122704383822338e-08	0.0011420197866982562	0.0008104011023787904	0.03050695849582553	0.0671684136823751	0.0050820627942055555	0.004230569153147972
CNCP[4]	9.564376283410781e-08	7.736632985142932e-05	1.6335727068828022e-08	0.01092475684126839	0.0006097079207296474	0.0	0.0005189262211459634	0.0001728884650307805	0.032877358794212344	0.032169715808704494	0.0018509235886608267	0.0013417164798360658
CNCP[>4 & <=8]	9.363517859073412e-08	2.17168238112464e-07	4.024189443896375e-09	6.209963068087631e-05	0.0005483129419797051	0.0	0.0001585030045073088	8.63890904128084e-07	0.08322924215346575	0.03516493571055264	0.0012166798290868463	0.0004709334667622755
CNCP[>8]	1.858244246477625e-07	0.0	6.896750756268944e-08	0.0	2.483619009363558e-07	1.0878264559366358e-07	8.742994568322615e-09	7.251962710341787e-08	0.07179035652428865	1.758826955655882e-07	0.00018552345097487156	6.367221203618101e-09
OsCN[0]	0.04670723530929535	0.05385885225608945	0.002212007847152404	0.0781872507929802	5.856486968696118e-05	0.006491209921903791	0.026726324774208478	0.003907399734016508	0.17367914840579032	0.004608127288520337	0.035426071116526146	0.06573060621041804
OsCN[1]	0.00042988749526557513	0.028313883314840495	0.010025175270732377	0.03096546731889248	0.05088963084854185	0.0010761125292629004	0.019855329813435674	0.01983766165270936	0.02657414760440588	0.08748517477884889	0.03691408625803888	0.01288550140367398
OsCN[2]	5.892692894748919e-10	0.010704129613004624	0.004197628651745618	0.007385571992159612	0.0001969218790559163	0.0036840919806718376	0.005537060358782108	0.006486839666613378	0.004353666466195136	0.0002445072884625965	0.0044191022511617635	0.007379217314301059
OsCN[3]	0.0	0.0035018675609899217	0.0002971090411301702	0.0031626712199067696	0.008098191452609952	0.004967148067662492	0.005685488121055313	0.008995381314307452	4.969537068120656e-05	0.0055143995827529576	0.008170722880847733	0.001868277149660571
OsCN[4]	2.6726896003026467e-08	0.0022975398355629295	0.0002606097263014817	0.0011664143601359455	4.1095477756343254e-05	0.0027866675471886993	0.0024954134569270536	0.00258160579498508	1.563512960274238e-06	1.800771424314007e-05	0.0005660077132779406	0.0012541209446132661
OsCN[>4 & <=10]	1.3776000971077452e-08	0.0012439680204261094	1.7558285617269575e-06	0.00040938217124939055	0.0006190961967084263	0.008675442435778677	0.007045099302747359	0.008108191027567956	9.917849092744291e-07	0.0003081342066798243	0.0028298945449543567	0.0005923911076388321
OsCN[>10]	4.8953140865393154e-08	4.576232462173424e-06	1.705077762315099e-10	4.465237042761139e-07	0.0	0.0023535451525822284	0.0011374630898833527	0.0014230399035354768	5.6279729021557754e-09	1.0252639981445099e-09	5.3196625357054826e-05	1.4154035152529332e-05
SS[<=2]	7.64169861611208e-08	0.0	2.5807584313426446e-05	0.0008676760134403593	8.723266462595802e-07	8.34549702062759e-06	0.00018066905375462738	0.0027662882109871136	0.0015634361852426082	0.0022893927068435003	0.00032301253657811334	0.0004551724161092352
SS[>2 & <=3]	9.335635390073093e-08	0.0	1.790014216851432e-08	0.00017681871980385126	0.00017811273675050643	3.087234032861375e-08	0.00017426220089990284	0.013293160345638171	0.0041361584124388175	0.026446129851241763	0.0008180637614294883	0.00039239803278681153
SS[>3 & <=4]	2.9404201368765648e-08	7.06244827597402e-08	3.437092800595565e-08	8.760952753250173e-05	0.0006904436436337846	0.0005099093781745978	0.0006337104018207107	0.07133281451454664	0.005786525627070405	0.10526958770185964	0.0036925651867238153	0.0029771454704109602
SS[>4 & <=5]	4.532409725310771e-12	0.0	1.401298464324817e-47	0.0024012753205154658	0.00773118057187297	0.021624026828936847	0.025041040687897295	0.16495448996312917	0.053343207174912095	0.026343889280320984	0.053072464694269	0.0259035830418361
SS[>5 & <=6]	0.0	0.0009154492756351829	4.91775618866086e-05	0.07566970419604331	0.00021248837390885455	0.08737290382385254	0.10105354231194344	0.06275526932789945	0.08609812382608652	0.002343296411127085	0.045471605667657934	0.07294934101402947
SS[>6 & <=7]	0.0	0.18071116015315056	0.001241002421635899	0.06058591771870851	0.008168793497607112	0.06723268572241067	0.05287802765611559	0.002428855306934565	0.027353435112163423	0.03312033337773755	0.04076204567914829	0.03332453850191087
SS[>7 & <=8]	0.01616510876454413	0.06780802527442574	0.10785293461754918	0.006851357679568892	0.1187870791554451	0.014503786686109379	0.015310018041793999	0.0044623385078198545	0.0010362299875123445	0.044360965497326106	0.033271876204230465	0.013615051212857878
SS[>8]	0.03574206355959177	0.0	0.005947904604391816	5.521741441860684e-10	0.0007265145707816245	2.175228175360644e-10	5.6052931063366174e-09	5.798944057167077e-09	4.212476278908639e-10	0.0	7.465901292746935e-09	5.574582218059731e-09
NC50[<=2]	0.001232724922010675	0.0	1.968548157815775e-10	5.596017361497729e-08	1.4158305639000446e-10	3.3476963701151163e-09	6.095587308574402e-08	1.3060288993393953e-06	6.93351370551909e-05	0.0	2.5154353239909e-06	8.031297665844761e-07
