Samples	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R	SBS80S	SBS80T	SBS80U	SBS80V	SBS80W	SBS80X	SBS80Y
08d2a566-8407-4e9b-836c-bf5e1e9f85b2	410	12	0	0	0	0	0	0	5	2	2	24	3	0	0	19	0	0	0	0	0	0	0	0	0
08e1d976-6c39-428e-a4c2-f655b675683e	356	39	29	0	0	0	0	2	6	20	1	28	0	0	3	16	0	0	3	0	3	1	1	0	0
08f7812b-0d74-42ba-985b-d0a027e8a80c	396	16	12	0	0	0	4	0	8	0	0	24	0	0	2	18	0	0	0	0	0	0	0	0	0
09497b9b-6fca-48cb-af97-161a3e434a51	0	0	0	673	64	1086	0	373	0	646	975	0	100	0	46	298	131	54	45	200	42	63	86	86	155
09508a0d-ebe0-4fa1-b7b2-1710814181cd	0	0	0	418	621	1582	0	8	0	935	659	0	1193	0	0	77	133	57	140	70	142	86	53	31	0
09537dce-c797-4b60-962a-d4c3cd6ab00a	385	27	0	0	0	0	0	0	19	4	0	12	0	0	0	20	1	0	5	0	0	0	0	2	0
0972bfcf-c6c6-48cc-b820-cdfa6279a4f3	91	213	39	198	109	149	0	0	28	70	80	26	63	65	18	55	4	12	2	51	111	24	9	4	0
097a7d36-905b-72be-e050-11ac0d482c9a	240	119	0	20	50	0	67	0	55	0	0	28	0	0	0	12	2	0	1	0	1	0	0	0	0
0980e7fd-051d-45e9-9ca6-2baf073da4e8	295	97	28	2	1	0	11	0	15	0	0	24	0	10	16	17	1	1	5	0	0	0	0	0	0
09bc8542-4ea1-4599-91b3-d606425b37e2	14	213	26	268	186	176	43	143	69	82	34	44	108	93	11	113	0	63	28	27	0	24	70	2	3
09cb8bc5-13ac-44ac-9b7d-6de143373570	136	183	67	53	0	78	29	49	6	0	48	21	100	7	43	9	9	19	2	15	2	4	0	11	42
09e1fe3e-bfd8-4175-ac42-0e1bf0ba5523	93	100	237	174	71	0	2	0	154	0	0	48	0	0	0	0	1	0	42	0	0	8	0	3	0
0a6be23a-d5a0-4e95-ada2-a61b2b5d9485	203	162	25	18	25	0	24	0	31	40	2	33	0	0	0	7	0	4	1	1	0	4	2	1	0
0a9c9db0-c623-11e3-bf01-24c6515278c0	134	214	22	7	0	44	81	9	5	0	4	13	49	17	1	11	2	6	6	0	8	4	4	1	0
0ab4d782-9a50-48b9-96e4-6ce42b2ea034	235	118	69	32	32	2	19	0	42	0	0	25	11	4	0	9	1	4	3	0	12	0	0	1	0
0ae2193f-0d68-485a-b8c2-7568cbcce33e	305	91	3	7	24	0	0	0	13	13	1	28	5	13	8	15	4	0	0	0	0	12	0	4	0
0b19bee7-5281-4915-9d98-c20eb3e84ecf	68	140	75	62	150	14	187	0	117	12	0	52	12	6	41	9	5	1	0	4	10	1	1	19	1
0b29c893-03bf-4131-b192-c14a2788d411	265	125	47	9	0	39	0	0	0	0	0	0	30	24	9	6	2	1	2	6	5	1	4	2	2
0b6cd7df-6970-4d60-b7b5-85002a7d8781	387	29	9	0	0	0	0	0	7	5	1	21	0	5	0	19	0	0	0	0	0	0	1	0	2
0b811c6a-8f05-44bd-ac33-fb720d189e71	422	0	0	0	1	0	1	0	1	0	0	21	0	5	0	21	0	0	1	0	0	0	0	0	0
0ba8f2e2-935a-4123-86aa-6e7f5de85bf4	357	52	0	0	14	0	0	1	9	0	0	24	0	0	0	16	0	1	0	1	0	0	0	0	0
0bafd9ae-64b3-492d-a6fd-12aa8edefcbe	343	40	40	37	23	0	5	0	28	0	0	33	0	1	5	13	7	0	1	0	0	0	0	0	0
0bbc7ede-5022-4084-925c-d65baaf7abc2	29	222	29	100	48	123	117	47	27	87	148	36	54	7	0	39	1	28	2	63	8	39	29	0	0
0bd3a230-531e-44aa-9999-b8ed8da0176b	198	147	78	35	45	0	0	0	56	0	0	37	0	0	16	0	0	1	5	1	0	1	1	3	0
0be08326-c623-11e3-bf01-24c6515278c0	143	165	75	13	0	7	89	0	40	8	2	22	9	14	15	12	5	3	7	0	7	0	4	1	0
0bfd1043-5142-3662-e050-11ac0c486501	70	179	61	135	144	57	77	58	37	26	6	51	64	100	28	29	19	31	34	0	0	11	18	11	0
0bfd1043-70fb-d2dc-e050-11ac0c4860cb	104	155	63	84	160	43	63	0	46	48	0	49	69	85	39	20	18	4	38	0	0	3	23	10	0
0bfd1043-7343-fdd0-e050-11ac0c484cab	0	85	135	75	225	420	116	97	0	158	321	4	16	0	8	68	7	62	27	58	33	74	28	6	17
0bfd1043-7344-fdd0-e050-11ac0c484cab	21	0	0	1199	1107	215	0	0	125	26	0	255	170	516	0	43	38	50	49	75	51	28	32	38	14
0bfd1043-7346-fdd0-e050-11ac0c484cab	135	160	71	8	30	29	86	1	12	33	7	30	193	39	23	13	6	8	10	7	0	1	0	6	0
0bfd1043-7ebf-aaec-e050-11ac0c482f39	101	50	100	416	185	0	91	137	285	0	56	56	163	65	120	39	26	107	33	12	20	4	10	18	0
0bfd1043-7ec1-aaec-e050-11ac0c482f39	33	78	224	358	250	55	37	51	198	67	16	68	40	82	0	2	9	24	13	102	3	10	0	7	0
0bfd1043-7ed6-9ccc-e050-11ac0c481957	140	191	49	8	31	5	43	0	10	34	9	39	224	35	30	7	6	2	6	10	0	2	0	6	0
0bfd1043-816e-e3e4-e050-11ac0c4860c5	40	0	0	1013	1042	147	0	0	101	18	0	248	180	480	0	46	31	45	41	71	47	26	26	22	0
0bfd1043-8170-e3e4-e050-11ac0c4860c5	27	12	261	149	164	134	178	22	33	38	5	22	88	164	44	28	24	9	7	29	41	12	13	21	5
0bfd1043-8172-e3e4-e050-11ac0c4860c5	19	79	178	72	101	140	216	39	25	31	15	22	116	96	36	36	23	18	9	15	9	14	13	5	12
0bfd1043-8173-e3e4-e050-11ac0c4860c5	30	43	226	39	125	175	190	30	21	33	20	17	145	79	52	43	22	14	10	9	10	20	15	10	11
0bfd1043-8175-e3e4-e050-11ac0c4860c5	12	58	218	52	130	166	197	28	13	42	20	18	160	70	22	19	24	14	10	7	11	8	17	8	16
0bfd1043-8177-e3e4-e050-11ac0c4860c5	201	131	42	41	64	0	23	0	53	36	0	28	3	27	0	2	0	6	3	30	10	2	0	2	0
0bfd1043-817c-e3e4-e050-11ac0c4860c5	18	120	194	306	204	9	64	3	183	75	6	68	37	73	0	19	11	22	9	66	6	7	0	3	0
0bfd1043-817e-e3e4-e050-11ac0c4860c5	24	0	273	205	170	1	201	0	247	12	0	83	33	36	189	36	8	64	10	10	10	6	6	4	0
0bfd1043-8180-e3e4-e050-11ac0c4860c5	0	0	126	587	897	105	0	0	203	50	0	223	0	485	447	0	63	39	33	42	39	44	31	17	0
0bfd1043-8181-e3e4-e050-11ac0c4860c5	0	0	197	520	709	82	0	0	141	58	0	174	27	405	288	0	71	44	23	26	40	44	17	9	0
0bfd1043-8183-e3e4-e050-11ac0c4860c5	56	0	219	186	199	9	208	0	203	26	0	76	10	57	141	13	19	61	9	0	8	9	3	3	0
0bfd1043-8187-e3e4-e050-11ac0c4860c5	22	0	105	984	826	62	0	0	75	40	0	254	10	469	0	0	38	44	34	35	48	24	12	9	0
0bfd1043-8189-e3e4-e050-11ac0c4860c5	97	175	81	111	162	59	41	0	36	13	2	36	99	88	20	17	19	26	39	0	0	9	15	9	0
0bfd1068-3fc3-a95b-e050-11ac0c4860c3	24	62	195	44	184	148	195	0	24	0	18	21	177	85	63	28	19	10	10	6	25	7	12	12	13
0bfd1068-3fc5-a95b-e050-11ac0c4860c3	79	132	100	74	80	0	182	3	151	44	0	49	36	1	74	9	12	6	8	18	0	0	0	4	0
0bfd1068-3fca-a95b-e050-11ac0c4860c3	226	99	59	19	44	0	35	0	53	41	3	23	2	19	0	0	0	6	4	31	0	3	0	2	0
0bfd1068-3fcd-a95b-e050-11ac0c4860c3	168	134	46	179	79	41	21	29	69	29	35	32	102	47	17	50	33	35	0	18	78	1	0	0	0
0bfd1068-3fcf-a95b-e050-11ac0c4860c3	27	114	189	353	202	76	17	55	192	83	7	57	121	93	27	114	11	32	15	97	0	5	29	2	0
0bfd1068-3fd3-a95b-e050-11ac0c4860c3	39	81	115	6	265	254	152	80	25	0	334	1	112	0	21	29	15	53	16	66	28	6	22	14	2
0bfd1068-3fd5-a95b-e050-11ac0c4860c3	70	40	212	379	186	98	93	16	192	46	35	55	39	76	0	46	11	18	9	108	3	9	0	6	0
0bfd1068-3fd8-a95b-e050-11ac0c4860c3	117	0	137	464	152	84	125	56	321	76	79	61	81	42	205	10	24	127	39	18	35	6	20	0	0
0bfd1068-3fdd-a95b-e050-11ac0c4860c3	106	66	79	479	184	0	104	78	243	40	103	62	166	94	88	43	21	98	36	20	18	2	8	0	0
0bfd1068-3fdf-a95b-e050-11ac0c4860c3	0	0	107	615	895	118	0	0	180	69	0	234	0	517	463	0	56	40	27	34	62	50	32	8	0
0bfd1068-3fe1-a95b-e050-11ac0c4860c3	0	0	119	537	901	99	0	0	206	52	0	218	14	467	450	0	56	43	18	43	54	50	30	13	0
0bfd1068-3fe4-a95b-e050-11ac0c4860c3	70	202	53	100	169	57	54	0	42	45	0	56	100	88	50	23	19	27	35	0	0	9	18	11	0
0bfd1068-3fe6-a95b-e050-11ac0c4860c3	7	0	131	989	816	81	0	0	74	14	0	245	17	467	0	0	35	54	36	38	47	15	12	4	0
0bfe2ac9-0aec-c248-e050-11ac0d487e1c	184	132	54	1	19	0	57	21	21	33	2	42	264	54	66	33	6	2	9	13	0	1	0	6	0
0bfe2ac9-0aee-c248-e050-11ac0d487e1c	175	155	44	4	19	11	66	14	13	27	7	35	205	31	31	22	6	2	7	1	0	2	0	6	0
0bfe2ac9-0af3-c248-e050-11ac0d487e1c	56	24	207	218	187	8	188	0	209	17	0	69	18	41	113	23	18	68	4	0	9	12	2	2	0
0bfe2ac9-0af5-c248-e050-11ac0d487e1c	111	0	137	481	166	0	96	135	361	0	102	73	207	63	226	21	30	131	41	52	26	0	10	0	0
0bfe2ac9-0af8-c248-e050-11ac0d487e1c	117	14	148	423	186	0	91	81	295	0	86	63	154	62	145	24	22	101	31	44	26	0	8	0	0
0bfe2ac9-0afa-c248-e050-11ac0d487e1c	155	114	68	91	121	40	67	0	41	31	0	36	110	98	44	26	18	8	40	0	0	6	21	12	0
0bfe2ac9-0afd-c248-e050-11ac0d487e1c	49	192	60	131	208	42	81	17	54	37	10	62	32	127	44	37	15	30	35	0	0	12	16	12	0
0bfe2ac9-0aff-c248-e050-11ac0d487e1c	85	176	69	108	156	71	53	0	40	9	2	35	120	84	40	20	21	34	40	0	0	9	21	9	0
0bfebf9f-c779-e57d-e050-11ac0d487827	132	0	151	388	211	64	67	121	307	0	54	44	159	0	162	28	25	143	37	3	32	9	20	0	0
0bfebf9f-c77d-e57d-e050-11ac0d487827	0	0	125	620	878	98	0	0	183	70	0	225	27	519	429	0	57	40	28	38	37	60	17	13	0
0bfebf9f-c77f-e57d-e050-11ac0d487827	66	61	50	272	64	125	118	172	140	242	247	43	322	93	144	87	32	163	42	5	47	12	0	0	0
0bfebf9f-c781-e57d-e050-11ac0d487827	70	199	84	64	184	53	2	30	39	62	0	54	80	92	37	39	17	24	37	0	0	9	21	9	0
0bfebf9f-c783-e57d-e050-11ac0d487827	54	183	86	100	156	47	63	0	42	61	0	58	111	101	60	44	20	27	34	0	0	9	19	10	0
0c0038ff-6cc4-b0b0-e050-11ac0d483d73	119	0	121	460	164	0	137	92	320	12	97	65	191	45	147	11	24	113	35	29	35	2	13	0	0
0c0038ff-6cc6-b0b0-e050-11ac0d483d73	135	0	133	419	219	0	94	72	305	0	69	58	163	62	149	18	26	99	32	40	27	0	8	0	0
0c0038ff-6cc8-b0b0-e050-11ac0d483d73	55	121	116	90	213	61	112	0	39	0	0	41	121	128	61	20	17	24	44	0	17	9	15	9	0
0c18a8b7-bad1-4aa4-a6df-472f89d9761c	411	0	0	0	0	0	0	0	0	0	0	25	0	0	0	19	0	0	0	0	0	0	0	0	0
0c39c03a-ec84-42c6-be69-8e98bc7a9f5a	0	13	258	158	100	389	87	188	0	168	93	20	161	24	0	0	14	25	65	34	46	7	18	29	15
