MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M
BPArm[>20 & <=30]	1.54E-09	6.67E-05	1.23E-04	7.88E-06	6.73E-05	0.00E+00	1.88E-05	3.99E-05	6.16E-05	4.03E-05	5.95E-05	9.66E-05	1.18E-04
BPArm[>30]	2.40E-09	5.23E-05	3.66E-06	0.00E+00	1.16E-04	0.00E+00	5.88E-06	3.95E-05	1.53E-05	3.56E-05	1.25E-04	7.77E-05	8.73E-05
CN[0]	1.90E-06	0.00E+00	7.07E-05	8.53E-04	0.00E+00	2.65E-05	5.55E-04	1.03E-06	2.27E-03	4.06E-03	1.39E-03	2.03E-03	1.92E-06
CN[1]	4.63E-05	3.93E-10	4.66E-04	3.64E-04	1.15E-04	2.27E-04	1.94E-03	0.00E+00	1.45E-03	2.19E-03	8.50E-04	7.72E-04	6.79E-04
CN[2]	1.84E-03	2.46E-05	1.91E-03	3.45E-03	2.93E-03	3.23E-04	1.89E-03	4.97E-04	2.85E-03	2.97E-02	2.14E-03	1.06E-03	1.23E-03
CN[3]	6.09E-06	2.83E-04	2.95E-03	2.53E-03	2.62E-03	2.39E-03	0.00E+00	3.50E-04	2.61E-03	5.89E-04	4.97E-03	4.64E-03	2.47E-03
CN[4]	6.67E-11	3.46E-03	1.31E-03	1.85E-03	1.16E-03	2.09E-03	0.00E+00	3.34E-04	3.31E-03	3.69E-03	7.04E-03	5.57E-03	3.63E-03
CN[>4 & <=8]	1.66E-09	3.20E-03	3.37E-04	4.00E-04	6.55E-08	2.90E-08	0.00E+00	1.53E-03	3.56E-03	2.23E-04	3.87E-03	2.84E-03	3.40E-03
CN[>8]	3.38E-09	1.61E-04	2.21E-09	7.07E-09	1.28E-08	3.92E-09	1.08E-09	1.47E-03	1.66E-04	3.27E-09	8.11E-05	6.86E-05	1.92E-04
CNCP[0]	1.24E-04	0.00E+00	5.01E-09	9.35E-06	0.00E+00	1.33E-08	3.03E-09	0.00E+00	4.28E-05	3.71E-05	1.08E-05	6.30E-06	0.00E+00
