Samples	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R	SBS80S
0bfd1043-8183-e3e4-e050-11ac0c4860c5	0	222	238	146	198	0	273	0	4	30	25	163	78	30	21	78	9	0	0
0bfd1043-8187-e3e4-e050-11ac0c4860c5	16	66	674	14	1408	0	84	0	50	31	290	0	315	0	43	57	20	0	23
0bfd1043-8189-e3e4-e050-11ac0c4860c5	125	78	161	174	169	68	45	0	13	54	127	18	28	0	26	31	14	23	0
0bfd1068-3fc3-a95b-e050-11ac0c4860c3	0	196	255	165	67	212	36	3	0	46	193	84	4	66	21	13	6	10	5
0bfd1068-3fc5-a95b-e050-11ac0c4860c3	32	112	110	278	57	1	206	0	24	64	0	82	49	20	13	7	0	7	0
0bfd1068-3fca-a95b-e050-11ac0c4860c3	231	77	44	121	20	0	71	0	8	42	4	0	17	9	0	7	3	3	12
0bfd1068-3fcd-a95b-e050-11ac0c4860c3	213	46	81	113	201	91	91	50	23	72	45	10	9	0	42	45	2	0	109
0bfd1068-3fcf-a95b-e050-11ac0c4860c3	88	200	241	32	339	172	248	67	26	112	87	63	54	86	10	40	6	12	35
0bfd1068-3fd3-a95b-e050-11ac0c4860c3	0	130	363	198	0	356	34	333	67	0	62	45	0	0	13	65	0	9	61
0bfd1068-3fd5-a95b-e050-11ac0c4860c3	2	221	224	164	398	178	258	48	0	28	27	26	61	15	10	23	10	14	40
0bfd1068-3fd8-a95b-e050-11ac0c4860c3	19	166	167	158	402	124	445	99	9	106	59	294	17	0	26	164	3	0	21
0bfd1068-3fdd-a95b-e050-11ac0c4860c3	82	75	210	152	494	20	325	157	31	139	152	128	24	0	22	127	0	0	0
0bfd1068-3fdf-a95b-e050-11ac0c4860c3	0	59	773	0	966	0	214	0	89	39	411	479	291	0	67	50	55	0	14
0bfd1068-3fe1-a95b-e050-11ac0c4860c3	0	72	799	0	847	0	251	0	68	31	383	469	269	0	66	54	56	0	5
0bfd1068-3fe4-a95b-e050-11ac0c4860c3	103	41	168	210	157	64	52	0	23	86	119	48	63	0	25	34	12	23	0
0bfd1068-3fe6-a95b-e050-11ac0c4860c3	0	85	671	17	1417	11	80	0	46	15	298	0	302	0	39	69	6	0	26
0bfe2ac9-0aec-c248-e050-11ac0d487e1c	218	18	57	147	21	42	21	8	18	183	184	50	35	0	1	3	0	14	0
0bfe2ac9-0aee-c248-e050-11ac0d487e1c	208	32	50	170	12	49	14	8	0	140	133	23	27	0	3	2	0	12	0
0bfe2ac9-0af3-c248-e050-11ac0d487e1c	0	214	218	164	222	12	282	0	0	25	10	136	64	24	19	88	15	0	0
0bfe2ac9-0af5-c248-e050-11ac0d487e1c	59	132	193	99	446	20	485	143	95	121	166	283	29	0	30	168	0	0	0
0bfe2ac9-0af8-c248-e050-11ac0d487e1c	64	154	212	111	402	17	399	125	34	93	134	196	25	0	23	130	0	0	2
0bfe2ac9-0afa-c248-e050-11ac0d487e1c	158	42	135	167	144	42	49	5	22	81	149	44	32	0	25	10	11	31	0
0bfe2ac9-0afd-c248-e050-11ac0d487e1c	67	30	213	238	214	24	64	19	66	38	111	35	81	0	19	39	19	26	0
0bfe2ac9-0aff-c248-e050-11ac0d487e1c	109	64	162	185	155	92	51	0	10	59	138	45	28	0	27	42	13	22	0
0bfebf9f-c779-e57d-e050-11ac0d487827	93	185	257	51	300	146	420	80	29	55	87	238	0	0	26	183	7	0	0
0bfebf9f-c77d-e57d-e050-11ac0d487827	0	73	745	0	975	0	214	0	118	46	406	426	270	0	67	52	72	0	0
0bfebf9f-c77f-e57d-e050-11ac0d487827	22	20	153	193	241	224	184	313	132	390	219	177	0	0	36	213	17	0	13
0bfebf9f-c781-e57d-e050-11ac0d487827	139	75	188	136	117	61	45	5	60	88	110	29	62	0	22	30	15	24	0
0bfebf9f-c783-e57d-e050-11ac0d487827	85	74	172	193	152	61	51	13	13	106	136	60	66	0	27	35	15	26	0
0c0038ff-6cc4-b0b0-e050-11ac0d483d73	35	122	196	159	423	14	436	136	30	140	136	203	19	0	25	145	0	0	13
0c0038ff-6cc6-b0b0-e050-11ac0d483d73	84	138	248	98	397	23	414	99	21	93	142	203	14	0	28	126	0	0	0
0c0038ff-6cc8-b0b0-e050-11ac0d483d73	30	87	242	222	172	57	46	0	25	50	193	56	38	3	22	30	16	24	0
0c18a8b7-bad1-4aa4-a6df-472f89d9761c	423	0	0	0	0	0	0	3	0	0	0	0	29	0	0	0	0	0	0
0c39c03a-ec84-42c6-be69-8e98bc7a9f5a	0	323	196	21	160	608	0	14	159	152	49	0	0	0	17	26	6	62	119
0c7aca3f-e006-4de3-afc2-20b4f727d4fd	47	175	223	87	151	317	34	219	44	73	122	70	2	161	63	24	24	7	15
0c8f7e63-7a3e-42e8-9408-c5cbd2f52f9d	419	6	7	10	1	0	4	3	0	0	0	0	29	2	0	0	0	0	0
0c9a5dbc-f7f3-43e7-83d1-77b9fb4b8b54	356	39	1	49	0	2	15	3	0	17	0	0	29	0	0	2	0	0	0
0cb4356c-b5d6-4541-b048-ff6d4b3a5d26	96	285	40	70	5	0	110	11	0	272	0	95	81	0	8	2	15	12	0
0cd60b96-eb2d-4687-9709-d1455ec45de7	100	94	64	215	62	64	14	51	8	26	58	0	18	0	31	32	8	8	12
0cdbabf2-c623-11e3-bf01-24c6515278c0	211	85	37	142	24	84	16	0	44	15	53	5	14	0	0	9	16	0	0
0ce6f3ed-bdbc-4b70-9db4-2e48f4bf644d	393	4	0	28	0	1	1	9	0	0	0	0	30	0	0	2	0	0	0
0cf9bbc2-cbd5-4b64-8d90-cfa416307b39	215	0	51	151	51	118	2	27	0	0	56	19	0	129	0	0	1	9	0
0d0793c1-df1b-4db1-ba36-adcb960cc0f5	0	211	497	0	135	415	38	33	135	60	217	200	34	85	24	85	11	0	27
