MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R	SBS80S	SBS80T	SBS80U	SBS80V	SBS80W	SBS80X	SBS80Y	SBS80Z	SBS80AA	SBS80AB	SBS80AC	SBS80AD
BPArm[>30]	9.768315478275725e-08	0.0	0.0	0.0037071869475767015	2.5527168645567146e-09	8.911910598499161e-05	0.001212789426626184	0.0	1.401298464324817e-47	0.0	3.192304802723811e-09	0.0030151912854739747	0.001526485664847712	7.560029189335182e-08	0.0009757574899723664	3.4953290636963177e-07	0.0	8.930269978009164e-06	0.0	6.33278235909529e-06	0.0	1.2879780842922627e-06	5.7564793387427926e-05	0.0	1.2818157983929269e-08	0.0	0.0	0.0	0.0	0.0
CN[0]	2.1640022673352633e-07	2.0155647235675643e-07	3.26846730303032e-08	1.4546468918297251e-09	1.2718997446370394e-08	0.007110990500307608	1.208509825545434e-10	1.3933714759772897e-07	0.0018152151547241502	0.000692305876261834	1.200495091779885e-08	9.994549851188166e-09	4.876241893679372e-08	4.115563001505507e-09	4.9774606694086287e-08	3.062248460139472e-08	0.20380728258803538	8.044670551073783e-08	1.4935034187146813e-09	7.248601967546666e-09	4.598508809294799e-08	8.378006892684197e-09	1.3257701021451852e-08	8.725547910870546e-09	3.127350488438957e-08	1.9967966906619948e-08	3.463948770794187e-08	1.2496841758747372e-07	6.056040989577127e-08	1.489117862307765e-06
CN[1]	0.0003314837698959305	1.3209819975514847e-05	2.1051091221136754e-06	6.955425800711766e-05	0.0005930310141256002	0.0026333458027941424	1.1210387714598537e-46	1.8312970304634745e-08	0.006646819465154523	0.5251750171184539	0.00012407643428671212	4.148750170294822e-18	0.0005593628713509702	9.835048569889274e-08	0.005128496071486963	0.0012421474232417625	0.03146067393034547	0.0012646525245882145	1.9310679753914465e-06	5.528320689340838e-07	0.00043436975008894765	2.5127522049581666e-18	0.0005930365393853165	0.00010832871391386334	3.370846498016889e-05	0.00042322812361469936	0.00044310568087240653	1.969754890223996e-05	5.899054935744312e-05	0.0009489539728869473
CN[2]	0.0030353407364617866	3.8183727156138806e-07	0.011861666484497036	0.037044920567314676	0.010079235089990124	0.0035492240092906257	7.053732943851851e-25	7.263645503539241e-22	0.001795948636496396	0.2511912801768631	0.8860313475131989	3.68081871420145e-05	0.016729188286527665	0.009909278975019501	0.01076923259291237	0.003043781568332157	0.03817764420296663	0.009101246984053403	0.0009736141724142161	0.0005782040726707129	0.006884496696624141	0.006404494979283321	0.0020793322453209837	0.000529582414449283	0.003271449293312021	0.0009848715351981482	0.0012910597957670703	5.1900139236401774e-05	2.974498420371686e-07	0.004257110734947157
CN[3]	3.239671747756745e-08	0.0003532133135556137	8.692944106769574e-09	0.03670221782211797	0.0030367056221064104	0.018826130209832856	0.002784168209271413	0.012743848092677581	0.03171555836828874	2.802596928649634e-47	0.005004201185252907	0.0029443318848942322	0.00019618340335568973	0.5806514422595501	0.015140542837825644	0.012299730126183133	1.1210387714598537e-46	0.008140727565443363	0.04747666641714488	0.06634444319592507	0.00513165300218688	0.004867511759518868	0.057789360545832925	0.057889768490456656	0.012659698995263398	0.020673195125484652	0.010655820644772796	0.030037167628568024	0.01104433222141196	0.015601604188413774
CN[4]	4.190272837933939e-08	6.726807981749517e-09	1.401298464324817e-47	0.0021615692111024033	5.1487409509718416e-05	0.18167579414028864	0.1647766379244804	8.226242528053262e-08	0.005329985861881903	0.0	1.9927017547161085e-08	0.005671478244162725	0.0003778475496249811	0.10536932677819152	0.002349374266219968	0.011860321445187196	0.00022941370975786412	0.05839040251022913	2.9171951227626707e-06	0.0009344876529623256	0.006939423847089756	0.008016417192992668	0.02219462144643913	0.01045967553129366	0.0023346482749048826	0.0019537356083927297	0.02253819836720773	0.009760278604549661	0.013066381653194981	0.04249669016587631
CN[>4 & <=8]	9.814570990362981e-08	3.4469060858910435e-08	1.199390222694774e-08	3.783483233377183e-09	2.5068354645441104e-08	0.0008671282481277843	0.44171894297003744	3.45180821170743e-08	0.07684117780341922	0.0	7.57096007275165e-08	0.025526538467170727	0.001166871854981757	2.445949458973473e-07	0.020720043180267194	0.0009337051897010796	1.2387523540269284e-09	0.0003483655977670956	1.9710519842667374e-06	7.185455791592694e-05	1.9376953138111608e-07	6.52941247038541e-05	0.005788386076559276	0.0018660476545570414	1.3211895343861722e-06	9.833584924598404e-07	2.0801500269855742e-07	9.037551606638772e-08	2.592885127077338e-06	0.00010651031261321062
CN[>8]	1.2398101471799981e-07	1.1248437473687644e-08	2.34801295295739e-09	4.764414778704378e-46	7.2156693797786885e-09	1.1216369850686192e-08	0.00298397453094033	6.897723210386175e-09	3.335849241432598e-06	1.7669701879441391e-09	4.826829602677662e-11	0.24339672401547433	0.0012486641730495495	1.401298464324817e-47	0.0005545693386639528	5.377295755337741e-09	5.719752411703638e-09	3.503246160812043e-46	1.1210387714598537e-46	5.245991818725316e-10	1.3137243108433697e-07	2.4195774273039207e-10	0.0032570276910985287	1.0107754713217787e-08	0.00010846601337988204	8.396551820921936e-06	2.382207389352189e-46	2.382207389352189e-46	1.4842474129750372e-08	1.2241912711914438e-05
CNCP[0]	0.07160606231998827	0.0002453282844598448	3.33188715906374e-08	3.973713935678802e-10	3.1920544785180026e-09	4.438912500890346e-05	1.401298464324817e-47	3.5107228146813443e-09	9.326118957684315e-06	8.24483265660092e-09	2.2394713443674165e-08	0.0	1.3645245466875622e-09	3.830390866710331e-09	0.00501612826715793	0.0018907820596170666	0.0015036809772875426	9.921120636136037e-10	1.789249068906429e-09	7.517402877965651e-10	2.0211290063798515e-09	1.8593254935694859e-10	3.118301528104439e-09	8.717977806327326e-10	2.375582823788136e-09	1.401298464324817e-47	1.2332550625160366e-09	5.8022607163366045e-09	1.729701125441352e-08	2.8065629891216302e-08
CNCP[1]	0.0	0.012280860061291605	0.08285249999776102	0.3815965745598078	0.2700886355317198	4.203895392974451e-47	0.021784945628605782	0.08734465014189481	0.000806846022605896	0.13826621117316001	0.00754081130027771	1.9050106639042498e-05	0.36374730840325353	0.05443495978668807	0.006367098658753883	0.12038984434679151	0.0061343558272346855	0.0028299962263554335	0.0007595906406641006	1.4853763721843062e-45	1.958231839241092e-21	0.004242851436138153	0.005186015822202706	4.5087592733667847e-20	0.0016689500957727432	1.737610095762773e-45	0.002314513623714447	1.9057659114817514e-45	1.4464244787714692e-41	0.0048964140983298425
