Samples	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N
09e1fe3e-bfd8-4175-ac42-0e1bf0ba5523	121	14	0	296	58	109	311	4	0	0	0	0	20	0
0a6be23a-d5a0-4e95-ada2-a61b2b5d9485	282	3	0	71	96	3	70	0	0	50	0	0	0	8
0a9c9db0-c623-11e3-bf01-24c6515278c0	199	0	85	47	225	4	8	9	0	9	9	34	0	13
0ab4d782-9a50-48b9-96e4-6ce42b2ea034	295	23	7	102	75	21	77	3	0	1	0	5	0	10
0ae2193f-0d68-485a-b8c2-7568cbcce33e	373	14	0	29	29	22	22	1	0	24	0	9	23	0
0b19bee7-5281-4915-9d98-c20eb3e84ecf	92	167	10	123	216	27	242	44	0	30	7	0	29	0
0b29c893-03bf-4131-b192-c14a2788d411	311	0	53	29	115	0	0	22	0	0	0	49	0	0
0b6cd7df-6970-4d60-b7b5-85002a7d8781	434	0	0	18	3	6	9	0	4	11	0	1	0	0
0b811c6a-8f05-44bd-ac33-fb720d189e71	451	0	0	0	0	11	0	0	4	5	0	2	0	0
0ba8f2e2-935a-4123-86aa-6e7f5de85bf4	411	9	0	22	5	0	20	0	0	7	0	0	0	1
0bafd9ae-64b3-492d-a6fd-12aa8edefcbe	384	6	0	69	7	51	56	0	0	2	0	1	0	0
0bbc7ede-5022-4084-925c-d65baaf7abc2	71	80	221	98	260	51	66	54	187	92	16	0	25	62
0bd3a230-531e-44aa-9999-b8ed8da0176b	280	7	0	149	37	25	113	13	0	0	0	0	0	0
0be08326-c623-11e3-bf01-24c6515278c0	189	0	4	108	190	0	72	19	7	15	7	24	0	6
0bfd1043-5142-3662-e050-11ac0c486501	129	174	90	37	205	235	50	18	6	44	84	101	6	67
0bfd1043-70fb-d2dc-e050-11ac0c4860cb	166	172	51	26	173	169	72	33	0	86	47	123	2	4
0bfd1043-7343-fdd0-e050-11ac0c484cab	0	341	647	218	125	0	2	119	355	10	68	0	41	114
0bfd1043-7344-fdd0-e050-11ac0c484cab	19	1093	515	0	0	2147	161	0	0	0	0	35	4	78
0bfd1043-7346-fdd0-e050-11ac0c484cab	170	52	99	36	219	27	4	16	0	149	0	118	0	18
0bfd1043-7ebf-aaec-e050-11ac0c482f39	76	229	110	37	184	256	490	239	70	36	79	47	0	241
0bfd1043-7ec1-aaec-e050-11ac0c482f39	20	268	164	254	123	386	356	47	0	35	35	0	0	39
0bfd1043-7ed6-9ccc-e050-11ac0c481957	204	31	67	13	192	40	0	17	0	183	0	135	0	5
0bfd1043-816e-e3e4-e050-11ac0c4860c5	34	1047	398	0	0	1858	139	0	0	0	0	78	0	70
0bfd1043-8170-e3e4-e050-11ac0c4860c5	0	293	222	160	221	229	16	118	0	10	60	162	30	9
0bfd1043-8172-e3e4-e050-11ac0c4860c5	0	218	259	134	280	99	22	84	0	38	48	116	9	32
0bfd1043-8173-e3e4-e050-11ac0c4860c5	0	249	320	194	218	29	21	115	0	44	34	112	30	23
0bfd1043-8175-e3e4-e050-11ac0c4860c5	0	253	307	185	223	55	6	81	0	70	17	124	0	19
0bfd1043-8177-e3e4-e050-11ac0c4860c5	257	59	0	58	121	48	91	0	0	46	12	2	0	10
0bfd1043-817c-e3e4-e050-11ac0c4860c5	32	214	78	204	168	327	327	30	1	72	0	0	7	43
0bfd1043-817e-e3e4-e050-11ac0c4860c5	0	205	0	304	107	106	465	265	8	30	0	0	0	138
0bfd1043-8180-e3e4-e050-11ac0c4860c5	22	851	0	45	0	1175	325	572	0	49	124	235	0	33
0bfd1043-8181-e3e4-e050-11ac0c4860c5	7	714	12	135	7	964	213	409	0	53	32	273	0	56
0bfd1043-8183-e3e4-e050-11ac0c4860c5	0	224	0	231	167	148	380	189	0	24	26	0	0	126
0bfd1043-8187-e3e4-e050-11ac0c4860c5	34	783	130	14	54	1843	105	0	0	0	0	64	0	64
0bfd1043-8189-e3e4-e050-11ac0c4860c5	156	176	96	46	180	177	49	23	0	39	20	139	0	53
0bfd1068-3fc3-a95b-e050-11ac0c4860c3	0	294	280	155	240	55	35	128	0	28	0	153	0	14
0bfd1068-3fc5-a95b-e050-11ac0c4860c3	92	83	0	131	232	16	293	82	0	78	45	0	0	10
0bfd1068-3fca-a95b-e050-11ac0c4860c3	260	47	0	78	115	5	92	0	0	52	10	0	0	10
0bfd1068-3fcd-a95b-e050-11ac0c4860c3	226	101	116	11	140	153	107	78	47	48	20	120	0	76
0bfd1068-3fcf-a95b-e050-11ac0c4860c3	74	281	268	168	110	322	318	114	63	87	23	0	23	67
0bfd1068-3fd3-a95b-e050-11ac0c4860c3	26	370	412	135	193	0	41	55	342	0	72	0	0	90
0bfd1068-3fd5-a95b-e050-11ac0c4860c3	33	227	234	214	164	369	343	77	51	0	0	0	6	29
0bfd1068-3fd8-a95b-e050-11ac0c4860c3	31	143	171	114	193	218	580	420	75	42	23	0	0	269
0bfd1068-3fdd-a95b-e050-11ac0c4860c3	85	217	122	0	222	410	408	209	115	73	30	28	0	219
0bfd1068-3fdf-a95b-e050-11ac0c4860c3	0	837	9	57	0	1256	274	601	0	71	135	235	0	32
0bfd1068-3fe1-a95b-e050-11ac0c4860c3	3	851	0	63	0	1085	335	573	0	62	126	229	0	43
0bfd1068-3fe4-a95b-e050-11ac0c4860c3	149	173	80	22	194	188	66	42	0	95	38	125	0	56
0bfd1068-3fe6-a95b-e050-11ac0c4860c3	3	774	159	9	95	1839	93	0	0	0	0	32	0	78
0bfe2ac9-0aec-c248-e050-11ac0d487e1c	231	44	80	0	163	43	3	42	0	208	31	164	0	11
0bfe2ac9-0aee-c248-e050-11ac0d487e1c	230	40	82	11	178	24	3	20	0	161	2	123	0	9
0bfe2ac9-0af3-c248-e050-11ac0d487e1c	9	205	9	219	175	151	392	163	0	9	15	0	0	146
0bfe2ac9-0af5-c248-e050-11ac0d487e1c	46	168	103	71	168	288	628	378	97	51	128	56	0	287
0bfe2ac9-0af8-c248-e050-11ac0d487e1c	64	200	96	103	161	274	520	283	88	29	46	35	0	222
0bfe2ac9-0afa-c248-e050-11ac0d487e1c	184	148	67	0	187	159	48	51	0	81	34	162	9	17
0bfe2ac9-0afd-c248-e050-11ac0d487e1c	125	232	40	19	209	267	83	20	11	45	82	92	15	63
0bfe2ac9-0aff-c248-e050-11ac0d487e1c	140	172	119	32	191	158	57	53	0	45	21	143	0	71
0bfebf9f-c779-e57d-e050-11ac0d487827	91	245	202	138	84	96	557	335	47	0	51	0	0	311
0bfebf9f-c77d-e57d-e050-11ac0d487827	25	821	0	27	0	1259	268	523	0	71	179	248	0	43
0bfebf9f-c77f-e57d-e050-11ac0d487827	0	186	350	0	246	116	180	269	262	357	123	92	0	366
0bfebf9f-c781-e57d-e050-11ac0d487827	178	207	77	61	117	148	52	16	0	104	74	117	5	50
0bfebf9f-c783-e57d-e050-11ac0d487827	127	183	80	45	187	185	58	58	1	121	32	137	12	59
0c0038ff-6cc4-b0b0-e050-11ac0d483d73	36	178	98	56	224	269	564	305	96	79	39	38	0	250
0c0038ff-6cc6-b0b0-e050-11ac0d483d73	83	240	105	80	151	255	539	295	58	25	35	48	0	214
0c0038ff-6cc8-b0b0-e050-11ac0d483d73	68	262	84	46	231	188	51	64	0	40	38	195	0	46
0c18a8b7-bad1-4aa4-a6df-472f89d9761c	435	0	0	0	0	7	2	0	3	8	0	0	0	0
0c39c03a-ec84-42c6-be69-8e98bc7a9f5a	0	252	763	279	82	127	0	89	21	132	133	0	1	33
0c7aca3f-e006-4de3-afc2-20b4f727d4fd	33	301	387	117	203	157	22	115	237	42	50	137	27	30
0c8f7e63-7a3e-42e8-9408-c5cbd2f52f9d	431	1	0	20	0	12	8	0	3	6	0	0	0	0
0c9a5dbc-f7f3-43e7-83d1-77b9fb4b8b54	380	0	0	54	24	0	22	0	3	27	0	0	0	3
0cb4356c-b5d6-4541-b048-ff6d4b3a5d26	121	10	2	300	42	0	148	120	14	337	0	4	0	4
0cd60b96-eb2d-4687-9709-d1455ec45de7	141	72	72	87	200	58	12	0	47	17	16	84	6	53
0cdbabf2-c623-11e3-bf01-24c6515278c0	236	29	111	96	127	23	19	8	0	11	44	28	9	14
0ce6f3ed-bdbc-4b70-9db4-2e48f4bf644d	415	0	0	22	2	7	5	0	8	6	0	0	0	3
0cf9bbc2-cbd5-4b64-8d90-cfa416307b39	222	79	155	0	199	49	0	30	30	0	0	36	29	0
0d0793c1-df1b-4db1-ba36-adcb960cc0f5	0	615	546	239	0	135	30	276	6	28	142	65	0	125
0d259ac2-03d1-4814-9b0b-d05e3a6029b7	297	12	3	70	94	17	48	0	1	0	0	33	0	7
0d31a44f-1fc5-43a2-9633-36c4e650d3d2	367	0	13	40	44	20	29	0	5	16	15	7	0	3
0d569bd5-418d-4d72-87ca-8e14668c2119	345	5	0	62	42	51	20	1	0	7	0	0	0	4
0db9309e-7b95-4ae3-b0ed-dfd4f38d11b0	325	46	0	26	77	1	110	0	0	10	0	0	14	6
0dd0718d-5ddf-4c59-8c47-0f51303daeb5	207	24	26	58	189	49	0	8	41	19	5	106	10	1
0dd39eca-c623-11e3-bf01-24c6515278c0	246	0	0	88	135	0	69	4	0	7	2	0	2	7
0e1e628b-823a-4861-aa95-bed2fada7349	441	0	0	11	0	3	10	0	4	6	0	0	0	0
0e54cea2-d568-4a33-b9db-b698844e6ad9	205	81	42	0	203	0	74	0	20	122	12	0	81	0
0e6654c9-cd5e-4f94-a6d4-54f2bb16de1f	117	169	182	107	203	51	1	0	223	36	32	34	42	21
0e6ca8dc-0f31-4675-95b1-5920576daeff	334	28	25	1	102	33	40	0	7	7	3	7	11	14
0e7ac212-0469-4f17-9432-205ab1831257	280	11	22	40	136	5	0	4	0	0	0	57	0	8
0e7f46ca-6f5c-4538-b6d6-00af65d57fcf	311	0	0	81	70	8	49	4	2	6	0	0	0	2
0e872e0d-4711-4364-a5d0-6beeb6fd3ff2	51	41	284	153	271	0	16	137	35	0	0	0	63	18
0ead45d8-d785-4404-8319-2ef951e02e03	0	515	820	108	68	29	5	373	0	416	188	151	41	15
0ed2e2e1-2fe3-43eb-8cad-34f3f21a7169	54	16	0	247	18	15	129	198	0	899	0	0	0	28
0ed63d84-d3fe-4289-9255-35f4a03b703b	440	0	0	12	0	18	1	0	1	6	0	3	1	0
0eeafcd6-c623-11e3-bf01-24c6515278c0	240	23	0	111	118	7	45	17	2	15	0	17	0	18
0ef92ff8-829f-425a-91d8-c594b6e22a2b	55	11	201	165	259	71	38	105	68	97	0	40	20	16
0efb6e20-236d-4640-9373-6fc03e67d090	431	0	0	8	0	2	4	0	4	7	0	0	0	0
