MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O
OsCN[0]	0.04637997745536268	0.0	0.053263411703519524	0.012992935089860111	0.07784648182801902	0.0020727229147451	0.003336900361740958	0.18453457504510878	0.011317085568648078	0.004572017897153273	0.05088881555944681	0.005907283566199449	0.07598925733938813	0.027346773877949992	0.04932730577886105
OsCN[1]	0.000293807659995764	0.05146679346449673	0.027069104895419898	0.017077123406343164	0.03268856359645724	0.004600344514301715	0.0002534903050400317	0.025450659319758415	0.04721629478037357	0.0995422406680882	0.020922967679598514	0.02095143707585521	0.016215236919784506	0.02113889358763118	0.0061198101520482575
OsCN[2]	1.015669250925555e-09	5.548598943278208e-05	0.011899054041132331	0.0066038076393306255	0.006857009337977615	0.004123780853115022	0.0024856541562371603	0.003769332209485583	0.002406486980448792	0.0001934512029401958	0.005379609636342608	0.007842375914324294	0.008464010027091717	0.005595817054854706	0.0067007097752502884
OsCN[3]	1.2366937696128843e-10	0.00840913228224963	0.0037631090870127084	0.008672348384279757	0.0031372202762037205	3.366749384440482e-05	0.0030910911632042824	6.783395889235721e-05	0.012304135450394825	0.00509573315968737	0.0022840715296094773	0.007979218761029187	0.0013271926068409812	0.0015447516841354456	0.0014173463855900082
OsCN[4]	2.358803036450752e-08	4.887067014351487e-05	0.0024868879199493677	0.004072766531025991	0.001163699697362972	0.0002800357533693898	0.0026349349090145323	0.0	0.00038862193632667187	5.696995067410171e-06	0.0007327766060849229	0.001882516096718163	0.0008526576991971524	0.0005477182620779786	0.0010036738198833143
OsCN[>4 & <=10]	1.3556267556835699e-08	0.00046142757222412457	0.0011761888590990938	0.011595667136202793	0.0005866486368122991	0.0	0.008460018739569933	0.0	0.0042632148796110415	0.0001099459920078516	0.0008578893981665203	0.00580576273961924	0.00024114363478474843	0.00048357977865858275	0.0002917678493975018
OsCN[>10]	4.498371570349491e-08	5.390762680499428e-06	2.511603491619496e-06	0.0021592987095937132	3.0114347797161047e-06	1.2342581623414616e-10	0.00247841329080984	1.2939716685506086e-07	1.8763857161478992e-05	1.4321859964638862e-09	0.0001338863236278609	0.0009048652937535451	7.63618158304169e-06	8.649744345770038e-06	1.655055786873305e-05
SS[<=2]	7.552756949635863e-08	0.0	0.0	0.00024349226292088652	0.001137885375901533	1.1027236781818058e-05	1.1320790916116153e-05	0.0014608197641791775	7.364423130638897e-05	0.0027991619595559313	0.00044727740254241866	0.0026642009084753226	0.0007956244195855788	0.0003486094173058518	0.00020079907441981958
SS[>2 & <=3]	7.942368861035831e-08	0.0	0.0	0.0006539604163546642	0.00046799960908769177	0.0	5.631531052685546e-06	0.003116003676550463	0.0005042604861961309	0.03279792290056321	0.001363638826239253	0.012695152579870639	0.0007039347230495708	0.0005554002230383048	0.0004059849682025707
SS[>3 & <=4]	3.452109796228675e-08	0.0	3.906271061282496e-08	0.004589859466021835	0.001033349124739118	1.3309513668957607e-09	0.00046603163305022124	0.002877902503464327	0.0022666697790572955	0.12717506749708263	0.006618565144456312	0.07064657055022763	0.0016927496534003695	0.004617932866034167	0.004972759836888905
SS[>4 & <=5]	3.243262491903209e-11	0.002994418066947162	1.401298464324817e-47	0.04800820268923417	0.005594124307796271	1.401298464324817e-47	0.01759324592743269	0.047300727446563544	0.04396829826757312	0.026509791796561332	0.019626531139729387	0.19925254829926417	0.02598847703557283	0.0353414383499512	0.02420648703991903
SS[>5 & <=6]	0.0	0.002522798686986789	0.0022150337882339954	0.14242214504862205	0.07510686675086617	2.802596928649634e-47	0.08539328171871602	0.09735866874456406	0.03965593932928187	0.0006941593438386918	0.02209086775183067	0.029359597340226175	0.05348286549221085	0.016407408355352756	0.03725802023895085
SS[>6 & <=7]	0.0	0.0025713660288602114	0.1830070937424898	0.06614432316040621	0.0502796645835042	0.0015494652045917679	0.057353526890510695	0.02977482807356864	0.06304951243102551	0.043571719782194124	0.03204348002094776	0.002348585871513933	0.024304104652562344	0.023367768508127894	0.023997884064771657
SS[>7 & <=8]	0.01611930257640779	0.13356846872717143	0.07852889006957411	0.007427464726255484	0.00731741424185246	0.10245839390903712	0.011021195626428835	0.0006325513619040318	0.03794971258263104	0.039623515706043694	0.027198723827529393	0.007040373190154473	0.010600763917900623	0.03249696602812037	0.017543626667968083
