MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q
BPArm[>30]	6.754899423810911e-08	0.0	0.0026332528551574795	4.8635221901349725e-06	0.0009529333439903631	0.0	5.933662489066016e-06	0.0027920271316543223	1.0527845119696622e-05	2.031179292316665e-08	0.0013378270140277948	0.0	5.997613947670288e-05	0.0001569261088363305	0.00010084098906247618	0.0002479709930048557	0.00013193593273967962
CN[0]	4.933275102392276e-06	0.0007337169349991513	1.401298464324817e-47	4.33863770219034e-05	0.0	1.3562976121027395e-07	0.0036786218889092483	3.8736649550230595e-06	0.0772946793348827	0.00924638978715299	0.0007107760362958259	0.0019085010886192321	0.004810368909373324	0.0028481165801627385	0.0	0.0022787486016750337	4.235319650547353e-10
CN[1]	0.0019598115256034988	0.00027493719332028377	0.0002545073262921349	0.0014907256106380612	0.0	0.0002391840485166561	0.2891548775136471	0.0	0.024524235294340998	0.02411913579213433	0.004122638821531837	0.0012320291623473167	0.005223281707801561	0.0007430656174619799	0.0012285719387114113	0.0025883348011837624	0.0002994328876957297
CN[2]	0.019723810325877257	0.038453412487785686	0.06342619283610715	0.00968133821449775	0.00059774237066568	0.00010119773796759545	0.2007118909060955	0.0015409202121009003	0.08358364010082577	0.008989852994325415	0.015882427092591068	0.0019845846383600794	0.47736643787473443	0.005390457445755606	3.68087677203548e-05	0.0027504941236750767	0.000998343713581562
CN[3]	1.4337270190585283e-05	0.0016284168732818216	0.12641121945313358	0.04885049349710698	2.802596928649634e-47	0.028099463484280704	0.0	0.002688554782216672	0.0009914171676792694	0.03347436793883318	0.024770090682432057	0.14758862757124006	0.015971359849907073	0.061515488889999685	0.06592530249275114	0.04081214535381115	0.05690325266800755
CN[4]	1.0481459034039631e-10	0.0004658041149377823	0.010145226442753525	0.0025380718298995135	0.11559122410835698	0.001589794892970673	0.0	0.0022405779164324	0.02270986480825741	0.009436726955085675	0.0063394434302699665	0.20379149432019403	0.006769926923129265	0.03747249794001618	0.03934159239456903	0.0289236003686608	0.05135383400086994
CN[>4 & <=8]	1.383992828229985e-08	4.716537151949751e-09	4.1872393552466746e-10	0.0005439661699376329	0.22415361140195728	2.4576193524694647e-10	0.0	0.06103373181235838	0.00017378229629059661	0.06025712515787689	0.005591583506569027	0.01951024055105659	0.0030670177977280134	0.004558093771622672	0.0008931255228957223	3.592051161804578e-06	0.0025397485875635097
CN[>8]	1.2917630320075092e-07	1.6488142380310932e-08	5.774275706471599e-09	3.4046572050527857e-09	0.0017223723808413639	7.820804674985028e-09	5.757406329465197e-10	0.18140402629971505	1.5612724553193403e-08	0.000352428380591342	7.167151408944861e-05	1.3186909427531646e-07	0.00011774345711359384	1.0267483773418466e-07	8.599078053617149e-08	1.298547123607108e-07	1.4089357591728913e-07
CNCP[0]	0.046095899138599634	5.2077958847362996e-05	0.0	3.5934905184831224e-09	0.0	0.00013382680263205772	0.0	0.0	0.0004524084542820095	0.0003292078570568435	6.718291274410148e-09	2.2354915272444488e-05	0.001019904843880184	3.3452096204200643e-10	0.0	2.358841161886005e-05	0.0
CNCP[1]	0.0	0.06148285758681595	0.3040442357957363	0.1799538791179657	0.009474970050322926	0.04199137442978099	0.23619899824618187	2.2133504971861838e-05	4.203895392974451e-47	0.003422123808413753	0.26245687508955595	0.020695332832704666	0.02423948803916574	0.049714018001010524	0.028338880012348522	0.03817480363420703	0.03408233486360531
