Samples	SBS80A	SBS80B	SBS80C
1127b561-ea40-4d5e-95df-daa0a5ebc1e4	70	0	441
11473a98-d953-45f9-abf5-709b68a4bae8	116	0	415
1157a548-6770-4c89-a84c-bcf6f0e96ea8	68	12	429
1168944c-5451-4a18-8758-88bf5723bdd9	363	0	338
1193a9c4-5aab-4cd7-a690-60c96bd1172d	21	16	447
11ae45fb-05f6-425a-9295-d50d13407006	0	3	452
120f01d1-8884-4aca-a1cb-36b207b2aa3a	1827	111	91
122bf0a9-8052-49da-a9d7-0e5de9ab7032	68	0	439
123c9d1c-72ba-4d82-8e57-d5caa52a40ba	267	230	339
124d5b04-4588-44c3-9c00-61e064cf1bdb	329	238	335
126ee433-d345-4cac-882a-c91831a24690	688	0	281
127b0f7d-d24e-48b7-ac25-d3f14a43952d	1048	0	176
12874085-a596-41ae-b4cd-817cb1ebb278	602	1019	177
1292e13b-d7c6-447b-a227-9a8113215580	760	558	160
129459c1-38be-45da-bb87-18848c97c544	641	4	281
1295947c-c623-11e3-bf01-24c6515278c0	46	13	447
129d2c6c-6688-4b29-bfa7-8df3fe77b25a	0	10	451
129de5b2-d9b0-4762-9ef8-72d98231fb50	746	45	257
12ae2ba1-9484-47fe-8a3f-bba94a6abe0c	0	21	452
12d7121a-0345-4808-a819-09d6e3227bd5	0	58	443
12f038e1-00af-4c64-a2e0-9e63323492ef	428	793	272
12f1ae2f-2666-45be-9742-f502d212373d	235	0	387
131332b2-ff51-4bd7-a626-aff2ecea6135	233	0	380
1327bbd4-a466-4e26-905f-cf91315f1cc8	203	310	353
132f7f2a-b902-4343-aa08-cf6a7af10b9a	23	16	456
13446fc4-9fa6-4bb3-a00a-b9265b41eb12	0	7	453
134c9a92-e91e-4347-a9c4-727279edebb1	664	49	279
1358ff92-4db9-4e42-b63a-984a7bea425a	12	8	449
13642cf8-9840-4a7d-a26a-95f65b2c70c3	24	16	453
13bd2b30-c623-11e3-bf01-24c6515278c0	281	206	356
13c312ec-0add-4758-ab8d-c193e2e08c6d	0	85	434
13c62975-9f5e-4d40-a461-dceab08a31ec	298	33	355
13c7065e-6780-4571-978e-a7c13078ff50	34	5	454
13d05f7a-e16a-40ef-9a15-21257da2cf89	79	92	440
140d5fa9-afbe-444e-a7e7-6a4cb4ab2923	153	37	411
140d6ef7-0217-4d16-9add-215d0d14ba06	53	17	427
141918cd-3e23-45bc-96e1-b208c80f69e7	93	22	433
142b6dbf-c943-4a7d-8ab6-13a975f48d7a	304	46	376
14334aea-2dae-428c-9d4a-1a37878dfc3f	321	123	346
1447c8cb-25d4-4092-8919-4df08f898d2d	96	1	437
145f2b89-8878-4390-b0f6-f09b02fb138a	389	67	339
145f6dbb-9744-44f7-8485-e440689de3fd	225	0	393
14630c19-9ee0-4ab3-9d8b-8c3309d1e7d0	397	699	282
147e3496-514e-4da7-be42-7cd9be78ed04	0	64	476
148536ce-ee2a-4952-a19d-10d6f44146b9	13	58	443
1494bb16-f1f0-42a4-b10e-c383574cbc8b	31	20	440
14b8bbf2-310b-459b-b52d-a7ef510ce1cf	496	151	281
14bf9bfb-14d6-4cac-a556-828f680e8a15	596	406	230
14c5b81d-da49-4db1-9834-77711c2b1d38	852	0	236
14cbcbb1-028b-471a-bb4f-8b29cfa5e4eb	30	0	456
14dd86c1-dfb3-4124-a453-4d64223bc048	12	10	460
14ed7388-41ed-43d4-afb2-04cd6410d5d2	806	746	172
14f41457-25c3-4979-8515-4f33322039a5	0	23	454
153a64ee-6322-4f2e-b3df-77ef7d3a4cf0	378	737	269
154f80bd-984c-4792-bb89-20c4da0c08e0	17	5	445
15563a10-47a8-401d-a507-2c7101f7ae60	80	0	420
1558629a-770a-4dcb-b0bf-9a8bcea9d80b	330	0	361
155873b2-e5de-405f-87f6-6de0d238b160	78	0	441
15678c3d-ce61-454d-849e-1d4ca358909b	133	49	407
15895218-c623-11e3-bf01-24c6515278c0	167	139	379
15a93657-0521-430a-a816-bf0842374b75	14	6	448
15abb2a3-10a2-4e04-8eb9-6eadbd976af0	0	9	452
15d597de-d26c-4ce1-b0cb-077e39b55f30	301	800	252
15daadb0-6b24-4248-9225-470dc08f1552	117	7	428
15dd024e-c0da-461a-84db-d01e60a22210	0	9	453
15e097e3-e468-466c-8e57-b59fba90bbf2	56	5	437
15e7d981-8c27-4b2b-b4f8-626e22021895	2086	1104	0
15f90ef0-831b-40a3-98bd-ec226a9e8b26	597	65	281
15fd8dc8-c622-11e3-bf01-24c6515278c0	137	25	422
1659bae5-3140-4d05-891c-81b48277b2fc	763	1316	138
16c6f975-48fd-4cda-946a-777cb922949d	349	0	355
16d33e09-2e21-4da2-8e57-e78ce28c4408	808	854	158
16d5519e-ecb9-4fc8-81f1-e0e4adf722a8	341	405	294
16df7888-2480-4394-8856-d57a6ef371d2	363	768	280
170ad241-9e24-469b-b7ca-3fd783a89b21	605	596	216
1727e88b-df0a-4af2-9191-8c6061d98ad0	111	239	375
172c9864-c26d-4e9b-947a-e8ce761e996d	107	347	397
1776f326-b12f-4355-8107-80fa6fcd2159	223	0	398
178d0486-cb0d-4979-8bdf-bb3fe99149bd	0	15	449
17a66d24-de77-4f2a-a8ad-d2c6a69e7671	0	8	453
17de5b12-c623-11e3-bf01-24c6515278c0	555	209	301
17ed8831-a261-42d9-8ff3-cf75a6cb2a24	707	777	185
183b04f5-107f-496c-8e9a-8263dd00cffa	496	163	293
186cacaf-4f20-4ad2-a07a-a7dc942a70b0	215	0	385
18ec066e-8510-4921-9e35-45d85fb01e38	33	1012	406
18f5e75e-c623-11e3-bf01-24c6515278c0	92	122	420
18f9240e-7acd-41eb-a154-c2a67a1cbe9b	32	12	448
19085f7d-e6a6-406f-bd09-520a27e0283d	110	0	429
190eb791-383d-4e27-870d-e470630843e7	268	849	322
19233fd1-5229-466e-acf3-5882165758e0	0	3	452
1924d200-6929-4eef-8a7f-317f8fbab915	0	8	463
199bbb0f-996c-40c1-b06d-2066f04be778	35	24	442
19aa8223-ee84-4b5c-b11a-6ca2a2680b3c	62	0	439
19b6b9d6-6912-4b85-a4bf-52014bcb170b	135	45	417
19c1c97f-a3ec-44a8-8a20-6f97caed1a4f	754	101	250
19cd4360-8392-4bc2-ae88-fdc1335d886b	23	1	446
19d6cf34-1cd7-4242-a4d1-5d3e11f428aa	0	12	464
19def402-fb8d-4b27-90dd-ce9135a3c0a2	0	4	452
19fe27d8-c623-11e3-bf01-24c6515278c0	224	16	383
1a0ef226-41a5-4b56-9078-4b7834f0c976	67	378	386
1a134c18-ced3-4bae-9f15-5f0f09526639	7	10	448
1a319682-f55e-4e0b-8476-48a0bea6c265	298	0	370
1a391468-fbf3-451a-b88e-a257a26d047f	0	4147	60
1a4633c4-72a0-4e30-8c4c-345e04337627	218	37	394
1a5bf97e-3d49-4d3f-b385-ffa7a295be9c	42	0	452
1a841850-fca0-48ab-8c78-db0bd5a64435	406	190	324
1ac15380-04a2-42dd-8ade-28556a570e80	1322	2355	111
1ac54c6e-a1e4-4f3b-b4a5-cdb327e0dca6	332	278	336
1aff91a6-1b0f-4575-8f4b-4e064a50b886	505	451	245
1b06afe2-c623-11e3-bf01-24c6515278c0	168	161	380
1b0fe1d5-b286-4f49-ae92-94d9c6db9657	186	0	381
1b1780d5-06da-40ee-9e15-02631a68027b	337	0	330
1b7838c9-c685-41c3-b184-a2e40c7c4dc7	16	20	455
1b8fe07d-859c-4d91-ade1-6b2bcb5774ce	111	114	410
1bb2bdb7-8a89-4e7d-903d-03a6f8018efb	243	481	343
1bb3a1c7-4d7b-4fb6-b54d-e94cbd0e32aa	1178	604	99
1bbb522d-e224-4b3f-9e10-3a47d06b2b05	0	3	452
1bbfe6f2-ad19-4d29-895b-973f5a91c707	901	0	228
1bd47e40-d708-4ca2-b4b3-eb8d996c916b	17	7	456
1bd74f92-47f6-427e-af6f-299c3a7fe023	0	8	463
1bdfaa8a-1b7e-4251-b135-ce5e4568371b	33	9	453
1be81ade-7ad6-4e7e-90d0-f986b3fb0a25	120	0	418
1be8fa2c-8fea-4e8c-90db-c04d9fcdbf49	509	492	238
