Samples	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R	SBS80S	SBS80T
0bfd1068-3fcd-a95b-e050-11ac0c4860c3	217	55	85	194	95	91	85	56	13	69	53	14	22	1	0	41	109	40	2	1
0bfd1068-3fcf-a95b-e050-11ac0c4860c3	90	175	205	359	41	149	237	71	31	118	82	52	48	191	0	11	0	37	14	7
0bfd1068-3fd3-a95b-e050-11ac0c4860c3	0	112	334	0	192	342	35	330	78	0	54	36	0	108	0	9	37	60	6	3
0bfd1068-3fd5-a95b-e050-11ac0c4860c3	26	202	160	420	128	145	241	44	15	42	22	11	45	205	0	7	0	21	3	10
0bfd1068-3fd8-a95b-e050-11ac0c4860c3	40	151	146	433	129	119	415	95	23	104	50	267	34	49	0	26	43	150	0	5
0bfd1068-3fdd-a95b-e050-11ac0c4860c3	103	66	182	515	124	22	306	153	47	132	132	112	36	60	0	20	11	116	0	1
0bfd1068-3fdf-a95b-e050-11ac0c4860c3	0	22	805	930	0	0	194	0	91	33	412	469	260	0	26	74	87	48	0	56
0bfd1068-3fe1-a95b-e050-11ac0c4860c3	4	26	836	815	0	0	230	0	68	27	382	458	241	0	30	73	74	51	0	55
0bfd1068-3fe4-a95b-e050-11ac0c4860c3	128	37	176	145	185	72	50	0	19	82	118	52	59	15	0	26	0	32	19	13
0bfd1068-3fe6-a95b-e050-11ac0c4860c3	35	29	660	1376	0	27	70	0	76	3	306	0	262	49	8	37	65	65	0	14
0bfe2ac9-0aec-c248-e050-11ac0d487e1c	235	29	54	11	122	45	23	12	9	175	169	56	37	26	0	2	0	2	13	0
0bfe2ac9-0aee-c248-e050-11ac0d487e1c	222	40	50	6	148	52	15	11	0	135	125	26	30	6	0	3	0	2	12	0
0bfe2ac9-0af3-c248-e050-11ac0d487e1c	0	199	235	223	168	18	264	4	0	21	26	137	69	2	0	20	6	81	5	15
0bfe2ac9-0af5-c248-e050-11ac0d487e1c	78	121	161	475	71	16	453	137	102	116	141	264	42	101	0	29	10	152	0	0
0bfe2ac9-0af8-c248-e050-11ac0d487e1c	84	139	184	428	81	14	372	119	47	89	111	176	37	84	0	21	17	118	0	0
0bfe2ac9-0afa-c248-e050-11ac0d487e1c	175	38	138	133	149	48	47	7	18	76	140	47	36	25	1	25	0	11	23	10
0bfe2ac9-0afd-c248-e050-11ac0d487e1c	93	25	216	200	211	29	60	24	64	35	115	40	71	13	6	20	3	37	23	18
0bfe2ac9-0aff-c248-e050-11ac0d487e1c	131	60	168	146	162	97	47	3	11	56	132	46	33	13	0	27	0	40	16	14
