MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K
SS[>2 & <=3]	8.084255738616264e-08	0.0	9.333533853350672e-08	0.0001429041718070323	0.0012327456939965487	8.203684025431812e-09	0.007596977334178519	0.005110569584649056	0.02534816638333723	0.00040644358220362167	0.000609670128951052
SS[>3 & <=4]	1.8071113133677486e-08	0.0	1.0316945342481177e-09	2.1159548746183532e-05	0.005208535746740353	0.00034725707526686025	0.04621868028305471	0.00876581498724013	0.10189757009587425	0.0030303092833310077	0.0014828396139648704
SS[>4 & <=5]	0.0	7.280867546796799e-05	5.0024789525195954e-05	0.0011800692812539636	0.013891673772013747	0.021277330824541422	0.1474562268704176	0.054961392749100925	0.03179443942875817	0.03184681978630579	0.025527667082376162
SS[>5 & <=6]	1.5925907259628503e-11	0.003579205513418353	0.0	0.07406994671793654	0.0004317891198388679	0.08637238431721926	0.08858133826241113	0.08154905702918767	0.002683122791349888	0.06478607086151442	0.10086378386244178
SS[>6 & <=7]	0.0	0.1736823420226574	0.000780290938601369	0.06620094804093242	0.009622707224149032	0.07170430595055223	0.004050171432318166	0.027964590219780802	0.029207555850573542	0.05235654999851249	0.035612536133266995
SS[>7 & <=8]	0.016422603242099286	0.06523655043449253	0.11070888061076403	0.007467257777302134	0.10982801724225283	0.014730376024963333	0.0041573397607074245	0.0016801980596083525	0.044043762143701315	0.026674728965511284	0.009305230525209441
SS[>8]	0.03565698597580194	0.0	0.005268909623742815	2.0284239621304322e-10	0.0005921299148856818	0.0	1.971090997088254e-09	4.916572038382583e-10	2.82992225209e-10	2.9196270290299256e-10	1.944193631420177e-08
NC50[<=2]	0.0012248416687361896	0.0	4.3143666417222446e-11	0.0	0.0	3.427333909317154e-09	7.499860160598004e-07	6.327587857171579e-05	7.419544129305677e-08	7.098261827542806e-08	1.8286287867574914e-06
NC50[3]	0.0005936751642730087	0.0	0.000126941911490972	1.1417450180317701e-06	1.2328675074968486e-06	3.6496855031624696e-05	7.369053433929906e-06	9.39735591376234e-05	2.4009971093619244e-06	1.689316984538891e-06	1.6479501859203438e-05
NC50[4]	0.00017797180138586554	0.0	0.0007321130832497147	9.506686155980049e-07	0.00019525232540900105	0.00010841416808521131	6.388842193700839e-06	2.6322848167192025e-05	1.4702932094223797e-06	5.4199787919060326e-05	9.09204197958502e-05
NC50[5]	2.4931315863767622e-05	1.5675475917298344e-10	0.0007724106922978536	8.213374261206718e-06	0.00043892242427318707	1.4605280540536114e-10	8.472330038100662e-06	2.6569679346444274e-07	6.7707620911386375e-06	9.901717451197279e-06	9.127107504536269e-07
