MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H
OsCN[>4 & <=10]	1.8301676139031998e-08	0.0	0.0004630615156314155	0.0016717368819990951	0.007757308674044907	0.010375834268052131	0.0009755669537116773	0.0
OsCN[>10]	5.422100400664931e-08	4.4451529679356835e-11	5.165231954460392e-06	1.0688967036142083e-05	0.0018709513416979462	0.0018495068897027523	8.805051345817106e-09	2.8608678896702157e-09
SS[<=2]	9.393193916906739e-08	1.83666587610265e-05	0.0006420802281354554	0.0002035960683133453	1.5590552723713087e-05	0.0013997868474689313	0.0008445031527662649	0.0019311908294912428
SS[>2 & <=3]	6.766679698344547e-08	0.0	0.00014289049770574991	0.0021744654673415196	1.935269341956314e-05	0.004574519918533042	0.011841449558609315	0.007705452227964997
SS[>3 & <=4]	2.037637194529651e-09	0.0	0.0005457518808543682	0.008936701264657928	0.00038716812627389056	0.027731730438536033	0.05089892280401159	0.017636054791510106
SS[>4 & <=5]	6.262966811831916e-12	0.00023451664593636677	0.0024119158500056238	0.0013530820608139039	0.023357208236852823	0.10585575783625245	0.0357647268846631	0.05531613670289517
SS[>5 & <=6]	1.0643170489355036e-06	1.6114932339735395e-45	0.08227995283901691	0.004440390239228691	0.08050734151154756	0.10934637695550918	0.0016869369708001614	0.07552141323685646
SS[>6 & <=7]	0.0	8.37430078536272e-05	0.07671006394550205	0.14941535036079587	0.07252173375338317	0.007009822375375747	0.02110408516600728	0.025350182792171837
SS[>7 & <=8]	0.016994057036936284	0.11691765569150447	0.007763282015512232	0.05802270475076512	0.027231085961684585	0.007038321223808453	0.07528447732329369	0.0016268834550282917
SS[>8]	0.03500721916556358	0.003911442735698074	1.0741465383823368e-09	2.5271299719520355e-10	4.3606216859615186e-10	9.816160551068265e-10	2.583757297003331e-10	1.6493385301963314e-09
NC50[<=2]	0.0011952298716641962	4.0977350401760756e-11	2.6549697995648104e-11	7.253264655560088e-11	3.5937064994662205e-09	1.1856356171513483e-06	0.0	5.173169686514711e-05
NC50[3]	0.0005964707565726713	6.648150224888293e-05	2.5435809821794388e-06	1.919857895700261e-06	2.2405092737187714e-05	9.019628943602864e-06	0.0	8.710468497156398e-05
NC50[4]	0.0001833209188771434	0.0006548692967044189	3.972621030791102e-06	4.995233175577596e-06	0.00011717879035986422	3.1121202878336975e-06	2.5356461663506025e-06	4.013856454587405e-05
NC50[5]	3.0291909675526084e-05	0.0007962674123700708	5.858182601247506e-06	2.649797825604594e-11	3.3249082508679527e-06	1.131237747669489e-05	0.00011033224093807803	3.1709009476799113e-07
NC50[6]	4.472969665521021e-06	0.0005398431472713128	1.1227481109345738e-05	0.00018474870230420493	5.614971573608684e-07	2.3015777643342616e-06	0.00036275225473218596	3.007149862455094e-11
NC50[7]	1.3432454659074722e-05	7.513907505199313e-05	2.0908068638021414e-05	0.00035969009484688286	8.905491865505155e-06	5.080841407476555e-06	0.00021632276485433977	0.0
NC50[>7]	3.0558289436157795e-05	3.0459766366419672e-06	2.055363028346524e-06	7.603624240800854e-05	4.862664094362757e-06	4.2749257066265757e-07	5.998830824864854e-05	1.754155154465309e-11
BoChr[1]	3.718250890976549e-05	0.008169391471892596	0.011073169317096471	0.01656614906154573	0.000753934814420063	0.02820058832876384	0.011050902471179142	0.013293698634952307
BoChr[2]	0.00014234068792063682	0.0007793897447829362	0.016976471715606747	0.01990233166143298	0.00601786028011702	0.007161532755708322	0.006420308905653656	0.0
BoChr[3]	0.00017624704767740695	0.0008928944659510251	0.02653362074866891	0.0050925249082501975	0.011564786327071488	0.005678456804016605	0.005973383425734937	0.00018589772924315184
BoChr[4]	6.234326896947806e-09	0.0021774849820667443	0.010350424943608232	0.007237450458342209	0.006126484203058907	0.006731587322137784	0.006681633915286511	0.005224317415677433
BoChr[5]	9.568573192169083e-06	0.00514931435638573	0.0026151786299951946	0.00495561633259058	0.0015265300159035178	0.023774849658366293	0.006356114575173706	0.010887961802072823
